taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160941475,AL,present,introduced,,,,
160941479,AL,present,introduced,,,,
160941480,AL,present,introduced,,,,
160941485,AL,present,introduced,,,,
160941489,AL,present,introduced,,,,
160941492,AL,present,introduced,,,,
160941494,AL,present,introduced,,,,
160941495,AL,present,introduced,invasive,,,
160941496,AL,present,introduced,,,,
160941500,AL,present,introduced,,,,
160941501,AL,present,introduced,,,,
160941502,AL,present,introduced,,,,
160941505,AL,present,introduced,,,,
160941506,AL,present,introduced,,,,
160941508,AL,present,introduced,,,,
160941511,AL,present,introduced,,,,
160941512,AL,present,introduced,,,,
160941513,AL,present,introduced,,,,
160941516,AL,present,introduced,,,,
160941517,AL,present,introduced,,,,
160941518,AL,present,introduced,,,,
160941519,AL,present,introduced,,,,
160941520,AL,present,introduced,,,,
160941521,AL,present,introduced,,,,
160941522,AL,present,introduced,,,,
160941523,AL,present,introduced,,,,
160941524,AL,present,introduced,,,,
160941525,AL,present,introduced,,,,
160941526,AL,present,introduced,,,,
160941527,AL,present,introduced,,,,
160941530,AL,present,introduced,,,,
160941535,AL,present,introduced,,,,
160941539,AL,present,introduced,,,,
160941541,AL,present,introduced,,,,
160941545,AL,present,introduced,,,,
160941547,AL,present,introduced,invasive,,,
160941550,AL,present,introduced,invasive,,,
160941556,AL,present,introduced,,,,
160941561,AL,present,introduced,,,,
160941564,AL,present,introduced,,,,
160941567,AL,present,introduced,,,,
160941572,AL,present,introduced,,,,
160941574,AL,present,introduced,,,,
160941575,AL,present,introduced,,,,
160941576,AL,present,introduced,invasive,,,
160941580,AL,present,introduced,,,,
160941584,AL,present,introduced,,,,
160941585,AL,present,introduced,,,,
160941586,AL,present,introduced,,,,
160941589,AL,present,introduced,,,,
160941592,AL,present,,,,,
160941593,AL,present,introduced,,,,
160941595,AL,present,introduced,,,,
160941596,AL,present,introduced,,,,
160941597,AL,present,introduced,,,,
160941598,AL,present,introduced,,,,
160941601,AL,present,introduced,,,,
160941604,AL,present,introduced,,,,
160941607,AL,present,introduced,,,,
160941609,AL,present,introduced,,,,
160941612,AL,present,introduced,,,,
160941613,AL,present,introduced,,,,
160941614,AL,present,introduced,,,,
160941615,AL,present,introduced,,,,
160941616,AL,present,introduced,,,,
160941618,AL,present,introduced,,,,
160941619,AL,present,introduced,,,,
160941620,AL,present,introduced,,,,
160941621,AL,present,introduced,,,,
160941622,AL,present,introduced,,,,
160941623,AL,present,introduced,,,,
160941624,AL,present,introduced,,,,
160941625,AL,present,introduced,,,,
160941626,AL,present,introduced,,,,
160941627,AL,present,introduced,,,,
160941628,AL,present,introduced,,,,
160941629,AL,present,introduced,,,,
160941630,AL,present,introduced,,,,
160941631,AL,present,introduced,,,,
160941632,AL,present,introduced,,,,
160941635,AL,present,introduced,,,,
160941636,AL,present,introduced,,,,
160941638,AL,present,introduced,,,,
160941639,AL,present,introduced,,,,
160941640,AL,present,introduced,,,,
160941642,AL,present,introduced,,,,
160941643,AL,present,introduced,,,,
160941644,AL,present,introduced,,,,
160941645,AL,present,introduced,,,,
160941647,AL,present,introduced,,,,
160941648,AL,present,introduced,invasive,,,
160941652,AL,present,introduced,,,,
160941655,AL,present,introduced,,,,
160941656,AL,present,introduced,,,,
160941657,AL,present,introduced,,,,
160941658,AL,present,introduced,,,,
160941661,AL,present,introduced,,,,
160941662,AL,present,introduced,,,,
160941665,AL,present,introduced,,,,
160941668,AL,present,introduced,,,,
160941670,AL,present,introduced,,,,
160941673,AL,present,introduced,,,,
160941675,AL,present,introduced,,,,
160941676,AL,present,introduced,,,,
160941677,AL,present,introduced,,,,
160941678,AL,present,introduced,,,,
160941679,AL,present,introduced,,,,
160941682,AL,present,introduced,,,,
160941683,AL,present,introduced,,,,
160941684,AL,present,introduced,,,,
160941686,AL,present,introduced,,,,
160941689,AL,present,introduced,,,,
160941690,AL,present,introduced,,,,
160941691,AL,present,introduced,,,,
160941692,AL,present,introduced,,,,
160941693,AL,present,introduced,,,,
160941694,AL,present,introduced,,,,
160941695,AL,present,introduced,,,,
160941696,AL,present,introduced,,,,
160941697,AL,present,introduced,,,,
160941698,AL,present,introduced,,,,
160941699,AL,present,introduced,,,,
160941700,AL,present,introduced,,,,
160941701,AL,present,introduced,,,,
160941702,AL,present,introduced,,,,
160941703,AL,present,introduced,,,,
160941704,AL,present,introduced,,,,
160941705,AL,present,introduced,,,,
160941706,AL,present,introduced,,,,
160941709,AL,present,introduced,,,,
160941710,AL,present,introduced,,,,
160941711,AL,present,introduced,,,,
160941714,AL,present,introduced,,,,
160941715,AL,present,introduced,,,,
160941718,AL,present,introduced,,,,
160941719,AL,present,introduced,,,,
160941722,AL,present,introduced,,,,
160941723,AL,present,introduced,,,,
160941724,AL,present,introduced,,,,
160941725,AL,present,introduced,,,,
160941726,AL,present,introduced,,,,
160941727,AL,present,introduced,,,,
160941728,AL,present,introduced,,,,
160941729,AL,present,introduced,,,,
160941730,AL,present,introduced,,,,
160941732,AL,present,introduced,,,,
160941733,AL,present,introduced,,,,
160941734,AL,present,introduced,,,,
160941735,AL,present,introduced,,,,
160941737,AL,present,introduced,,,,
160941741,AL,present,introduced,,,,
160941743,AL,present,,,,,
160941744,AL,present,introduced,,,,
160941745,AL,present,introduced,,,,
160941746,AL,present,introduced,,,,
160941747,AL,present,introduced,,,,
160941748,AL,present,introduced,,,,
160941749,AL,present,introduced,,,,
160941750,AL,present,introduced,,,,
160941751,AL,present,introduced,,,,
160941754,AL,present,introduced,,,,
160941755,AL,present,introduced,,,,
160941757,AL,present,introduced,,,,
160941758,AL,present,introduced,,,,
160941759,AL,present,introduced,,,,
160941762,AL,present,introduced,,,,
160941763,AL,present,introduced,,,,
160941765,AL,present,introduced,,,,
160941768,AL,present,introduced,,,,
160941769,AL,present,introduced,,,,
160941771,AL,present,introduced,,,,
160941774,AL,present,introduced,,,,
160941775,AL,present,introduced,,,,
160941776,AL,present,introduced,,,,
160941777,AL,present,introduced,,,,
160941778,AL,present,introduced,,,,
160941780,AL,present,introduced,,,,
160941781,AL,present,introduced,,,,
160941783,AL,present,introduced,,,,
160941785,AL,present,introduced,,,,
160941786,AL,present,introduced,,,,
160941787,AL,present,introduced,,,,
160941788,AL,present,introduced,,,,
160941791,AL,present,introduced,,,,
160941792,AL,present,introduced,,,,
160941793,AL,present,introduced,,,,
160941794,AL,present,introduced,,,,
160941795,AL,present,introduced,,,,
160941797,AL,present,introduced,,,,
160941798,AL,present,introduced,,,,
160941800,AL,present,introduced,,,,
160941801,AL,present,introduced,,,,
160941804,AL,present,introduced,,,,
160941805,AL,present,introduced,,,,
160941806,AL,present,introduced,,,,
160941808,AL,present,introduced,,,,
160941810,AL,present,introduced,,,,
160941812,AL,present,introduced,,,,
160941814,AL,present,introduced,,,,
160941815,AL,present,introduced,,,,
160941816,AL,present,introduced,,,,
160941817,AL,present,introduced,,,,
160941818,AL,present,introduced,,,,
160941819,AL,present,introduced,,,,
160941820,AL,present,introduced,,,,
160941821,AL,present,introduced,,,,
160941822,AL,present,introduced,,,,
160941823,AL,present,introduced,,,,
160941824,AL,present,introduced,,,,
160941825,AL,present,introduced,,,,
160941826,AL,present,introduced,,,,
160941827,AL,present,introduced,,,,
160941828,AL,present,introduced,,,,
160941829,AL,present,introduced,,,,
160941830,AL,present,introduced,,,,
160941831,AL,present,introduced,,,,
160941832,AL,present,introduced,,,,
160941833,AL,present,introduced,,,,
160941834,AL,present,introduced,,,,
160941835,AL,present,introduced,,,,
160941836,AL,present,introduced,,,,
160941837,AL,present,introduced,,,,
160941841,AL,present,introduced,,,,
160941842,AL,present,introduced,,,,
160941844,AL,present,introduced,,,,
160941846,AL,present,introduced,,,,
160941848,AL,present,introduced,,,,
160941851,AL,present,introduced,,,,
160941852,AL,present,introduced,,,,
160941853,AL,present,introduced,,,,
160941854,AL,present,introduced,,,,
160941856,AL,present,introduced,,,,
160941858,AL,present,introduced,,,,
160941859,AL,present,introduced,,,,
160941862,AL,present,introduced,,,,
160941864,AL,present,introduced,,,,
160941865,AL,present,introduced,,,,
160941866,AL,present,introduced,,,,
160941867,AL,present,introduced,,,,
160941868,AL,present,introduced,,,,
160941869,AL,present,,,,,
160941870,AL,present,introduced,invasive,,,
160941871,AL,present,introduced,invasive,,,
160941872,AL,present,introduced,,,,
160941873,AL,present,introduced,,,,
160941874,AL,present,introduced,,,,
160941875,AL,present,introduced,,,,
160941876,AL,present,introduced,,,,
160941877,AL,present,introduced,,,,
160941878,AL,present,introduced,,,,
160941879,AL,present,introduced,,,,
160941880,AL,present,introduced,,,,
160941881,AL,present,introduced,,,,
160941882,AL,present,introduced,,,,
160941885,AL,present,introduced,,,,
160941887,AL,present,introduced,,,,
160941889,AL,present,introduced,invasive,,,
160941890,AL,present,introduced,,,,
160941893,AL,present,introduced,,,,
160941895,AL,present,introduced,,,,
160941896,AL,present,introduced,,,,
160941897,AL,present,introduced,,,,
160941898,AL,present,introduced,,,,
160941899,AL,present,introduced,,,,
160941900,AL,present,introduced,,,,
160941901,AL,present,introduced,,,,
160941902,AL,present,introduced,,,,
160941903,AL,present,introduced,,,,
160941904,AL,present,introduced,,,,
160941905,AL,present,introduced,,,,
160941906,AL,present,introduced,,,,
160941907,AL,present,introduced,,,,
160941908,AL,present,introduced,,,,
160941909,AL,present,introduced,,,,
160941910,AL,present,introduced,,,,
160941911,AL,present,introduced,,,,
160941912,AL,present,introduced,,,,
160941915,AL,present,introduced,,,,
160941916,AL,present,introduced,,,,
160941917,AL,present,introduced,,,,
162485656,AL,present,introduced,,,,
162485719,AL,present,introduced,,,,
