taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148674352,AD,present,introduced,,,,
148674355,AD,present,introduced,,,,
148674358,AD,present,introduced,,,,
148674360,AD,present,introduced,,,,
148674361,AD,present,introduced,,,,
148674362,AD,present,introduced,,,,
148674363,AD,present,introduced,,,,
148674364,AD,present,introduced,,,,
148674371,AD,present,introduced,,,,
148674377,AD,present,introduced,,,,
148674383,AD,present,introduced,,,,
148674386,AD,present,introduced,,,,
148674389,AD,present,introduced,,,,
