taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160947354,AM,present,introduced,,,,
160947357,AM,present,introduced,,,,
160947361,AM,present,introduced,,,,
160947364,AM,present,introduced,,,,
160947365,AM,present,introduced,,,,
160947368,AM,present,introduced,,,,
160947371,AM,present,introduced,,,,
160947372,AM,present,introduced,,,,
160947373,AM,present,introduced,,,,
160947374,AM,present,introduced,,,,
160947375,AM,present,introduced,,,,
160947376,AM,present,introduced,,,,
160947377,AM,present,introduced,invasive,,,
160947383,AM,present,introduced,,,,
160947387,AM,present,introduced,,,,
160947391,AM,present,introduced,,,,
160947395,AM,present,introduced,,,,
160947396,AM,present,introduced,,,,
160947399,AM,present,introduced,,,,
160947400,AM,present,introduced,,,,
160947401,AM,present,introduced,,,,
160947402,AM,present,introduced,,,,
160947403,AM,present,introduced,,,,
160947404,AM,present,introduced,,,,
160947405,AM,present,introduced,,,,
160947408,AM,present,introduced,,,,
160947412,AM,present,introduced,,,,
160947413,AM,present,introduced,,,,
160947414,AM,present,introduced,,,,
160947415,AM,present,introduced,,,,
160947416,AM,present,introduced,,,,
160947417,AM,present,introduced,,,,
160947418,AM,present,introduced,,,,
160947419,AM,present,introduced,,,,
160947420,AM,present,introduced,,,,
160947423,AM,present,introduced,,,,
160947427,AM,present,introduced,,,,
160947428,AM,present,introduced,,,,
160947429,AM,present,introduced,,,,
160947430,AM,present,introduced,,,,
160947431,AM,present,introduced,,,,
160947432,AM,present,introduced,,,,
160947433,AM,present,introduced,,,,
160947434,AM,present,introduced,,,,
160947435,AM,present,introduced,,,,
160947436,AM,present,introduced,,,,
160947437,AM,present,introduced,,,,
160947438,AM,present,introduced,,,,
160947439,AM,present,introduced,,,,
160947440,AM,present,introduced,,,,
160947442,AM,present,introduced,,,,
160947443,AM,present,introduced,,,,
160947444,AM,present,introduced,,,,
160947445,AM,present,introduced,,,,
160947446,AM,present,introduced,,,,
160947447,AM,present,introduced,,,,
160947448,AM,present,introduced,,,,
160947449,AM,present,introduced,,,,
160947450,AM,present,introduced,,,,
160947451,AM,present,introduced,,,,
160947452,AM,present,introduced,,,,
160947453,AM,present,introduced,,,,
160947454,AM,present,introduced,,,,
160947455,AM,present,introduced,,,,
160947456,AM,present,introduced,,,,
160947457,AM,present,introduced,,,,
160947458,AM,present,introduced,,,,
160947459,AM,present,introduced,,,,
160947460,AM,present,introduced,,,,
160947461,AM,present,introduced,,,,
160947462,AM,present,introduced,,,,
160947463,AM,present,introduced,,,,
160947464,AM,present,introduced,,,,
160947465,AM,present,introduced,,,,
160947466,AM,present,introduced,,,,
160947467,AM,present,introduced,,,,
160947468,AM,present,introduced,,,,
160947472,AM,present,introduced,,,,
160947475,AM,present,introduced,,,,
160947476,AM,present,introduced,,,,
160947480,AM,present,introduced,,,,
160947481,AM,present,introduced,,,,
160947484,AM,present,introduced,,,,
160947485,AM,present,introduced,,,,
160947489,AM,present,introduced,,,,
160947490,AM,present,introduced,,,,
160947491,AM,present,introduced,invasive,,,
160947494,AM,present,introduced,,,,
160947495,AM,present,introduced,,,,
160947496,AM,present,introduced,,,,
160947497,AM,present,introduced,,,,
160947500,AM,present,introduced,invasive,,,
160947501,AM,present,introduced,,,,
160947504,AM,present,introduced,,,,
160947507,AM,present,introduced,invasive,,,
160947508,AM,present,introduced,,,,
160947509,AM,present,introduced,,,,
160947510,AM,present,introduced,,,,
160947513,AM,present,introduced,,,,
160947514,AM,present,introduced,,,,
160947515,AM,present,introduced,,,,
160947516,AM,present,introduced,,,,
160947518,AM,present,introduced,,,,
160947519,AM,present,introduced,,,,
160947523,AM,present,introduced,,,,
160947524,AM,present,introduced,,,,
160947525,AM,present,introduced,,,,
160947528,AM,present,introduced,,,,
160947529,AM,present,introduced,,,,
160947530,AM,present,introduced,,,,
160947533,AM,present,introduced,,,,
160947536,AM,present,introduced,,,,
160947537,AM,present,introduced,,,,
160947538,AM,present,introduced,,,,
160947540,AM,present,introduced,,,,
160947541,AM,present,introduced,,,,
160947545,AM,present,introduced,,,,
160947547,AM,present,introduced,,,,
160947548,AM,present,introduced,,,,
160947549,AM,present,introduced,,,,
160947550,AM,present,introduced,,,,
160947551,AM,present,introduced,,,,
160947552,AM,present,introduced,,,,
160947553,AM,present,introduced,,,,
160947556,AM,present,introduced,,,,
160947558,AM,present,introduced,,,,
160947559,AM,present,introduced,,,,
160947560,AM,present,introduced,,,,
160947561,AM,present,introduced,,,,
160947562,AM,present,introduced,,,,
160947563,AM,present,introduced,,,,
160947564,AM,present,introduced,invasive,,,
160947565,AM,present,introduced,,,,
160947566,AM,present,introduced,,,,
160947567,AM,present,introduced,,,,
160947568,AM,present,introduced,,,,
160947569,AM,present,introduced,,,,
160947570,AM,present,introduced,,,,
160947571,AM,present,introduced,,,,
160947572,AM,present,introduced,,,,
160947573,AM,present,introduced,,,,
160947576,AM,present,introduced,,,,
160947577,AM,present,introduced,,,,
160947578,AM,present,introduced,,,,
160947579,AM,present,introduced,,,,
160947581,AM,present,introduced,,,,
160947583,AM,present,introduced,,,,
160947586,AM,present,introduced,,,,
160947589,AM,present,introduced,,,,
160947592,AM,present,introduced,,,,
160947594,AM,present,introduced,,,,
160947596,AM,present,introduced,,,,
160947597,AM,present,introduced,,,,
160947598,AM,present,introduced,,,,
160947599,AM,present,introduced,,,,
160947600,AM,present,introduced,,,,
160947603,AM,present,introduced,,,,
160947605,AM,present,introduced,,,,
160947606,AM,present,introduced,,,,
160947607,AM,present,introduced,,,,
160947608,AM,present,introduced,,,,
160947609,AM,present,introduced,,,,
160947610,AM,present,introduced,,,,
160947611,AM,present,introduced,,,,
160947612,AM,present,introduced,,,,
160947613,AM,present,introduced,,,,
160947614,AM,present,introduced,,,,
160947615,AM,present,introduced,,,,
160947616,AM,present,introduced,,,,
160947617,AM,present,introduced,,,,
160947618,AM,present,introduced,,,,
160947619,AM,present,introduced,,,,
160947620,AM,present,introduced,,,,
160947621,AM,present,introduced,,,,
160947622,AM,present,introduced,,,,
160947623,AM,present,introduced,,,,
160947624,AM,present,introduced,,,,
160947625,AM,present,introduced,,,,
160947626,AM,present,introduced,,,,
160947628,AM,present,introduced,,,,
160947631,AM,present,introduced,,,,
160947632,AM,present,introduced,,,,
160947633,AM,present,introduced,,,,
160947635,AM,present,introduced,,,,
160947636,AM,present,introduced,,,,
160947637,AM,present,introduced,,,,
160947638,AM,present,introduced,,,,
160947639,AM,present,introduced,,,,
160947641,AM,present,introduced,,,,
160947642,AM,present,introduced,,,,
160947643,AM,present,introduced,,,,
160947644,AM,present,introduced,,,,
160947645,AM,present,introduced,,,,
160947646,AM,present,introduced,,,,
160947647,AM,present,introduced,,,,
160947651,AM,present,introduced,,,,
160947653,AM,present,introduced,,,,
160947655,AM,present,introduced,,,,
160947656,AM,present,introduced,,,,
160947658,AM,present,introduced,,,,
160947659,AM,present,introduced,,,,
160947661,AM,present,introduced,,,,
160947662,AM,present,introduced,,,,
160947665,AM,present,introduced,,,,
160947667,AM,present,introduced,,,,
160947669,AM,present,introduced,,,,
160947671,AM,present,introduced,,,,
160947673,AM,present,introduced,,,,
160947675,AM,present,introduced,,,,
160947677,AM,present,introduced,,,,
160947679,AM,present,introduced,,,,
160947680,AM,present,introduced,,,,
160947681,AM,present,introduced,,,,
160947682,AM,present,introduced,,,,
160947683,AM,present,introduced,,,,
160947684,AM,present,introduced,,,,
160947685,AM,present,introduced,,,,
160947686,AM,present,introduced,,,,
160947687,AM,present,introduced,,,,
160947688,AM,present,introduced,,,,
160947689,AM,present,introduced,,,,
160947690,AM,present,introduced,,,,
160947691,AM,present,introduced,,,,
160947692,AM,present,introduced,,,,
160947693,AM,present,introduced,,,,
160947694,AM,present,introduced,,,,
160947695,AM,present,introduced,,,,
160947696,AM,present,introduced,,,,
160947697,AM,present,introduced,,,,
160947698,AM,present,introduced,,,,
160947699,AM,present,introduced,,,,
160947700,AM,present,introduced,,,,
160947701,AM,present,introduced,,,,
160947702,AM,present,introduced,,,,
160947703,AM,present,introduced,,,,
160947704,AM,present,introduced,,,,
160947705,AM,present,introduced,,,,
160947706,AM,present,introduced,,,,
160947707,AM,present,introduced,,,,
160947708,AM,present,introduced,,,,
160947709,AM,present,introduced,,,,
160947710,AM,present,introduced,,,,
160947711,AM,present,introduced,,,,
160947712,AM,present,introduced,,,,
160947713,AM,present,introduced,,,,
160947714,AM,present,introduced,,,,
160947715,AM,present,introduced,,,,
160947716,AM,present,introduced,,,,
160947718,AM,present,introduced,,,,
160947720,AM,present,introduced,,,,
160947724,AM,present,introduced,,,,
160947725,AM,present,introduced,,,,
160947726,AM,present,introduced,,,,
160947727,AM,present,introduced,,,,
160947728,AM,present,introduced,,,,
160947729,AM,present,introduced,,,,
160947730,AM,present,introduced,,,,
160947731,AM,present,introduced,,,,
160947732,AM,present,introduced,,,,
160947735,AM,present,introduced,,,,
160947736,AM,present,introduced,,,,
160947737,AM,present,introduced,,,,
160947738,AM,present,introduced,,,,
160947739,AM,present,introduced,,,,
160947740,AM,present,introduced,,,,
160947742,AM,present,introduced,,,,
160947743,AM,present,introduced,,,,
160947744,AM,present,introduced,,,,
160947747,AM,present,introduced,,,,
160947748,AM,present,introduced,,,,
160947749,AM,present,introduced,,,,
160947750,AM,present,introduced,,,,
160947753,AM,present,introduced,,,,
160947754,AM,present,introduced,,,,
160947755,AM,present,introduced,,,,
160947756,AM,present,introduced,,,,
160947757,AM,present,introduced,,,,
160947758,AM,present,introduced,,,,
160947759,AM,present,introduced,invasive,,,
160947760,AM,present,introduced,,,,
160947761,AM,present,introduced,,,,
160947762,AM,present,introduced,,,,
160947763,AM,present,introduced,,,,
160947764,AM,present,introduced,,,,
160947765,AM,present,introduced,,,,
160947766,AM,present,introduced,,,,
160947767,AM,present,introduced,,,,
160947768,AM,present,introduced,,,,
160947769,AM,present,introduced,,,,
160947770,AM,present,introduced,,,,
160947771,AM,present,introduced,,,,
160947772,AM,present,introduced,invasive,,,
160947773,AM,present,introduced,,,,
160947774,AM,present,introduced,,,,
160947777,AM,present,introduced,,,,
160947778,AM,present,introduced,,,,
160947779,AM,present,introduced,,,,
160947780,AM,present,introduced,,,,
160947781,AM,present,introduced,,,,
160947784,AM,present,introduced,,,,
160947786,AM,present,introduced,,,,
160947787,AM,present,introduced,,,,
160947788,AM,present,introduced,,,,
160947789,AM,present,introduced,invasive,,,
160947792,AM,present,introduced,,,,
160947793,AM,present,introduced,,,,
160947796,AM,present,introduced,invasive,,,
160947797,AM,present,introduced,,,,
160947799,AM,present,introduced,,,,
160947801,AM,present,introduced,,,,
160947803,AM,present,introduced,,,,
160947804,AM,present,introduced,invasive,,,
160947805,AM,present,introduced,,,,
160947806,AM,present,introduced,,,,
160947807,AM,present,introduced,,,,
160947808,AM,present,introduced,invasive,,,
160947809,AM,present,introduced,,,,
160947810,AM,present,introduced,,,,
160947811,AM,present,introduced,,,,
160947812,AM,present,introduced,,,,
160947813,AM,present,introduced,,,,
160947814,AM,present,introduced,invasive,,,
160947815,AM,present,introduced,,,,
160947816,AM,present,introduced,invasive,,,
160947817,AM,present,introduced,,,,
160947818,AM,present,introduced,,,,
160947819,AM,present,introduced,,,,
160947820,AM,present,introduced,,,,
160947821,AM,present,introduced,,,,
160947822,AM,present,introduced,invasive,,,
160947823,AM,present,introduced,invasive,,,
160947824,AM,present,introduced,invasive,,,
160947825,AM,present,introduced,invasive,,,
160947826,AM,present,introduced,invasive,,,
160947827,AM,present,introduced,,,,
160947828,AM,present,introduced,,,,
160947829,AM,present,introduced,,,,
160947830,AM,present,introduced,,,,
160947831,AM,present,introduced,invasive,,,
160947832,AM,present,introduced,,,,
160947835,AM,present,introduced,,,,
160947836,AM,present,introduced,,,,
160947839,AM,present,introduced,,,,
160947840,AM,present,introduced,,,,
160947842,AM,present,introduced,,,,
160947845,AM,present,introduced,,,,
160947847,AM,present,introduced,,,,
160947848,AM,present,introduced,,,,
160947849,AM,present,introduced,,,,
160947850,AM,present,introduced,,,,
160947854,AM,present,introduced,,,,
160947856,AM,present,introduced,,,,
160947858,AM,present,introduced,,,,
160947861,AM,present,introduced,,,,
160947862,AM,present,introduced,invasive,,,
160947863,AM,present,introduced,,,,
160947866,AM,present,introduced,,,,
160947867,AM,present,introduced,,,,
160947868,AM,present,introduced,,,,
160947869,AM,present,introduced,,,,
160947870,AM,present,introduced,,,,
160947871,AM,present,introduced,,,,
160947872,AM,present,introduced,,,,
160947873,AM,present,introduced,,,,
160947874,AM,present,introduced,invasive,,,
160947877,AM,present,introduced,,,,
160947878,AM,present,introduced,,,,
160947879,AM,present,introduced,,,,
160947882,AM,present,introduced,,,,
160947883,AM,present,introduced,,,,
160947885,AM,present,,,,,
160947887,AM,present,introduced,invasive,,,
160947890,AM,present,introduced,,,,
160947891,AM,present,introduced,,,,
160947892,AM,present,introduced,,,,
160947893,AM,present,introduced,,,,
160947894,AM,present,introduced,,,,
160947895,AM,present,introduced,,,,
160947896,AM,present,introduced,invasive,,,
160947897,AM,present,introduced,,,,
160947898,AM,present,introduced,,,,
160947899,AM,present,introduced,,,,
160947900,AM,present,introduced,,,,
160947903,AM,present,introduced,,,,
160947906,AM,present,introduced,,,,
160947907,AM,present,introduced,,,,
160947908,AM,present,introduced,,,,
160947909,AM,present,introduced,,,,
160947910,AM,present,introduced,,,,
160947912,AM,present,introduced,,,,
160947914,AM,present,introduced,,,,
160947918,AM,present,introduced,,,,
160947921,AM,present,introduced,,,,
160947922,AM,present,introduced,,,,
160947923,AM,present,introduced,,,,
160947924,AM,present,introduced,,,,
160947925,AM,present,introduced,,,,
160947926,AM,present,introduced,,,,
160947927,AM,present,introduced,,,,
160947928,AM,present,introduced,,,,
160947929,AM,present,introduced,,,,
160947930,AM,present,introduced,,,,
160947931,AM,present,introduced,,,,
160947932,AM,present,introduced,,,,
160947933,AM,present,introduced,,,,
160947934,AM,present,introduced,,,,
160947935,AM,present,introduced,,,,
160947936,AM,present,introduced,,,,
160947937,AM,present,introduced,,,,
160947938,AM,present,introduced,,,,
160947939,AM,present,introduced,,,,
