taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160947354,7705930,123615,"Sus scrofa Linnaeus, 1758",ACCEPTED,7705930,"Sus scrofa Linnaeus, 1758",SPECIES,Animalia
160947357,2362110,123497,"Mylopharyngodon piceus (Richardson, 1846)",ACCEPTED,2362110,"Mylopharyngodon piceus (Richardson, 1846)",SPECIES,Animalia
160947361,5202520,123437,"Ictalurus punctatus (Rafinesque, 1818)",ACCEPTED,5202520,"Ictalurus punctatus (Rafinesque, 1818)",SPECIES,Animalia
160947364,2350570,123422,"Gambusia holbrooki Girard, 1859",ACCEPTED,2350570,"Gambusia holbrooki Girard, 1859",SPECIES,Animalia
160947365,2350580,123421,"Gambusia affinis (Baird & Girard, 1853)",ACCEPTED,2350580,"Gambusia affinis (Baird & Girard, 1853)",SPECIES,Animalia
160947368,4409518,123369,"Coregonus maraenoides Berg, 1916",ACCEPTED,4409518,"Coregonus maraenoides Berg, 1916",SPECIES,Animalia
160947371,7380100,123566,Prunus tomentosa C.P.Thunb. ex A.Murray,DOUBTFUL,7380100,Prunus tomentosa Thunb. ex A.Murray,SPECIES,Plantae
160947372,3039483,123577,Rhamnus davurica Pall.,ACCEPTED,3039483,Rhamnus davuricus Pall.,SPECIES,Plantae
160947373,3086240,123496,Mirabilis jalapa L.,ACCEPTED,3086240,Mirabilis jalapa L.,SPECIES,Plantae
160947374,2362486,123436,"Hypophthalmichthys nobilis (Richardson, 1845)",ACCEPTED,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)",SPECIES,Animalia
160947375,2362473,123435,"Hypophthalmichthys molitrix (Valenciennes, 1844)",ACCEPTED,2362473,"Hypophthalmichthys molitrix (Valenciennes, 1844)",SPECIES,Animalia
160947376,2362030,123382,"Ctenopharyngodon idella (Valenciennes, 1844)",ACCEPTED,2362030,"Ctenopharyngodon idella (Valenciennes, 1844)",SPECIES,Animalia
160947377,4286942,123328,"Carassius auratus (Linnaeus, 1758)",ACCEPTED,4286942,"Carassius auratus (Linnaeus, 1758)",SPECIES,Animalia
160947383,2687885,123425,Ginkgo biloba L.,ACCEPTED,2687885,Ginkgo biloba L.,SPECIES,Plantae
160947387,2653316,123402,Ephedra equisetina Bunge,ACCEPTED,2653316,Ephedra equisetina Bunge,SPECIES,Plantae
160947391,5300716,123417,Fritillaria imperialis L.,ACCEPTED,5300716,Fritillaria imperialis L.,SPECIES,Plantae
