taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148746414,AT,present,introduced,,,,
148746421,AT,present,introduced,,,,
148746422,AT,present,introduced,invasive,,,
148746428,AT,present,introduced,,,,
148746432,AT,present,introduced,,,,
148746437,AT,present,introduced,,,,
148746438,AT,present,introduced,,,,
148746443,AT,present,introduced,,,,
148746445,AT,present,introduced,,,,
148746446,AT,present,introduced,,,,
148746447,AT,present,introduced,,,,
148746448,AT,present,introduced,,,,
148746449,AT,present,introduced,,,,
148746451,AT,present,introduced,,,,
148746452,AT,present,introduced,,,,
148746454,AT,present,introduced,,,,
148746455,AT,present,introduced,,,,
148746456,AT,present,introduced,,,,
148746460,AT,present,introduced,,,,
148746462,AT,present,introduced,invasive,,,
148746469,AT,present,introduced,,,,
148746475,AT,present,introduced,,,,
148746476,AT,present,introduced,,,,
148746484,AT,present,introduced,,,,
148746485,AT,present,introduced,,,,
148746488,AT,present,introduced,,,,
148746498,AT,present,introduced,,,,
148746500,AT,present,introduced,,,,
148746508,AT,present,introduced,,,,
148746509,AT,present,introduced,,,,
148746510,AT,present,introduced,,,,
148746516,AT,present,introduced,,,,
148746517,AT,present,introduced,,,,
148746518,AT,present,introduced,,,,
148746522,AT,present,introduced,,,,
148746523,AT,present,introduced,,,,
148746524,AT,present,introduced,,,,
148746525,AT,present,introduced,,,,
148746534,AT,present,introduced,,,,
148746536,AT,present,introduced,,,,
148746537,AT,present,introduced,,,,
148746541,AT,present,introduced,,,,
148746542,AT,present,introduced,,,,
148746543,AT,present,introduced,,,,
148746544,AT,present,introduced,,,,
148746548,AT,present,introduced,,,,
148746549,AT,present,introduced,,,,
148746550,AT,present,introduced,,,,
148746553,AT,present,introduced,,,,
148746556,AT,present,introduced,,,,
148746557,AT,present,introduced,,,,
148746558,AT,present,introduced,,,,
148746565,AT,present,introduced,,,,
148746566,AT,present,introduced,,,,
148746567,AT,present,introduced,,,,
148746570,AT,present,introduced,,,,
148746572,AT,present,introduced,,,,
148746577,AT,present,introduced,,,,
148746579,AT,present,introduced,,,,
148746581,AT,present,introduced,,,,
148746583,AT,present,introduced,,,,
148746585,AT,present,introduced,,,,
148746589,AT,present,introduced,,,,
