taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
148746414,2284723,30257,"Urnatella gracilis Leidy, 1851",ACCEPTED,2284723,"Urnatella gracilis Leidy, 1851",SPECIES,Animalia
148746421,4408321,28831,"Craspedacusta sowerbii Lankester, 1880",ACCEPTED,4408321,"Craspedacusta sowerbii Lankester, 1880",SPECIES,Animalia
148746422,,29736,Ph. cambivora x Ph. fragariae,,,Ph. cambivora x Ph. fragariae,,
148746428,2266009,28795,"Cordylophora caspia (Pallas, 1771)",ACCEPTED,2266009,"Cordylophora caspia (Pallas, 1771)",SPECIES,Animalia
148746432,3204092,29815,Plasmopara helianthi Novot.,SYNONYM,3204090,Plasmopara halstedii (Farl.) Berl. & De Toni,SPECIES,Chromista
148746437,5199161,29265,"Hypania invalida (Grube, 1860)",ACCEPTED,5199161,"Hypania invalida (Grube, 1860)",SPECIES,Animalia
148746438,3203750,29727,Peronospora swinglei Ellis & Everh.,SYNONYM,3203749,Peronospora lamii A.Braun,SPECIES,Chromista
148746443,3276938,29728,Peronospora tabacina D.B.Adam,SYNONYM,3276937,Peronospora hyoscyami de Bary,SPECIES,Chromista
148746445,7258589,29814,Plasmopara angustiterminalis Novot.,ACCEPTED,7258589,Plasmopara angustiterminalis Novot.,SPECIES,Chromista
148746446,3204123,29816,Plasmopara viticola (Berk. & M.A.Curtis) Berl. & De Toni,ACCEPTED,3204123,Plasmopara viticola (Berk. & M.A.Curtis) Berl. & De Toni,SPECIES,Chromista
148746447,2307538,30323,"Xironogiton instabilis (Moore, 1894)",SYNONYM,7849089,"Xironogiton instabilius (Moore, 1894)",SPECIES,Animalia
148746448,3203716,29793,Phytophthora infestans (Mont.) de Bary,ACCEPTED,3203716,Phytophthora infestans (Mont.) de Bary,SPECIES,Chromista
148746449,3203807,29726,Peronospora manshurica (Naumov) Syd.,ACCEPTED,3203807,Peronospora manshurica (Naumov) Syd.,SPECIES,Chromista
148746451,3203754,29725,Peronospora arthurii Farl.,ACCEPTED,3203754,Peronospora arthurii Farl.,SPECIES,Chromista
148746452,3204007,29879,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,ACCEPTED,3204007,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,SPECIES,Chromista
148746454,2307856,28671,"Caspiobdella fadejewi (Selensky, 1915)",ACCEPTED,2307856,"Caspiobdella fadejewi (Epshtein, 1961)",SPECIES,Animalia
148746455,3204008,29880,Pseudoperonospora humuli (Miyabe & Takah.) G.W.Wilson,SYNONYM,3204007,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,SPECIES,Chromista
148746456,3203882,28534,Basidiophora entospora Roze & Cornu,ACCEPTED,3203882,Basidiophora entospora Roze & Cornu,SPECIES,Chromista
148746460,2308574,28571,"Branchiura sowerbyi Beddard, 1892",ACCEPTED,2308574,"Branchiura sowerbyi Beddard, 1892",SPECIES,Animalia
148746462,3202936,28454,Aphanomyces astaci Schikora,ACCEPTED,3202936,Aphanomyces astaci Schikora,SPECIES,Chromista
148746469,2307447,28531,"Barbronia weberi (Blanchard, 1897)",ACCEPTED,2307447,"Barbronia weberi (Blanchard, 1897)",SPECIES,Animalia
148746475,2505826,29111,"Fascioloides magna (Bassi, 1875)",ACCEPTED,2505826,"Fascioloides magna (Bassa, 1875)",SPECIES,Animalia
148746476,5265718,30139,Synchytrium endobioticum (Schilb.) Percival,ACCEPTED,5265718,Synchytrium endobioticum (Schilb.) Percival,SPECIES,Fungi
148746484,2612582,29740,Phaeocryptopus gaeumannii (T.Rohde) Petr.,SYNONYM,10808078,"Nothophaeocryptopus gaeumannii (T.Rohde) Videira, C.Nakash., U.Braun & Crous",SPECIES,Fungi
148746485,4344674,28923,"Dendrocoelum romanodanubiale (Codreanu, 1949)",ACCEPTED,4344674,"Dendrocoelum romanodanubiale (Codreanu, 1949)",SPECIES,Animalia
148746488,2613011,29307,Kabatina thujae R.Schneid. & Arx,ACCEPTED,2613011,Kabatina thujae R.Schneid. & Arx,SPECIES,Fungi
148746498,5286308,29438,Lunularia cruciata (L.) Dumort. ex Lindb.,ACCEPTED,5286308,Lunularia cruciata (L.) Dumort. ex Lindb.,SPECIES,Plantae
148746500,2502879,28978,"Dugesia tigrina (Girard, 1850)",SYNONYM,5892120,"Girardia tigrina (Girard, 1850)",SPECIES,Animalia
148746508,5265337,29128,Fulvia fulva (Cooke) Cif.,ACCEPTED,5265337,Fulvia fulva (Cooke) Cif.,SPECIES,Fungi
148746509,2678405,29890,"Pterogonium gracile Smith, 1803",SYNONYM,7435779,Nogopterium gracile (Hedw.) Crosby & W.R.Buck,SPECIES,Plantae
148746510,8756603,29196,"Gyrodactylus gasterostei Glaser, 1974",ACCEPTED,8756603,"Gyrodactylus gasterostei Gläser, 1974",SPECIES,Animalia
148746516,4343706,29875,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",ACCEPTED,4343706,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",SPECIES,Animalia
148746517,2677047,29659,"Orthodontium lineare Schwaegrichen, 1827",ACCEPTED,2677047,Orthodontium lineare Schwägr.,SPECIES,Plantae
148746518,4343705,29876,"Pseudodactylogyrus bini (Kikuchi, 1929)",ACCEPTED,4343705,"Pseudodactylogyrus bini (Kikuchi, 1929)",SPECIES,Animalia
148746522,4412376,28907,"Dactylogyrus yinwenyingae Gusev, 1962",ACCEPTED,4412376,"Dactylogyrus yinwenyingae Gusev, 1962",SPECIES,Animalia
148746523,5281901,28642,"Campylopus introflexus Bridel, 1819",ACCEPTED,5281901,Campylopus introflexus (Hedw.) Brid.,SPECIES,Plantae
148746524,2622082,29553,"Mycosphaerella dearnessii M.E.Barr, 1972",HETEROTYPIC_SYNONYM,2622090,Lecanosticta acicola (Thüm.) Syd.,SPECIES,Fungi
148746525,2505275,28906,"Dactylogyrus vastator Nybelin, 1924",ACCEPTED,2505275,"Dactylogyrus vastator Nybelin, 1924",SPECIES,Animalia
148746534,2611361,29185,"Guignardia aesculi (Peck) V.B.Stewart, 1916",HETEROTYPIC_SYNONYM,2611366,Phyllosticta paviae Desm.,SPECIES,Fungi
148746536,5284982,29799,Pinus strobus,ACCEPTED,5284982,Pinus strobus L.,SPECIES,Plantae
148746537,2685796,29883,Pseudotsuga menziesii,ACCEPTED,2685796,Pseudotsuga menziesii (Mirb.) Franco,SPECIES,Plantae
148746541,2684860,30183,Thuja orientalis,SYNONYM,2684855,Platycladus orientalis (L.) Franco,SPECIES,Plantae
148746542,4413920,29311,"Khawia sinensis Hsu, 1935",ACCEPTED,4413920,"Khawia sinensis Hsü, 1935",SPECIES,Animalia
148746543,2684171,30184,Thuja plicata,ACCEPTED,2684171,Thuja plicata Donn ex D.Don,SPECIES,Plantae
148746544,2684178,30182,Thuja occidentalis,ACCEPTED,2684178,Thuja occidentalis L.,SPECIES,Plantae
148746548,2683866,28715,Chamaecyparis lawsoniana,ACCEPTED,2683866,Chamaecyparis lawsoniana (A.Murray bis) Parl.,SPECIES,Plantae
148746549,2683880,28714,Chamaecyparis pisifera (Siebold & Zucc.) Endl.,ACCEPTED,2683880,Chamaecyparis pisifera (Siebold & Zucc.) Endl.,SPECIES,Plantae
148746550,2683936,28622,Calocedrus decurrens (Torr.) Florin,ACCEPTED,2683936,Calocedrus decurrens (Torr.) Florin,SPECIES,Plantae
148746553,2614020,28944,Didymella lycopersici Kleb.,ACCEPTED,2614020,Didymella lycopersici Kleb.,SPECIES,Fungi
