taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196382534,AZ,present,introduced,invasive,,,
196382544,AZ,present,introduced,,,,
196382545,AZ,present,introduced,invasive,,,
196382546,AZ,present,introduced,,,,
196382548,AZ,present,introduced,,,,
196382550,AZ,present,introduced,,,,
196382556,AZ,present,introduced,,,,
196382557,AZ,present,introduced,,,,
196382564,AZ,present,introduced,,,,
196382565,AZ,present,introduced,,,,
196382572,AZ,present,introduced,,,,
196382573,AZ,present,introduced,,,,
196382574,AZ,present,introduced,,,,
196382580,AZ,present,,,,,
196382583,AZ,present,introduced,,,,
196382586,AZ,present,introduced,,,,
196382588,AZ,present,introduced,,,,
196382590,AZ,present,introduced,,,,
196382591,AZ,present,introduced,invasive,,,
196382592,AZ,present,introduced,invasive,,,
196382594,AZ,present,introduced,,,,
196382597,AZ,present,introduced,,,,
196382600,AZ,present,introduced,invasive,,,
196382601,AZ,present,,invasive,,,
196382605,AZ,present,,invasive,,,
196382606,AZ,present,introduced,,,,
196382610,AZ,present,introduced,,,,
196382613,AZ,present,introduced,,,,
196382614,AZ,present,introduced,,,,
196382615,AZ,present,introduced,,,,
196382618,AZ,present,introduced,,,,
196382619,AZ,present,introduced,,,,
196382620,AZ,present,introduced,,,,
196382621,AZ,present,introduced,,,,
196382622,AZ,present,introduced,,,,
196382625,AZ,present,introduced,,,,
196382630,AZ,present,introduced,,,,
196382632,AZ,present,introduced,,,,
196382636,AZ,present,introduced,invasive,,,
196382640,AZ,present,introduced,,,,
196382642,AZ,present,introduced,,,,
196382645,AZ,present,introduced,,,,
196382648,AZ,present,introduced,,,,
196382651,AZ,present,introduced,,,,
196382652,AZ,present,introduced,,,,
196382657,AZ,present,introduced,,,,
196382661,AZ,present,introduced,invasive,,,
196382664,AZ,present,,,,,
196382667,AZ,present,introduced,,,,
196382668,AZ,present,introduced,,,,
196382669,AZ,present,introduced,,,,
196382671,AZ,present,introduced,,,,
196382674,AZ,present,introduced,,,,
196382675,AZ,present,introduced,,,,
196382677,AZ,present,introduced,,,,
196382678,AZ,present,introduced,,,,
