taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
148779504,5281901,39738,"Campylopus introflexus Bridel, 1819",ACCEPTED,5281901,Campylopus introflexus (Hedw.) Brid.,SPECIES,Plantae
148779505,5192470,40099,"Potamopyrgus antipodarum (Gray, 1843)",ACCEPTED,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)",SPECIES,Animalia
148779508,5777912,39990,"Lithoglyphus naticoides (C.Pfeiffer, 1828)",ACCEPTED,5777912,"Lithoglyphus naticoides (C.Pfeiffer, 1828)",SPECIES,Animalia
148779513,5285635,40082,Pinus rigida Mill.,ACCEPTED,5285635,Pinus rigida Mill.,SPECIES,Plantae
148779515,5284982,40083,Pinus strobus L.,ACCEPTED,5284982,Pinus strobus L.,SPECIES,Plantae
148779516,5285533,40080,Pinus banksiana Lamb.,ACCEPTED,5285533,Pinus banksiana Lamb.,SPECIES,Plantae
148779517,5189825,40075,"Physella integra (Haldeman, 1841)",SYNONYM,5189806,"Physella acuta (Draparnaud, 1805)",SPECIES,Animalia
148779518,5284809,40081,Pinus nigra J.F.Arnold,ACCEPTED,5284809,Pinus nigra J.F.Arnold,SPECIES,Plantae
148779519,5189806,40074,"Physella acuta (Draparnaud, 1805)",ACCEPTED,5189806,"Physella acuta (Draparnaud, 1805)",SPECIES,Animalia
148779520,5284765,40077,Picea obovata Ledeb.,ACCEPTED,5284765,Picea obovata Ledeb.,SPECIES,Plantae
148779522,4567721,39956,"Krynickillus melanocephalus Kaleniczenko, 1851",ACCEPTED,4567721,"Krynickillus melanocephalus Kaleniczenko, 1851",SPECIES,Animalia
148779523,2686212,39965,Larix decidua Mill.,ACCEPTED,2686212,Larix decidua Mill.,SPECIES,Plantae
148779525,2686157,39966,Larix kaempferi (Lamb.) CarriÃ¨re,ACCEPTED,2686157,Larix kaempferi (Lamb.) Carrière,SPECIES,Plantae
148779529,2291152,39891,"Ferrissia fragilis (Tryon, 1863)",SYNONYM,9520065,"Ferrissia californica (Rowell, 1863)",SPECIES,Animalia
148779531,5299536,40250,Tulipa sylvestris L.,ACCEPTED,5299536,Tulipa sylvestris L.,SPECIES,Plantae
148779537,2287072,39833,"Dreissena polymorpha (Pallas, 1771)",ACCEPTED,2287072,"Dreissena polymorpha (Pallas, 1771)",SPECIES,Animalia
148779538,5330092,40278,Wolffia arrhiza Wimm.,ACCEPTED,5330092,Wolffia arrhiza (L.) Horkel ex Wimm.,SPECIES,Plantae
148779544,2865448,39842,Elodea canadensis Michx.,ACCEPTED,2865448,Elodea canadensis Michx.,SPECIES,Plantae
148779545,,39797,Craspedacusta sowerbyi Lancaster,,,Craspedacusta sowerbyi Lancaster,,
148779546,5329212,39843,Elodea nuttallii St.John,ACCEPTED,5329212,Elodea nuttallii (Planch.) H.St.John,SPECIES,Plantae
148779552,2764179,39781,Commelina communis L.,ACCEPTED,2764179,Commelina communis L.,SPECIES,Plantae
148779555,5199161,39937,"Hypania invalida (Grube, 1860)",ACCEPTED,5199161,"Hypania invalida (Grube, 1860)",SPECIES,Animalia
148779559,5296031,40199,Sisyrinchium septentrionale E.P.Bicknell,ACCEPTED,5296031,Sisyrinchium septentrionale E.P.Bicknell,SPECIES,Plantae
148779562,2308439,40249,"Tubifex newaensis (Michaelsen, 1903)",ACCEPTED,2308439,"Tubifex newaensis (Michaelsen, 1903)",SPECIES,Animalia
148779563,8080743,40168,Scilla siberica Andrews,ACCEPTED,8080743,Scilla siberica Andrews,SPECIES,Plantae
148779564,2308604,40101,"Potamothrix bedoti (Piquet, 1913)",ACCEPTED,2308604,"Potamothrix bedoti (Piguet, 1913)",SPECIES,Animalia
148779565,2773448,40053,Ornithogalum umbellatum L.,ACCEPTED,2773448,Ornithogalum umbellatum L.,SPECIES,Plantae
148779567,2768885,39679,Asparagus officinalis L.,ACCEPTED,2768885,Asparagus officinalis L.,SPECIES,Plantae
148779569,2308606,40100,"Potamothrix bavaricus (Oschmann, 1913)",ACCEPTED,2308606,"Potamothrix bavaricus (Oschmann, 1913)",SPECIES,Animalia
148779572,2308609,40102,"Potamothrix moldaviensis (VejdovskÃ½ & MrÃ¡zek, 1903)",ACCEPTED,2308609,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903",SPECIES,Animalia
148779573,5289503,40252,Typha laxmannii Lepech.,ACCEPTED,5289503,Typha laxmannii Lepech.,SPECIES,Plantae
148779577,2307856,39750,"Caspiobdella fadejewi (Selensky, 1915)",ACCEPTED,2307856,"Caspiobdella fadejewi (Epshtein, 1961)",SPECIES,Animalia
148779578,2700874,39996,Luzula luzuloides (Lam.) Dandy & Wilmott,ACCEPTED,2700874,Luzula luzuloides (Lam.) Dandy & Wilmott,SPECIES,Plantae
148779580,2702084,39955,Juncus tenuis Willd.,ACCEPTED,2702084,Juncus tenuis Willd.,SPECIES,Plantae
148779582,6413621,39954,Juncus gerardii Loisel.,ACCEPTED,6413621,Juncus gerardi Loisel.,SPECIES,Plantae
148779586,2723271,39745,Carex melanostachya Willd.,ACCEPTED,2723271,Carex melanostachya M.Bieb. ex Willd.,SPECIES,Plantae
148779587,2439261,40130,"Rattus norvegicus (Berkenhout, 1769)",ACCEPTED,2439261,"Rattus norvegicus (Berkenhout, 1769)",SPECIES,Animalia
