taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
152543101,https://www.gbif.org/species/5740285,"Gyrodactylus proterorhini Ergens, 1967",ACCEPTED,5740285,"Gyrodactylus proterorhini Ergens, 1967",SPECIES,Animalia
152543102,https://www.gbif.org/species/3202936,Aphanomyces astaci Schikora,ACCEPTED,3202936,Aphanomyces astaci Schikora,SPECIES,Chromista
152543110,https://www.gbif.org/species/5179027,"Scutigera coleoptrata Linnaeus, 1758",ACCEPTED,5179027,"Scutigera coleoptrata Linnaeus, 1758",SPECIES,Animalia
152543115,https://www.gbif.org/species/5250069,"Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piątek",ACCEPTED,5250069,"Thecaphora oxalidis (Ellis & Tracy) M.Lutz, R.Bauer & Piątek",SPECIES,Fungi
152543120,https://www.gbif.org/species/4985072,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",ACCEPTED,4985072,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",SPECIES,Animalia
152543121,https://www.gbif.org/species/5250090,Urocystis trollii Nannf.,ACCEPTED,5250090,Urocystis trollii Nannf.,SPECIES,Fungi
152543128,https://www.gbif.org/species/2557730,Sporisorium destruens (Schltdl.) Vánky,ACCEPTED,2557730,Sporisorium destruens (Schltdl.) Vánky,SPECIES,Fungi
152543132,https://www.gbif.org/species/6157050,"Graptemys pseudogeographica kohnii (Baur, 1890)",ACCEPTED,6157050,"Graptemys pseudogeographica kohnii (Baur, 1890)",SUBSPECIES,Animalia
152543136,https://www.gbif.org/species/7190901,Graptemys pseudogeographica pseudogeographica,ACCEPTED,7190901,Graptemys pseudogeographica pseudogeographica,SUBSPECIES,Animalia
152543139,https://www.gbif.org/species/6157035,"Trachemys scripta troostii (Holbrook, 1836)",ACCEPTED,6157035,"Trachemys scripta troostii (Holbrook, 1836)",SUBSPECIES,Animalia
152543140,https://www.gbif.org/species/6157026,"Trachemys scripta elegans (Wied, 1838)",ACCEPTED,6157026,"Trachemys scripta elegans (Wied, 1838)",SUBSPECIES,Animalia
152543141,https://www.gbif.org/species/7062200,Trachemys scripta scripta,ACCEPTED,7062200,Trachemys scripta scripta,SUBSPECIES,Animalia
152543142,https://www.gbif.org/species/2537743,Lentinula edodes (Berk.) Pegler,ACCEPTED,2537743,Lentinula edodes (Berk.) Pegler,SPECIES,Fungi
152543147,https://www.gbif.org/species/9350124,"Natrix helvetica (Lacépède, 1789)",ACCEPTED,9350124,"Natrix helvetica (Lacépède, 1789)",SPECIES,Animalia
152543152,https://www.gbif.org/species/2516809,Melampsoridium betulinum (Pers.) Kleb.,ACCEPTED,2516809,Melampsoridium betulinum (Pers.) Kleb.,SPECIES,Fungi
152543157,https://www.gbif.org/species/2516419,Tranzschelia discolor (Fuckel) Tranzschel & M.A.Litv.,ACCEPTED,2516419,Tranzschelia discolor (Fuckel) Tranzschel & M.A.Litv.,SPECIES,Fungi
152543162,https://www.gbif.org/species/7239373,Uromyces veratri (DC.) J.Schröt.,ACCEPTED,7239373,Uromyces veratri (DC.) J.Schröt.,SPECIES,Fungi
152543166,https://www.gbif.org/species/2516117,Gymnosporangium confusum Plowr.,ACCEPTED,2516117,Gymnosporangium confusum Plowr.,SPECIES,Fungi
152543167,https://www.gbif.org/species/2516137,Gymnosporangium sabinae (Dicks.) G.Winter,ACCEPTED,2516137,Gymnosporangium sabinae (Dicks.) G.Winter,SPECIES,Fungi
152543168,https://www.gbif.org/species/9185677,"Podarcis siculus (Rafinesque-Schmaltz, 1810)",ACCEPTED,9185677,"Podarcis siculus (Rafinesque-Schmaltz, 1810)",SPECIES,Animalia
152543169,https://www.gbif.org/species/2469188,"Podarcis muralis (Laurenti, 1768)",ACCEPTED,2469188,"Podarcis muralis (Laurenti, 1768)",SPECIES,Animalia
152543171,https://www.gbif.org/species/2516075,Cumminsiella mirabilissima (Peck) Nannf.,ACCEPTED,2516075,Cumminsiella mirabilissima (Peck) Nannf.,SPECIES,Fungi
152543176,https://www.gbif.org/species/3376286,Puccinia pazschkei Dietel,ACCEPTED,3376286,Puccinia pazschkei Dietel,SPECIES,Fungi
152543178,https://www.gbif.org/species/4344674,"Dendrocoelum romanodanubiale (Codreanu, 1949)",ACCEPTED,4344674,"Dendrocoelum romanodanubiale (Codreanu, 1949)",SPECIES,Animalia
152543181,https://www.gbif.org/species/2515351,Puccinia oxalidis Dietel & Ellis,ACCEPTED,2515351,Puccinia oxalidis Dietel & Ellis,SPECIES,Fungi
152543183,https://www.gbif.org/species/2515236,Puccinia antirrhini Dietel & Holw.,ACCEPTED,2515236,Puccinia antirrhini Dietel & Holw.,SPECIES,Fungi
152543185,https://www.gbif.org/species/2514972,Puccinia komarovii Tranzschel,DOUBTFUL,2514972,Puccinia komarovii Tranzschel,SPECIES,Fungi
152543187,https://www.gbif.org/species/2514966,Puccinia sorghi Schwein.,ACCEPTED,2514966,Puccinia sorghi Schwein.,SPECIES,Fungi
152543192,https://www.gbif.org/species/2502938,"Bipalium kewense Moseley, 1878",ACCEPTED,2502938,"Bipalium kewense Moseley, 1878",SPECIES,Animalia
152543197,https://www.gbif.org/species/2513609,Entyloma calendulae (Oudem.) de Bary,ACCEPTED,2513609,Entyloma calendulae (Oudem.) de Bary,SPECIES,Fungi
152543200,https://www.gbif.org/species/5232428,"Chloephaga picta (J.F.Gmelin, 1789)",ACCEPTED,5232428,"Chloephaga picta (J.F.Gmelin, 1789)",SPECIES,Animalia
152543206,https://www.gbif.org/species/5232437,"Branta canadensis (Linnaeus, 1758)",ACCEPTED,5232437,"Branta canadensis (Linnaeus, 1758)",SPECIES,Animalia
152543207,https://www.gbif.org/species/7670473,"Batrachochytrium salamandrivorans A.Martel, Blooi, Bossuyt & Pasmans",ACCEPTED,7670473,"Batrachochytrium salamandrivorans A.Martel, Blooi, Bossuyt & Pasmans",SPECIES,Fungi
152543209,https://www.gbif.org/species/2627503,"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols",ACCEPTED,2627503,"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols",SPECIES,Fungi
152543210,https://www.gbif.org/species/2498387,"Aix sponsa (Linnaeus, 1758)",ACCEPTED,2498387,"Aix sponsa (Linnaeus, 1758)",SPECIES,Animalia
