taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
159881459,BA,present,introduced,invasive,,,
159881464,BA,present,introduced,,,,
159881469,BA,present,introduced,,,,
159881472,BA,present,introduced,,,,
159881475,BA,present,introduced,,,,
159881477,BA,present,introduced,,,,
159881478,BA,present,introduced,,,,
159881479,BA,present,introduced,,,,
159881482,BA,present,introduced,,,,
159881484,BA,present,introduced,,,,
159881488,BA,present,introduced,invasive,,,
159881491,BA,present,introduced,,,,
159881492,BA,present,introduced,,,,
159881493,BA,present,introduced,,,,
159881494,BA,present,introduced,,,,
159881495,BA,present,introduced,,,,
159881498,BA,present,introduced,invasive,,,
159881499,BA,present,introduced,,,,
159881500,BA,present,introduced,,,,
159881501,BA,present,introduced,invasive,,,
159881502,BA,present,introduced,,,,
159881503,BA,present,introduced,,,,
159881504,BA,present,introduced,invasive,,,
159881507,BA,present,introduced,,,,
159881508,BA,present,introduced,invasive,,,
159881510,BA,present,introduced,,,,
159881511,BA,present,introduced,invasive,,,
159881512,BA,present,introduced,invasive,,,
159881513,BA,present,introduced,,,,
159881516,BA,present,introduced,,,,
159881517,BA,present,introduced,,,,
159881521,BA,present,introduced,,,,
159881524,BA,present,introduced,,,,
159881525,BA,present,introduced,,,,
159881530,BA,present,introduced,,,,
159881533,BA,present,introduced,invasive,,,
159881536,BA,present,introduced,,,,
159881542,BA,present,introduced,invasive,,,
159881545,BA,present,introduced,,,,
159881551,BA,present,introduced,,,,
159881553,BA,present,introduced,,,,
159881554,BA,present,introduced,,,,
159881558,BA,present,introduced,,,,
159881559,BA,present,introduced,invasive,,,
159881562,BA,present,introduced,,,,
159881563,BA,present,introduced,,,,
159881564,BA,present,introduced,,,,
159881565,BA,present,introduced,,,,
159881568,BA,present,introduced,,,,
159881570,BA,present,introduced,invasive,,,
159881571,BA,present,introduced,,,,
159881574,BA,present,introduced,,,,
159881575,BA,present,introduced,,,,
159881576,BA,present,introduced,,,,
159881578,BA,present,introduced,,,,
159881579,BA,present,introduced,,,,
159881580,BA,present,introduced,,,,
