taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
134853224,2508901,4180,"Ochetostoma erythrogrammon Leuckart & Ruppell, 1828",ACCEPTED,2508901,"Ochetostoma erythrogrammon Rüppell & Leuckart, 1828",SPECIES,Animalia
134853226,4382171,4127,"Marteilia refringens Grizel, Comps, Bonami, Cousserans, Duthoit & Le Pennec, 1974",ACCEPTED,4382171,"Marteilia refringens Grizel, Comps, Bonami, Cousserans, Duthoit & Le Pennec, 1974",SPECIES,Chromista
134853233,5423348,3898,"Desmarestia viridis (O.F.Müller) J.V.Lamouroux, 1813",ACCEPTED,5423348,Desmarestia viridis (O.F.Müll.) J.V.Lamour.,SPECIES,Chromista
134853239,3197970,3834,"Colpomenia peregrina Sauvageau, 1927",ACCEPTED,3197970,Colpomenia peregrina Sauv.,SPECIES,Chromista
134853240,2509991,4254,"Phascolosoma scolops (Selenka & de Man in Selenka, de Man & Bnlow, 1883)",SYNONYM,2509985,"Phascolosoma carneum Leuckart & Rüppell, 1828",SPECIES,Animalia
134853248,2237923,4224,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",ACCEPTED,2237923,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",SPECIES,Animalia
134853249,8394523,3827,"Cocconeis caulerpacola Witkowski, Car & Dobosz, 2012",ACCEPTED,8394523,"Cocconeis caulerpacola Witkowski, Car & Dobosz, 2012",SPECIES,Chromista
134853256,2319527,4140,"Metasychis gotoi (Izuka, 1902)",ACCEPTED,2319527,"Metasychis gotoi (Izuka, 1902)",SPECIES,Animalia
134853259,7705954,3931,"Elphidium striatopunctatum (Fichtel & Moll, 1798)",ACCEPTED,7705954,"Elphidium striatopunctatum (Fichtel & Moll, 1798)",SPECIES,Chromista
134853261,5196384,4164,"Nereis persica Fauvel, 1911",ACCEPTED,5196384,"Nereis persica Fauvel, 1911",SPECIES,Animalia
134853266,2318164,4162,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",ACCEPTED,2318164,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",SPECIES,Animalia
134853267,6537484,3876,"Cushmanina striatopunctata (Parker & Jones, 1865)",ACCEPTED,6537484,"Cushmanina striatopunctata (Parker & Jones, 1865)",SPECIES,Chromista
134853270,2327735,3967,"Ficopomatus enigmaticus (Fauvel, 1923)",ACCEPTED,2327735,"Ficopomatus enigmaticus (Fauvel, 1923)",SPECIES,Animalia
134853278,7665662,3750,"Bugulina fulva (Ryland, 1960)",ACCEPTED,7665662,"Bugulina fulva (Ryland, 1960)",SPECIES,Animalia
134853282,7450084,4286,"Planispirinella exigua (Brady, 1879)",ACCEPTED,7450084,"Planispirinella exigua (Brady, 1879)",SPECIES,Chromista
134853284,2267679,3954,"Eucheilota paradoxica Mayer, 1900",ACCEPTED,2267679,"Eucheilota paradoxica Mayer, 1900",SPECIES,Animalia
134853288,8390568,3857,"Coscinospira hemprichii Ehrenberg, 1839",ACCEPTED,8390568,"Coscinospira hemprichii Ehrenberg, 1839",SPECIES,Chromista
134853289,2265163,4448,"Trichydra pudica Wright, 1857",ACCEPTED,2265163,"Trichydra pudica Wright, 1857",SPECIES,Animalia
134853291,2266125,3955,"Eudendrium carneum Clarke, 1882",ACCEPTED,2266125,"Eudendrium carneum Clarke, 1882",SPECIES,Animalia
134853293,2266154,3956,"Eudendrium merulum Watson, 1985",ACCEPTED,2266154,"Eudendrium merulum Watson, 1985",SPECIES,Animalia
134853294,8077296,3689,"Archaias angulatus (Fichtel & Moll, 1798)",ACCEPTED,8077296,"Archaias angulatus (Fichtel & Moll, 1798)",SPECIES,Chromista
134853296,2265741,3855,"Corymorpha annulata (Kramp, 1928)",ACCEPTED,2265741,"Corymorpha annulata (Kramp, 1928)",SPECIES,Animalia
