taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
163732873,CY,present,introduced,,,,
163732878,CY,present,introduced,,,,
163732881,CY,present,introduced,,,,
163732882,CY,present,introduced,,,,
163732885,CY,present,introduced,,,,
163732886,CY,present,introduced,,,,
163732889,CY,present,introduced,,,,
163732892,CY,present,introduced,,,,
163732893,CY,present,introduced,,,,
163732895,CY,present,introduced,,,,
163732898,CY,present,introduced,,,,
163732899,CY,present,introduced,,,,
163732903,CY,present,introduced,,,,
163732904,CY,present,introduced,,,,
163732911,CY,present,introduced,,,,
163732914,CY,present,introduced,,,,
163732915,CY,present,introduced,,,,
163732918,CY,present,introduced,,,,
163732921,CY,present,introduced,,,,
163732924,CY,present,introduced,,,,
