taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
323327892,CY,present,introduced,widespreadinvasive,agriculture,1984/1994,"Bradbury JF (1991) IMI Descriptions of Fungi and Bacteria No. 105, Sheet 1046. | EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Kyriakou A, Eliades G, Ioannou N, Kapari-Isaia T (1996) Effect of stubborn disease on growth, yield and fruit quality of Frost Washington Navel and Frost Valencia oranges in Cyprus. Journal of Horticultural Science 71(3): 461-467. https://doi.org/10.1080/14620316.1996.11515427 | NPPO of Cyprus (1993) | Magliozzi C, Artois M, Bertaccini A, Candresse T, Tsiamis K, D’Amico F, Deriu I, Gervasini E, Cardoso AC (2022) European primary datasets of alien bacteria and viruses. Scientific Data 9(1): 1-10. https://doi.org/10.1038/s41597-022-01485-1"
323327892,CY,present,introduced,widespreadinvasive,horticulture,1984/1994,"Bradbury JF (1991) IMI Descriptions of Fungi and Bacteria No. 105, Sheet 1046. | EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Kyriakou A, Eliades G, Ioannou N, Kapari-Isaia T (1996) Effect of stubborn disease on growth, yield and fruit quality of Frost Washington Navel and Frost Valencia oranges in Cyprus. Journal of Horticultural Science 71(3): 461-467. https://doi.org/10.1080/14620316.1996.11515427 | NPPO of Cyprus (1993) | Magliozzi C, Artois M, Bertaccini A, Candresse T, Tsiamis K, D’Amico F, Deriu I, Gervasini E, Cardoso AC (2022) European primary datasets of alien bacteria and viruses. Scientific Data 9(1): 1-10. https://doi.org/10.1038/s41597-022-01485-1"
323327892,CY,present,introduced,widespreadinvasive,contaminantnursery,1984/1994,"Bradbury JF (1991) IMI Descriptions of Fungi and Bacteria No. 105, Sheet 1046. | EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Kyriakou A, Eliades G, Ioannou N, Kapari-Isaia T (1996) Effect of stubborn disease on growth, yield and fruit quality of Frost Washington Navel and Frost Valencia oranges in Cyprus. Journal of Horticultural Science 71(3): 461-467. https://doi.org/10.1080/14620316.1996.11515427 | NPPO of Cyprus (1993) | Magliozzi C, Artois M, Bertaccini A, Candresse T, Tsiamis K, D’Amico F, Deriu I, Gervasini E, Cardoso AC (2022) European primary datasets of alien bacteria and viruses. Scientific Data 9(1): 1-10. https://doi.org/10.1038/s41597-022-01485-1"
323327892,CY,present,introduced,widespreadinvasive,seedcontaminant,1984/1994,"Bradbury JF (1991) IMI Descriptions of Fungi and Bacteria No. 105, Sheet 1046. | EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Kyriakou A, Eliades G, Ioannou N, Kapari-Isaia T (1996) Effect of stubborn disease on growth, yield and fruit quality of Frost Washington Navel and Frost Valencia oranges in Cyprus. Journal of Horticultural Science 71(3): 461-467. https://doi.org/10.1080/14620316.1996.11515427 | NPPO of Cyprus (1993) | Magliozzi C, Artois M, Bertaccini A, Candresse T, Tsiamis K, D’Amico F, Deriu I, Gervasini E, Cardoso AC (2022) European primary datasets of alien bacteria and viruses. Scientific Data 9(1): 1-10. https://doi.org/10.1038/s41597-022-01485-1"
323327896,CY,present,introduced,established,parasitesonplants,1976/1995,"EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J, Siddiqi MR (1976) A list of plant parasitic nematodes in Cyprus. Nematologia Mediterranea 4(2): 171-174. | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314."
323327896,CY,present,introduced,established,contaminantonplants,1976/1995,"EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J, Siddiqi MR (1976) A list of plant parasitic nematodes in Cyprus. Nematologia Mediterranea 4(2): 171-174. | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314."
323327896,CY,present,introduced,established,transportationhabitatmaterial,1976/1995,"EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J, Siddiqi MR (1976) A list of plant parasitic nematodes in Cyprus. Nematologia Mediterranea 4(2): 171-174. | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314."
323327896,CY,present,introduced,established,contaminantnursery,1976/1995,"EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J, Siddiqi MR (1976) A list of plant parasitic nematodes in Cyprus. Nematologia Mediterranea 4(2): 171-174. | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314."
323327896,CY,present,introduced,established,containerbulk,1976/1995,"EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J, Siddiqi MR (1976) A list of plant parasitic nematodes in Cyprus. Nematologia Mediterranea 4(2): 171-174. | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314."
323327896,CY,present,introduced,established,machineryequipment,1976/1995,"EASIN (2023) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J, Siddiqi MR (1976) A list of plant parasitic nematodes in Cyprus. Nematologia Mediterranea 4(2): 171-174. | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314."
323327900,CY,present,uncertain,established,parasitesonplants,1995/1995,Philis J (2026) Outlook on plant nematodes and their control in Cyprus. Available at: https://www.fao.org/4/v9978e/v9978e0d.htm (Accessed 14/01/2026) | EASIN (2026) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314.
323327900,CY,present,uncertain,established,contaminantonplants,1995/1995,Philis J (2026) Outlook on plant nematodes and their control in Cyprus. Available at: https://www.fao.org/4/v9978e/v9978e0d.htm (Accessed 14/01/2026) | EASIN (2026) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314.
323327900,CY,present,uncertain,established,transportationhabitatmaterial,1995/1995,Philis J (2026) Outlook on plant nematodes and their control in Cyprus. Available at: https://www.fao.org/4/v9978e/v9978e0d.htm (Accessed 14/01/2026) | EASIN (2026) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314.
323327900,CY,present,uncertain,established,contaminantnursery,1995/1995,Philis J (2026) Outlook on plant nematodes and their control in Cyprus. Available at: https://www.fao.org/4/v9978e/v9978e0d.htm (Accessed 14/01/2026) | EASIN (2026) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314.
323327900,CY,present,uncertain,established,containerbulk,1995/1995,Philis J (2026) Outlook on plant nematodes and their control in Cyprus. Available at: https://www.fao.org/4/v9978e/v9978e0d.htm (Accessed 14/01/2026) | EASIN (2026) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314.
323327900,CY,present,uncertain,established,machineryequipment,1995/1995,Philis J (2026) Outlook on plant nematodes and their control in Cyprus. Available at: https://www.fao.org/4/v9978e/v9978e0d.htm (Accessed 14/01/2026) | EASIN (2026) European Commission Joint Research Centre: European Alien Species Information Network (EASIN). https://easin.jrc.ec.europa.eu/ | Philis J (1995) An up-dated list of plant parasitic nematodes from Cyprus and their economic importance. Nematologia Mediterranea 23: 307–314.
