taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
323327892,3226201,alien_species_cyprus:taxon:91ab716ae7c2a908eba0b1b084c87f50,"Spiroplasma citri Saglio et al., 1973",ACCEPTED,3226201,"Spiroplasma citri Saglio et al., 1973",SPECIES,Bacteria
323327896,5188667,alien_species_cyprus:taxon:776cf676f1e5e919a9480a89e8da61d9,"Globodera rostochiensis (Wollenweber, 1923)",ACCEPTED,5188667,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959",SPECIES,Animalia
323327900,7025501,alien_species_cyprus:taxon:d2077d057d7cf438cd3867dd9dcf2896,"Heterodera latipons Franklin, 1969",ACCEPTED,7025501,"Heterodera latipons Franklin, 1969",SPECIES,Animalia
323327905,3222012,alien_species_cyprus:taxon:141b284aae5b3b867a1b0115ddbfdd05,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920 emend. Hauben et al., 1998 emend. Hauben & al. , 1998",ACCEPTED,3222012,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920",SPECIES,Bacteria
323327908,2284095,alien_species_cyprus:taxon:8012245e6b779679864dd26e616004b8,"Helicotylenchus multicinctus (Cobb, 1893) Golden, 1956",ACCEPTED,2284095,"Helicotylenchus multicinctus (Cobb, 1893) Golden, 1956",SPECIES,Animalia
323327913,4556347,alien_species_cyprus:taxon:d7da6d5f65d7e60c616bf61139dae719,"Pratylenchus penetrans (Cobb, 1917) Filipjev & Schuurmans Stekhoven, 1941",ACCEPTED,4556347,"Pratylenchus penetrans (Cobb, 1917) Filipjev & Schuurmans Stekhoven, 1941",SPECIES,Animalia
323327915,8900922,alien_species_cyprus:taxon:6606100eed3bfe8ea452cd17bb680fb7,"Xanthomonas axonopodis Starr & Garces, 1950 emend. Vauterin et al., 1995 emend. Vauterin & al. , 1995",ACCEPTED,8900922,"Xanthomonas axonopodis Starr & Garces, 1950",SPECIES,Bacteria
323327918,4556372,alien_species_cyprus:taxon:ee950ba665461517fd02f478a0b002d6,"Rotylenchulus parvus Williams, 1960",ACCEPTED,4556372,"Rotylenchulus parvus Williams, 1960",SPECIES,Animalia
323327923,5188665,alien_species_cyprus:taxon:12039dfbb0c16becb3aa8c84168fa1a8,"Globodera pallida (Stone, 1973)",DOUBTFUL,5188665,"Globodera pallida Stone, 1973",SPECIES,Animalia
323327926,5427485,alien_species_cyprus:taxon:adb18462984196958770503f1d7f7fff,"Rhizobium radiobacter (Beijerinck & van Delden, 1902) Young et al., 2001",SYNONYM,3220735,"Agrobacterium radiobacter (Beijerinck & van Delden, 1902) Conn, 1942",SPECIES,Bacteria
323327929,4556287,alien_species_cyprus:taxon:c5c104a2fb49854b5a7c35164d7091f7,"Meloidogyne javanica (Treub, 1885)",ACCEPTED,4556287,"Meloidogyne javanica (Treub, 1885) Chitwood, 1949",SPECIES,Animalia
323327931,4556282,alien_species_cyprus:taxon:fc5f315e6f17136a83673dabe2ae8a0e,"Meloidogyne incognita (Kofoid & White, 1919)",ACCEPTED,4556282,"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949",SPECIES,Animalia
323327933,,alien_species_cyprus:taxon:971c08ec0164d8d3aadd55ee136c157b,"Meloidogyne arenaria Neal, 1889",,,"Meloidogyne arenaria Neal, 1889",,
323327934,2283982,alien_species_cyprus:taxon:a5621ad5f4d6699afaedca084e70502e,"Meloidogyne hapla Chitwood, 1949",ACCEPTED,2283982,"Meloidogyne hapla Chitwood, 1949",SPECIES,Animalia
