taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148692903,CY,present,,,,,
148692906,CY,present,introduced,,,,
148692918,CY,present,introduced,,,,
148692921,CY,present,introduced,,,,
148692922,CY,present,introduced,,,,
148692923,CY,present,introduced,,,,
148692924,CY,present,introduced,,,,
148692930,CY,present,introduced,,,,
148692935,CY,present,introduced,,,,
148692936,CY,present,,,,,
148692937,CY,present,introduced,,,,
148692938,CY,present,,,,,
148692941,CY,present,introduced,,,,
148692948,CY,present,introduced,,,,
148692951,CY,doubtful,introduced,,,,
148692957,CY,present,introduced,,,,
148692958,CY,present,introduced,,,,
148692960,CY,present,introduced,invasive,,,
148692963,CY,present,introduced,,,,
148692967,CY,present,introduced,,,,
148692970,CY,present,introduced,,,,
148692972,CY,present,introduced,,,,
148692975,CY,present,introduced,,,,
148692976,CY,present,introduced,,,,
148692980,CY,present,,,,,
148692983,CY,present,,,,,
148692984,CY,present,,,,,
148692986,CY,present,,,,,
148692988,CY,present,introduced,,,,
148692993,CY,present,introduced,,,,
148692995,CY,present,introduced,,,,
148692996,CY,present,introduced,,,,
148693005,CY,present,introduced,,,,
148693007,CY,present,introduced,,,,
148693008,CY,present,introduced,,,,
148693009,CY,present,introduced,,,,
148693011,CY,present,introduced,,,,
148693013,CY,present,,,,,
148693017,CY,present,introduced,,,,
148693018,CY,present,introduced,,,,
148693019,CY,present,introduced,,,,
148693020,CY,present,,,,,
148693025,CY,present,introduced,invasive,,,
148693027,CY,present,introduced,,,,
148693028,CY,present,,,,,
148693029,CY,present,introduced,,,,
148693031,CY,present,introduced,,,,
148693032,CY,present,introduced,invasive,,,
148693036,CY,present,introduced,,,,
148693039,CY,present,introduced,,,,
148693040,CY,present,introduced,,,,
148693043,CY,present,introduced,,,,
148693049,CY,present,,,,,
148693050,CY,present,introduced,,,,
148693055,CY,present,introduced,,,,
148693059,CY,present,introduced,,,,
148693060,CY,present,introduced,,,,
148693062,CY,present,introduced,,,,
148693069,CY,present,introduced,,,,
148693070,CY,present,introduced,,,,
148693072,CY,present,introduced,,,,
148693074,CY,present,,,,,
148693076,CY,present,introduced,,,,
148693078,CY,present,,,,,
148693079,CY,present,introduced,,,,
148693080,CY,present,,,,,
148693082,CY,present,,,,,
148693084,CY,present,introduced,,,,
148693090,CY,present,introduced,,,,
148693092,CY,present,introduced,,,,
148693095,CY,present,introduced,invasive,,,
148693097,CY,present,introduced,,,,
148693098,CY,present,introduced,,,,
148693101,CY,present,introduced,,,,
148693105,CY,present,introduced,invasive,,,
148693107,CY,present,introduced,,,,
148693108,CY,present,introduced,invasive,,,
148693111,CY,present,introduced,,,,
148693113,CY,present,introduced,,,,
148693115,CY,present,introduced,invasive,,,
148693116,CY,present,introduced,,,,
148693121,CY,present,introduced,,,,
148693122,CY,present,introduced,,,,
148693123,CY,present,introduced,,,,
148693124,CY,present,introduced,,,,
148693128,CY,present,introduced,,,,
148693129,CY,present,introduced,,,,
148693130,CY,present,introduced,,,,
148693133,CY,present,introduced,,,,
148693135,CY,present,introduced,,,,
148693136,CY,present,introduced,,,,
148693138,CY,present,introduced,invasive,,,
148693139,CY,present,introduced,,,,
148693140,CY,present,introduced,,,,
148693143,CY,present,introduced,,,,
148693145,CY,present,introduced,,,,
148693146,CY,present,introduced,invasive,,,
148693147,CY,present,introduced,,,,
148693148,CY,present,introduced,,,,
148693150,CY,present,,,,,
148693153,CY,present,introduced,,,,
148693154,CY,present,introduced,,,,
148693155,CY,present,introduced,,,,
148693157,CY,present,introduced,,,,
148693159,CY,present,introduced,,,,
148693160,CY,present,introduced,,,,
148693161,CY,present,introduced,,,,
148693162,CY,present,introduced,,,,
148693164,CY,present,introduced,,,,
148693165,CY,present,,,,,
148693167,CY,present,introduced,,,,
148693168,CY,present,introduced,,,,
148693170,CY,present,introduced,,,,
148693171,CY,present,introduced,,,,
148693173,CY,present,introduced,,,,
148693174,CY,present,introduced,,,,
148693175,CY,present,introduced,,,,
148693177,CY,present,introduced,,,,
148693178,CY,present,introduced,,,,
148693179,CY,present,introduced,,,,
148693181,CY,present,introduced,,,,
148693182,CY,present,introduced,,,,
148693184,CY,present,introduced,,,,
148693185,CY,present,introduced,,,,
148693186,CY,present,introduced,invasive,,,
148693188,CY,present,introduced,,,,
148693191,CY,present,introduced,,,,
148693193,CY,present,introduced,,,,
148693194,CY,present,introduced,,,,
148693195,CY,present,introduced,,,,
148693197,CY,present,introduced,,,,
148693200,CY,present,introduced,,,,
148693202,CY,present,introduced,,,,
148693203,CY,present,introduced,,,,
148693205,CY,present,introduced,,,,
148693206,CY,present,introduced,,,,
148693207,CY,present,introduced,,,,
148693210,CY,present,introduced,,,,
148693212,CY,present,introduced,,,,
148693213,CY,present,introduced,,,,
148693215,CY,present,,,,,
148693216,CY,present,introduced,,,,
148693217,CY,present,introduced,,,,
148693218,CY,present,introduced,,,,
148693219,CY,present,introduced,,,,
148693220,CY,present,introduced,invasive,,,
148693221,CY,present,introduced,,,,
148693226,CY,present,introduced,,,,
148693227,CY,present,introduced,invasive,,,
148693228,CY,present,introduced,,,,
148693229,CY,present,introduced,invasive,,,
148693230,CY,present,introduced,,,,
148693234,CY,present,,,,,
148693239,CY,present,introduced,,,,
148693241,CY,present,introduced,,,,
148693243,CY,present,,,,,
148693244,CY,present,introduced,,,,
148693245,CY,present,,,,,
148693247,CY,present,introduced,invasive,,,
148693248,CY,present,introduced,,,,
148693250,CY,present,introduced,,,,
148693252,CY,present,introduced,,,,
148693254,CY,present,,,,,
148693257,CY,present,introduced,,,,
148693259,CY,present,introduced,,,,
148693260,CY,present,introduced,,,,
148693262,CY,present,introduced,,,,
148693263,CY,present,introduced,,,,
148693264,CY,present,introduced,,,,
148693265,CY,present,introduced,,,,
148693266,CY,present,introduced,,,,
148693268,CY,present,introduced,,,,
148693270,CY,present,introduced,,,,
148693271,CY,present,introduced,,,,
148693272,CY,present,introduced,,,,
148693273,CY,present,introduced,,,,
148693275,CY,present,introduced,,,,
148693276,CY,present,introduced,,,,
148693277,CY,present,introduced,,,,
148693279,CY,present,introduced,,,,
148693280,CY,present,introduced,,,,
148693281,CY,present,introduced,,,,
148693282,CY,present,introduced,,,,
148693283,CY,present,introduced,invasive,,,
148693285,CY,present,introduced,invasive,,,
148693287,CY,present,introduced,,,,
148693289,CY,present,introduced,invasive,,,
148693291,CY,present,introduced,,,,
148693292,CY,present,,,,,
148693294,CY,present,introduced,,,,
148693296,CY,present,introduced,,,,
148693299,CY,present,introduced,,,,
148693302,CY,present,introduced,,,,
148693306,CY,present,introduced,,,,
148693307,CY,present,introduced,,,,
148693308,CY,present,introduced,,,,
148693309,CY,present,introduced,,,,
148693314,CY,present,introduced,,,,
148693315,CY,present,introduced,,,,
148693317,CY,present,introduced,,,,
148693319,CY,present,introduced,,,,
148693322,CY,present,introduced,,,,
148693324,CY,present,introduced,,,,
148693325,CY,present,introduced,,,,
148693326,CY,present,introduced,,,,
148693329,CY,present,introduced,invasive,,,
148693332,CY,present,introduced,,,,
148693335,CY,present,introduced,,,,
148693337,CY,present,introduced,,,,
148693338,CY,present,introduced,,,,
148693339,CY,present,introduced,,,,
148693341,CY,present,introduced,,,,
148693345,CY,present,introduced,,,,
148693348,CY,present,introduced,,,,
148693349,CY,present,introduced,,,,
148693351,CY,present,introduced,,,,
148693352,CY,present,introduced,,,,
148693357,CY,present,introduced,,,,
148693359,CY,present,introduced,invasive,,,
148693360,CY,present,introduced,invasive,,,
148693362,CY,present,introduced,,,,
148693363,CY,present,introduced,,,,
148693364,CY,present,introduced,,,,
148693366,CY,present,introduced,,,,
148693368,CY,present,introduced,,,,
148693370,CY,present,introduced,,,,
148693371,CY,present,introduced,,,,
148693373,CY,present,introduced,,,,
148693376,CY,present,introduced,,,,
