taxonKey,nubKey,taxonID,scientificName,acceptedKey,accepted,kingdom,taxonRank
148692903,5774728,20667,"Eriophyes pyri (H.A.Pagenstecher, 1857)",201365223,"Phytoptus pyri Pagenstecher, 1857",Animalia,
148692906,3200580,21008,Stypopodium schimperi (Kützing) Verlaque & Boudouresque,,,Chromista,
148692918,5421948,20939,"Rhizosolenia calcar-avis M.Schultze, 1858",,,Chromista,
148692921,3194102,20917,"Pseudosolenia calcar-avis (Schultze) B.G.SundstrÃ¶m, 1986",148692918,"Rhizosolenia calcar-avis M.Schultze, 1858",Chromista,
148692922,4554475,21062,"Xiphinema brevicolle Lordello & Da Costa, 1961",,,Animalia,
148692923,4554493,21063,"Xiphinema index Thorne & Allen, 1950",,,Animalia,
148692924,4554459,21064,"Xiphinema italiae Meyl, 1953",,,Animalia,
148692930,4556299,20794,"Meloidogyne arenaria (Neal, 1889)",,,Animalia,
148692935,2283982,20795,"Meloidogyne hapla Chitwood, 1949",,,Animalia,
148692936,3203668,20881,Phytophthora citrophthora (R.E.Sm. & E.H.Sm.) Leonian,,,Chromista,
148692937,5188667,20694,"Globodera rostochiensis (Wollenweber, 1923)",,,Animalia,
148692938,5188665,20693,"Globodera pallida (Stone, 1973)",,,Animalia,
148692941,4555875,20647,"Ditylenchus destructor Thorne, 1945",,,Animalia,
148692948,8271018,20915,"Pseudolachlanella slitella Langer, 1992",,,Chromista,
148692951,2267855,20742,"Laodicea fijiana Agassiz & Mayer, 1899",,,Animalia,
148692957,2264597,20942,"Rhopilema nomadica Galil, 1990",,,Animalia,
148692958,8234981,20859,"Pegidia lacunata McCulloch, 1977",,,Chromista,
148692960,2264603,20572,"Cassiopea andromeda (ForsskÃ¥l, 1775)",,,Animalia,
148692963,7374940,20494,"Amphistegina lobifera Larsen, 1976",,,Chromista,
148692967,2318080,20825,"Notomastus aberans Day, 1957",,,Animalia,
148692970,7930958,20826,"Notomastus mossambicus (Thomassin, 1970)",,,Animalia,
148692972,2318164,20816,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",,,Animalia,
148692975,2319527,20804,"Metasychis gotoi (Izuka, 1902)",,,Animalia,
148692976,2575053,20965,Seiridium cardinale (W.W.Wagener) B.Sutton & I.A.S.Gibson,,,Fungi,
148692980,5197940,20827,"Oenone fulgida (Savigny, 1818)",,,Animalia,
148692983,5952582,20835,"Ophiognomonia leptostyla (Fr.) Sogonov, 2008",,,Fungi,
148692984,5198157,20776,"Lysidice collaris Grube, 1870",,,Animalia,
148692986,2569650,20823,"Nigrospora oryzae (Berk. & Broome) Petch, 1924",,,Fungi,
148692988,2317532,20760,"Linopherus canariensis Langerhans, 1881",,,Animalia,
148692993,2325174,21022,"Terebella ehrenbergi Gravier, 1906",,,Animalia,
148692995,2324609,20886,"Pista unibranchia Day, 1963",,,Animalia,
148692996,2611508,20778,Macrophomina phaseolina (Tassi) Goid.,,,Fungi,
148693005,5199417,20997,"Spirorbis marioni Caullery & Mesnil, 1897",,,Animalia,
148693007,2675378,20645,"Dicranoweisia cirrata Lindberg, 1869",,,Plantae,
148693008,5199674,20996,"Spirobranchus tetraceros (Schmarda, 1861)",,,Animalia,
148693009,8400812,20719,"Hydroides heterocera (Grube, 1868)",,,Animalia,
148693011,2328302,20718,"Hydroides elegans (Haswell, 1883)",,,Animalia,
148693013,2328293,20717,"Hydroides dianthus (Verrill, 1873)",,,Animalia,
148693017,5200315,20544,"Branchiomma luctuosum (Grube, 1870)",,,Animalia,
148693018,4375452,20591,Chaetomorpha patentiramea (Mont) Kutz.,,,Plantae,
148693019,5854272,20543,"Branchiomma bairdi (McIntosh, 1885)",,,Animalia,
148693020,,20607,"Cladophora patentiramea (Mont.) KÃ¼tz., 1849",148693018,Chaetomorpha patentiramea (Mont) Kutz.,Plantae,
148693025,2315466,20916,"Pseudonereis anomala Gravier, 1899",,,Animalia,
148693027,2315832,20583,"Ceratonereis mirabilis Kinberg, 1865",,,Animalia,
148693028,2643115,20578,"Caulerpa racemosa var. turbinata (J.Agardh) Eubank, 1946",201365250,Caulerpa turbinata (J.Ag.) Eubank,Plantae,
148693029,2643103,20577,Caulerpa racemosa var. lamourouxii (Turner) Weber Bosse,,,Plantae,
148693031,2643093,20576,Caulerpa racemosa (Forssk.) J.Agardh,,,Plantae,
148693032,2643131,20575,"Caulerpa cylindracea Sonder, 1845",,,Plantae,
148693036,2310982,20908,"Prosphaerosyllis longipapillata (Hartmann-SchrÃ¶der, 1979)",,,Animalia,
148693039,2310374,20679,"Eusyllis kupfferi Langerhans, 1879",,,Animalia,
148693040,9802728,20720,Hypnea musciformis,,,Plantae,
148693043,,20721,Hypnea spinella (C.Agardh) KÃ¼tz.,,,Plantae,
148693049,5278659,20690,Ganonema farinosum (J.V.Lamour.) K.C.Fan & Y.C.Wang,,,Plantae,
148693050,4341995,21013,"Synaptula reciprocans (ForsskÃ¥l, 1775)",,,Animalia,
148693055,2663181,20540,Botryocladia madagascariensis G.Feldmann,,,Plantae,
148693059,2276151,20834,"Ophiactis savignyi (MÃ¼ller & Troschel, 1842)",,,Animalia,
148693060,5279840,20523,Asparagopsis armata Harv.,,,Plantae,
148693062,2276189,20833,"Ophiactis macrolepidota Marktanner-Turneretscher, 1887",,,Animalia,
148693069,2272084,20519,"Aquilonastra burtoni (Gray, 1840)",,,Animalia,
148693070,5277464,20898,Polysiphonia setacea Hollenb.,,,Plantae,
148693072,5277463,21058,"Womersleyella setacea (Hollenberg) R.E.Norris, 1992",148693070,Polysiphonia setacea Hollenb.,Plantae,
148693074,5277654,20895,Polysiphonia atlantica Kapraun & J.N.Norris,,,Plantae,
148693076,5277736,20896,Polysiphonia fucoides (Hudson) Greville,,,Plantae,
148693078,5277413,20817,Neosiphonia sphaerocarpa (BÃ¸rgesen) M.S.Kim & I.K.Lee,,,Plantae,
148693079,2659723,20773,"Lophocladia lallemandii (Mont.) F.Schmitz, 1893",,,Plantae,
148693080,5279755,20602,Chondria coerulescens (J.Agardh) Falkenb.,,,Plantae,
148693082,5277294,20465,"Acanthophora nayadiformis (Delile) Papenf., 1968",,,Plantae,
148693084,,20968,Sepioteuthis lessoniana FÃ©russac,,,Animalia,
148693090,5729648,20998,"Spondylus spinosus Schreibers, 1793",,,Animalia,
148693092,2684184,21023,Tetraclinis articulata Mast.,,,Plantae,
148693095,5285604,20884,Pinus halepensis Mill.,,,Plantae,
148693097,5285165,20885,Pinus pinea L.,,,Plantae,
148693098,8770976,20913,"Psammacoma gubernaculum (Hanley, 1844)",,,Animalia,
148693101,5729175,20687,"Fulvia fragilis (ForsskÃ¥l, 1775)",,,Animalia,
148693105,5294589,21056,Washingtonia filifera (Rafarin) H.Wendl. ex de Bary,,,Plantae,
148693107,6109699,20876,Phoenix dactylifera L.,,,Plantae,
148693108,6532399,20883,"Pinctada imbricata radiata (Leach, 1814)",,,Animalia,
148693111,4374719,20781,"Malleus regula (ForsskÃ¥l, 1775)",,,Animalia,
148693113,4595289,20642,"Dendostrea folium (Linnaeus, 1758)",,,Animalia,
148693115,5329631,20699,Halophila stipulacea Asch.,,,Plantae,
