taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160851170,CZ,present,introduced,,,,
160851171,CZ,present,introduced,,,,
160851176,CZ,present,introduced,,,,
160851181,CZ,present,introduced,,,,
160851182,CZ,present,introduced,,,,
160851186,CZ,present,introduced,,,,
160851188,CZ,present,introduced,,,,
160851191,CZ,present,introduced,,,,
160851192,CZ,present,introduced,,,,
160851194,CZ,present,introduced,,,,
160851196,CZ,present,introduced,,,,
160851198,CZ,present,introduced,,,,
160851201,CZ,present,introduced,,,,
160851204,CZ,present,introduced,,,,
160851208,CZ,present,introduced,,,,
160851214,CZ,present,introduced,,,,
160851217,CZ,present,introduced,,,,
160851220,CZ,present,introduced,,,,
160851226,CZ,present,introduced,,,,
160851227,CZ,present,introduced,,,,
160851230,CZ,present,introduced,,,,
160851231,CZ,present,introduced,,,,
160851233,CZ,present,introduced,,,,
160851235,CZ,present,introduced,,,,
160851238,CZ,present,introduced,,,,
160851241,CZ,present,introduced,,,,
160851242,CZ,present,introduced,,,,
160851245,CZ,present,introduced,,,,
160851248,CZ,present,introduced,,,,
160851249,CZ,present,introduced,,,,
160851250,CZ,present,introduced,,,,
160851254,CZ,present,introduced,,,,
160851260,CZ,present,introduced,,,,
160851261,CZ,present,introduced,,,,
160851264,CZ,present,introduced,,,,
160851265,CZ,present,introduced,,,,
160851271,CZ,present,introduced,,,,
160851272,CZ,present,introduced,,,,
160851280,CZ,present,introduced,,,,
160851282,CZ,present,introduced,,,,
160851283,CZ,present,introduced,,,,
160851284,CZ,present,introduced,,,,
160851286,CZ,present,introduced,,,,
160851288,CZ,present,introduced,,,,
160851289,CZ,present,introduced,,,,
160851290,CZ,present,introduced,,,,
160851291,CZ,present,introduced,,,,
160851295,CZ,present,introduced,,,,
160851298,CZ,present,introduced,,,,
160851299,CZ,present,introduced,,,,
160851303,CZ,present,introduced,,,,
160851304,CZ,present,introduced,,,,
160851306,CZ,present,introduced,,,,
160851308,CZ,present,introduced,,,,
160851309,CZ,present,introduced,,,,
160851310,CZ,present,introduced,,,,
160851311,CZ,present,introduced,,,,
160851313,CZ,present,introduced,,,,
160851318,CZ,present,introduced,,,,
160851322,CZ,present,introduced,,,,
160851325,CZ,present,introduced,,,,
160851330,CZ,present,introduced,,,,
160851331,CZ,present,introduced,,,,
160851335,CZ,present,introduced,,,,
160851338,CZ,present,introduced,,,,
160851341,CZ,present,introduced,,,,
160851342,CZ,present,introduced,,,,
160851345,CZ,present,introduced,,,,
160851347,CZ,present,introduced,,,,
160851349,CZ,present,introduced,,,,
160851352,CZ,present,introduced,,,,
160851358,CZ,present,introduced,,,,
160851359,CZ,present,introduced,,,,
160851360,CZ,present,introduced,,,,
160851361,CZ,present,introduced,,,,
160851366,CZ,present,introduced,,,,
160851368,CZ,present,introduced,,,,
160851371,CZ,present,introduced,,,,
160851375,CZ,present,introduced,,,,
160851377,CZ,present,introduced,,,,
160851378,CZ,present,introduced,,,,
160851382,CZ,present,introduced,,,,
160851385,CZ,present,introduced,,,,
160851387,CZ,present,introduced,,,,
