taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160851170,3216760,75823,Synechococcus capitatus Bailey-Watts & KomÃ¡rek,ACCEPTED,3216760,Synechococcus capitatus Bailey-Watts & Komárek,SPECIES,Bacteria
160851171,1003567,75408,"Pectinatella magnifica (Leidy, 1851)",ACCEPTED,1003567,"Pectinatella magnifica (Leidy, 1851)",SPECIES,Animalia
160851176,3217412,74897,Geitleribactron periphyticum KomÃ¡rek,ACCEPTED,3217412,Geitleribactron periphyticum Komárek,SPECIES,Bacteria
160851181,4408321,74614,"Craspedacusta sowerbii Lankester, 1880",ACCEPTED,4408321,"Craspedacusta sowerbii Lankester, 1880",SPECIES,Animalia
160851182,3218379,75475,Planktothrix rubescens (DC. ex Gomont) Anagn. & KomÃ¡rek,ACCEPTED,3218379,Planktothrix rubescens (DC. ex Gomont) Anagn. & Komárek,SPECIES,Bacteria
160851186,4306613,75552,Raphidiopsis mediterranea Skuja,ACCEPTED,4306613,Raphidiopsis mediterranea Skuja,SPECIES,Bacteria
160851188,8661799,74930,Gloeotrichia echinulata (J.Smith) P.Richter,ACCEPTED,8661799,Gloeotrichia echinulata P.G.Richt.,SPECIES,Bacteria
160851191,2308574,74361,"Branchiura sowerbyi Beddard, 1892",ACCEPTED,2308574,"Branchiura sowerbyi Beddard, 1892",SPECIES,Animalia
160851192,7751668,75779,"Sphaerospermopsis aphanizomenoides (Forti) ZapomelovÃ¡, JezberovÃ¡, Hrouzek, Hisem, RehÃ¡kovÃ¡ & KomÃ¡rkovÃ¡",ACCEPTED,7751668,"Sphaerospermopsis aphanizomenoides (Forti) Zapomelová, Jezberová, Hrouzek, Hisem, Reháková & Komárková",SPECIES,Bacteria
160851194,8222436,74723,"Dolichospermum compactum (Nygaard) Wacklin, L.Hoffm. & KomÃ¡rek",ACCEPTED,8222436,"Dolichospermum compactum (Nygaard) Wacklin, L.Hoffm. & Komárek",SPECIES,Bacteria
160851196,,74644,"Cuspidothrix issatschenkoi (UsaÄ ev) P.Rajan., KomÃ¡rek, Willame, Hrouzek, KatovskÃ¡, L.Hoffm. & Sivonen",,,"Cuspidothrix issatschenkoi (UsaÄ ev) P.Rajan., KomÃ¡rek, Willame, Hrouzek, KatovskÃ¡, L.Hoffm. & Sivonen",,
160851198,3219362,74651,Cylindrospermopsis raciborskii (Wolosz.) Seena. & Subbar.,ACCEPTED,3219362,Cylindrospermopsis raciborskii (Wołosz.) Seenayya & Subbaraju,SPECIES,Bacteria
160851201,2287072,74730,"Dreissena polymorpha (Pallas, 1771)",ACCEPTED,2287072,"Dreissena polymorpha (Pallas, 1771)",SPECIES,Animalia
160851204,5427198,74213,Anabaena bergii Ostenf.,HOMOTYPIC_SYNONYM,8008494,Chrysosporum bergii (Ostenf.) Zapomelová et al.,SPECIES,Bacteria
160851208,8190231,74588,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",ACCEPTED,8190231,"Corbicula fluminea (O.F.Müller, 1774)",SPECIES,Animalia
160851214,5189806,75459,"Physella acuta (Draparnaud, 1805)",ACCEPTED,5189806,"Physella acuta (Draparnaud, 1805)",SPECIES,Animalia
160851217,7414996,75414,Peridiniopsis kevei,SYNONYM,10838194,"Unruhdinium kevei (Grigorszky & F.Vasas) Gottschling, 2017",SPECIES,Chromista
160851220,5192470,75499,"Potamopyrgus antipodarum (Gray, 1843)",ACCEPTED,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)",SPECIES,Animalia
160851226,7687663,75272,Navicula schroeteri F.Meister,ACCEPTED,7687663,Navicula schroeteri F.Meister,SPECIES,Chromista
160851227,4562121,74854,"Ferrissia clessiniana (Jickeli, 1882)",HETEROTYPIC_SYNONYM,9776227,"Pettancylus clessinianus (Jickeli, 1882)",SPECIES,Animalia
160851230,7431195,74869,Frustulia weinholdii Hust.,ACCEPTED,7431195,Frustulia weinholdi Hustedt,SPECIES,Chromista
160851231,2291152,74855,"Ferrissia fragilis (Tryon, 1863)",SYNONYM,9520065,"Ferrissia californica (Rowell, 1863)",SPECIES,Animalia
160851233,5189713,75219,"Menetus dilatatus (Gould, 1841)",ACCEPTED,5189713,"Menetus dilatatus (A.Gould, 1841)",SPECIES,Animalia
160851235,2290996,74942,"Gyraulus parvus (Say, 1817)",ACCEPTED,2290996,"Gyraulus parvus (Say, 1817)",SPECIES,Animalia
160851238,3192226,75797,Staurosirella berolinensis (Lemmerm.) Bukht.,SYNONYM,9269222,Synedra berolinensis var. berolinensis,VARIETY,Chromista
160851241,5190767,75369,"Oxychilus draparnaudi (H.Beck, 1837)",ACCEPTED,5190767,"Oxychilus draparnaudi (H.Beck, 1837)",SPECIES,Animalia
160851242,7503094,74865,"Fragilaria reicheltii (Voigt) Lange-Bertalot, 1986",SYNONYM,5421770,"Centronella reichelti Voigt, 1902",SPECIES,Chromista
