taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148741558,DK,present,introduced,invasive,,,
148741559,DK,present,introduced,,,,
148741561,DK,present,introduced,,,,
148741565,DK,present,introduced,invasive,,,
148741570,DK,present,introduced,invasive,,,
148741571,DK,present,introduced,,,,
148741576,DK,present,introduced,invasive,,,
148741579,DK,present,introduced,invasive,,,
148741580,DK,present,introduced,invasive,,,
148741584,DK,present,introduced,,,,
148741585,DK,present,introduced,,,,
148741586,DK,present,introduced,invasive,,,
148741589,DK,present,introduced,invasive,,,
148741591,DK,present,introduced,invasive,,,
148741594,DK,present,introduced,invasive,,,
148741595,DK,present,introduced,invasive,,,
148741604,DK,present,introduced,invasive,,,
148741605,DK,present,introduced,,,,
148741609,DK,present,introduced,invasive,,,
148741615,DK,present,introduced,invasive,,,
148741617,DK,present,introduced,invasive,,,
148741620,DK,present,introduced,invasive,,,
148741623,DK,present,introduced,invasive,,,
148741625,DK,present,introduced,invasive,,,
148741629,DK,present,introduced,,,,
148741633,DK,present,introduced,invasive,,,
148741641,DK,present,introduced,invasive,,,
148741642,DK,present,introduced,invasive,,,
148741644,DK,present,introduced,,,,
148741647,DK,present,introduced,,,,
148741651,DK,present,introduced,invasive,,,
148741661,DK,present,introduced,invasive,,,
148741662,DK,present,introduced,,,,
148741666,DK,present,introduced,,,,
148741668,DK,present,introduced,,,,
148741670,DK,present,introduced,invasive,,,
148741673,DK,present,introduced,invasive,,,
148741679,DK,present,introduced,invasive,,,
148741680,DK,present,introduced,,,,
148741682,DK,present,introduced,,,,
148741686,DK,present,introduced,,,,
148741688,DK,present,introduced,invasive,,,
148741693,DK,present,introduced,,,,
148741694,DK,present,introduced,,,,
148741701,DK,present,introduced,,,,
148741702,DK,present,introduced,invasive,,,
148741705,DK,present,introduced,,,,
148741710,DK,present,introduced,invasive,,,
148741711,DK,present,introduced,,,,
148741713,DK,present,introduced,,,,
148741718,DK,present,introduced,invasive,,,
148741719,DK,present,introduced,invasive,,,
148741723,DK,present,introduced,invasive,,,
148741728,DK,present,introduced,invasive,,,
148741730,DK,present,introduced,,,,
148741732,DK,present,introduced,,,,
148741736,DK,present,introduced,invasive,,,
148741739,DK,present,introduced,,,,
148741740,DK,present,introduced,,,,
148741744,DK,present,introduced,,,,
148741745,DK,present,introduced,invasive,,,
148741748,DK,present,introduced,invasive,,,
148741750,DK,present,introduced,,,,
148741752,DK,present,introduced,invasive,,,
148741756,DK,present,introduced,,,,
148741760,DK,present,introduced,,,,
148741761,DK,present,introduced,,,,
148741762,DK,present,introduced,,,,
148741765,DK,present,introduced,,,,
148741766,DK,present,introduced,,,,
148741768,DK,present,introduced,,,,
148741770,DK,present,introduced,,,,
148741773,DK,present,introduced,invasive,,,
148741774,DK,present,introduced,,,,
148741776,DK,present,introduced,,,,
148741778,DK,present,introduced,,,,
148741780,DK,present,introduced,,,,
148741782,DK,present,introduced,invasive,,,
148741784,DK,present,introduced,,,,
148741785,DK,present,introduced,,,,
148741788,DK,present,introduced,,,,
148741789,DK,present,introduced,invasive,,,
148741792,DK,present,introduced,,,,
148741794,DK,present,introduced,,,,
148741800,DK,present,introduced,,,,
148741801,DK,present,introduced,,,,
148741806,DK,present,introduced,,,,
148741807,DK,present,introduced,,,,
148741808,DK,present,introduced,,,,
148741809,DK,present,introduced,,,,
148741810,DK,present,introduced,,,,
148741811,DK,present,introduced,,,,
148741812,DK,present,introduced,,,,
148741814,DK,present,introduced,,,,
148741816,DK,present,introduced,,,,
148741817,DK,present,introduced,,,,
148741818,DK,present,introduced,,,,
148741819,DK,present,introduced,,,,
148741820,DK,present,introduced,,,,
148741822,DK,present,introduced,,,,
148741824,DK,present,introduced,,,,
148741827,DK,present,introduced,,,,
148741828,DK,present,introduced,,,,
148741829,DK,present,introduced,,,,
148741830,DK,present,introduced,,,,
148741832,DK,present,introduced,,,,
148741835,DK,present,introduced,,,,
148741839,DK,present,introduced,invasive,,,
148741840,DK,present,introduced,invasive,,,
148741841,DK,present,introduced,invasive,,,
148741843,DK,present,introduced,invasive,,,
148741845,DK,present,introduced,,,,
148741847,DK,present,introduced,,,,
148741852,DK,present,introduced,,,,
148741853,DK,present,introduced,,,,
148741857,DK,present,introduced,,,,
148741860,DK,present,introduced,,,,
148741861,DK,present,introduced,,,,
148741864,DK,present,introduced,,,,
148741865,DK,present,introduced,,,,
148741866,DK,present,introduced,,,,
148741867,DK,present,introduced,,,,
