taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160879901,4412847,90466,"Valipora campylancristrota (Wedl, 1855)",ACCEPTED,4412847,"Valipora campylancristrota (Wedl, 1855)",SPECIES,Animalia
160879904,3203610,90195,"Phytophthora ramorum Werres, De Cock & Man",ACCEPTED,3203610,"Phytophthora ramorum Werres, De Cock & Man",SPECIES,Chromista
160879912,2321010,90065,"Marenzelleria neglecta Sikorski & Bick, 2004",ACCEPTED,2321010,"Marenzelleria neglecta Sikorski & Bick, 2004",SPECIES,Animalia
160879915,8166987,90251,Prorocentrum minimum (Pavill.) J.Schiller,SYNONYM,8368630,Prorocentrum cordatum (Ostenf.) J.D.Dodge,SPECIES,Chromista
160879918,,89996,Laonome armata,,,Laonome armata,,
160879926,2308439,90459,"Tubifex newaensis (Michaelsen, 1903)",ACCEPTED,2308439,"Tubifex newaensis (Michaelsen, 1903)",SPECIES,Animalia
160879928,4410056,90261,"Psammoryctides moravicus (HrabÄ•, 1934)",ACCEPTED,4410056,"Psammoryctides moravicus (Hrabĕ, 1934)",SPECIES,Animalia
160879929,2622082,90100,"Mycosphaerella dearnessii M.E.Barr, 1972",HETEROTYPIC_SYNONYM,2622090,Lecanosticta acicola (Thüm.) Syd.,SPECIES,Fungi
160879930,4307880,90236,"Potamothrix heuscheri (Bretscher, 1900)",ACCEPTED,4307880,"Potamothrix heuscheri (Bretscher, 1900)",SPECIES,Animalia
160879932,2308609,90237,"Potamothrix moldaviensis (VejdovskÃ½ & MrÃ¡zek, 1903)",ACCEPTED,2308609,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903",SPECIES,Animalia
160879934,2308606,90235,"Potamothrix bavaricus (Oschmann, 1913)",ACCEPTED,2308606,"Potamothrix bavaricus (Oschmann, 1913)",SPECIES,Animalia
160879936,2308113,90162,"Paranais frici HrabÄ•, 1941",ACCEPTED,2308113,"Paranais frici Hrabĕ, 1941",SPECIES,Animalia
160879938,,89985,"Isochaetides michaelseni (LastoÄ kin, 1937)",,,"Isochaetides michaelseni (LastoÄ kin, 1937)",,
160879940,2567747,89837,"Diaporthe vaccinii Shear, 1931",ACCEPTED,2567747,Diaporthe vaccinii Shear,SPECIES,Fungi
160879948,2266741,90053,"Maeotias marginata (Modeer, 1791)",ACCEPTED,2266741,"Maeotias marginata (Modeer, 1791)",SPECIES,Animalia
160879949,3374230,90078,Melampsoridium hiratsukanum S.Ito ex Hirats.f.,ACCEPTED,3374230,Melampsoridium hiratsukanum S.Ito ex Hirats.f.,SPECIES,Fungi
160879954,2266009,89775,"Cordylophora caspia (Pallas, 1771)",ACCEPTED,2266009,"Cordylophora caspia (Pallas, 1771)",SPECIES,Animalia
160879957,5239466,90097,Mutinus ravenelii (Berk. & M.A.Curtis) E.Fisch.,ACCEPTED,5239466,Mutinus ravenelii (Berk.) E.Fisch.,SPECIES,Fungi
160879963,2534001,90017,Leratiomyces ceres (Cooke & Massee) Spooner & Bridge,ACCEPTED,2534001,Leratiomyces ceres (Cooke & Massee) Spooner & Bridge,SPECIES,Fungi
160879964,2283792,90391,"Strongyloides stercoralis (Bavay, 1876)",ACCEPTED,2283792,"Strongyloides stercoralis (Bavay, 1876) Stiles & Hassall, 1902",SPECIES,Animalia
160879967,2535598,90019,Leucocoprinus birnbaumii (Corda) Singer,ACCEPTED,2535598,Leucocoprinus birnbaumii (Corda) Singer,SPECIES,Fungi
160879968,4556282,90081,"Meloidogyne incognita (Kofoid & White, 1919)",ACCEPTED,4556282,"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949",SPECIES,Animalia
160879974,2283513,90093,"Muellerius capillaris (MÃ¼ller, 1889)",ACCEPTED,2283513,"Muellerius capillaris (Müller, 1889)",SPECIES,Animalia
160879975,7969936,90396,"Suillus asiaticus (Singer) Kretzer & T.D.Bruns, 1996",SYNONYM,3301120,Boletinus asiaticus Singer,SPECIES,Fungi
160879977,5239909,90399,Suillus tridentinus (Bres.) Singer,ACCEPTED,5239909,Suillus tridentinus (Bres.) Singer,SPECIES,Fungi
160879978,2283440,89839,"Dictyocaulus viviparus (Bloch, 1782)",ACCEPTED,2283440,"Dictyocaulus viviparus (Bloch, 1782) Railliet & Henry, 1907",SPECIES,Animalia
160879979,5239873,90400,Suillus viscidus (L.) Roussel,ACCEPTED,5239873,Suillus viscidus (L.) Roussel,SPECIES,Fungi
160879980,2283441,89838,"Dictyocaulus filaria (Rudolphi, 1809)",ACCEPTED,2283441,"Dictyocaulus filaria (Rudolphi, 1809) Railliet & Henry, 1907",SPECIES,Animalia
160879981,5239851,90397,Suillus cavipes (Opat.) A.H.Sm. & Thiers,ACCEPTED,5239851,Suillus cavipes (Klotzsch) A.H.Sm. & Thiers,SPECIES,Fungi
160879982,5239864,90398,Suillus grevillei (Klotzsch) Singer,ACCEPTED,5239864,Suillus grevillei (Klotzsch) Singer,SPECIES,Fungi
160879986,8339825,89637,"Aureoboletus projectellus (Murrill) Halling, 2015",ACCEPTED,8339825,Aureoboletus projectellus (Murrill) Halling,SPECIES,Fungi
160879987,5188669,89956,"Heterodera schachtii Schmidt, 1871",ACCEPTED,5188669,"Heterodera schachtii A.Schmidt, 1871",SPECIES,Animalia
160879988,5777075,89955,"Heterodera fici Kirjanova, 1954",ACCEPTED,5777075,"Heterodera fici Kirjanova, 1954",SPECIES,Animalia
160879990,5188667,89929,"Globodera rostochiensis (Wollenweber, 1923)",ACCEPTED,5188667,"Globodera rostochiensis (Wollenweber, 1923) Skarbilovich, 1959",SPECIES,Animalia
160879992,11174915,89928,"Globodera pallida (Stone, 1973)",ACCEPTED,11174915,"Globodera pallida (Stone, 1973) Behrens, 1975",SPECIES,Animalia
160879995,4556373,89697,"Cactodera cacti (Filipjev & Schuurmans Stekhoven, 1941) Krall & Krall, 1978",ACCEPTED,4556373,"Cactodera cacti (Filipjev & Schuurmans Stekhoven, 1941) Krall & Krall, 1978",SPECIES,Animalia
160879998,5281901,89704,"Campylopus introflexus Bridel, 1819",ACCEPTED,5281901,Campylopus introflexus (Hedw.) Brid.,SPECIES,Plantae
160880001,4559431,89584,"Aphelenchoides ritzemabosi (Schwartz, 1911)",ACCEPTED,4559431,"Aphelenchoides ritzemabosi (Schwartz, 1911) Steiner & Buhrer, 1932",SPECIES,Animalia
160880007,5270682,89737,Chara connivens Salzmann ex A.Braun,ACCEPTED,5270682,Chara connivens Salzmann ex A.Braun,SPECIES,Plantae
160880010,5188971,90274,"Rangia cuneata (G.B.Sowerby I, 1832)",ACCEPTED,5188971,"Rangia cuneata (G.B.Sowerby I, 1832)",SPECIES,Animalia
160880013,7791733,90098,"Mya arenaria Linnaeus, 1758",ACCEPTED,7791733,"Mya arenaria Linnaeus, 1758",SPECIES,Animalia
160880016,2287072,89853,"Dreissena polymorpha (Pallas, 1771)",ACCEPTED,2287072,"Dreissena polymorpha (Pallas, 1771)",SPECIES,Animalia
160880021,8049341,90146,Osmunda regalis L.,ACCEPTED,8049341,Osmunda regalis L.,SPECIES,Plantae
160880026,5192470,90234,"Potamopyrgus antipodarum (Gray, 1843)",ACCEPTED,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)",SPECIES,Animalia
160880027,2650903,90132,Onoclea sensibilis L.,ACCEPTED,2650903,Onoclea sensibilis L.,SPECIES,Plantae
160880030,2650676,89612,Asplenium nidus L.,ACCEPTED,2650676,Asplenium nidus L.,SPECIES,Plantae
160880032,2650669,89613,Asplenium scolopendrium L.,ACCEPTED,2650669,Asplenium scolopendrium L.,SPECIES,Plantae
160880035,2295442,90026,"Limacus flavus (Linnaeus, 1758)",ACCEPTED,2295442,"Limacus flavus (Linnaeus, 1758)",SPECIES,Animalia
160880038,2295438,90027,"Limax maximus Linnaeus, 1758",ACCEPTED,2295438,"Limax maximus Linnaeus, 1758",SPECIES,Animalia
160880039,5299675,90460,Tulipa gesneriana L.,ACCEPTED,5299675,Tulipa gesneriana L.,SPECIES,Plantae
160880041,5299536,90461,Tulipa sylvestris L.,ACCEPTED,5299536,Tulipa sylvestris L.,SPECIES,Plantae
160880042,2294287,89945,"Helix pomatia Linnaeus, 1758",ACCEPTED,2294287,"Helix pomatia Linnaeus, 1758",SPECIES,Animalia
160880043,2753079,90023,Lilium bulbiferum L.,ACCEPTED,2753079,Lilium bulbiferum L.,SPECIES,Plantae
160880044,2753146,90025,Lilium martagon L.,ACCEPTED,2753146,Lilium martagon L.,SPECIES,Plantae
160880045,5858758,89782,"Cornu aspersum (O.F.MÃ¼ller, 1774)",ACCEPTED,5858758,"Cornu aspersum (O.F.Müller, 1774)",SPECIES,Animalia
160880046,2753380,90024,Lilium lancifolium Thunb.,ACCEPTED,2753380,Lilium lancifolium Thunb.,SPECIES,Plantae
160880047,2294280,89722,"Cepaea nemoralis (Linnaeus, 1758)",ACCEPTED,2294280,"Cepaea nemoralis (Linnaeus, 1758)",SPECIES,Animalia
160880048,5299976,89907,Gagea granulosa Turcz.,ACCEPTED,5299976,Gagea granulosa Turcz.,SPECIES,Plantae
160880053,2865448,89865,Elodea canadensis Michx.,ACCEPTED,2865448,Elodea canadensis Michx.,SPECIES,Plantae
160880054,5779455,89595,"Arion lusitanicus J.Mabille, 1868",ACCEPTED,5779455,"Arion lusitanicus Mabille, 1868",SPECIES,Animalia
160880059,2764179,89770,Commelina communis L.,ACCEPTED,2764179,Commelina communis L.,SPECIES,Plantae
160880061,10928934,89515,"Achatina fulica (Férussac, 1821)",SYNONYM,8790531,"Lissachatina fulica (Bowdich, 1822)",SPECIES,Animalia
160880064,2700874,90047,Luzula luzuloides (Lam.) Dandy,ACCEPTED,2700874,Luzula luzuloides (Lam.) Dandy & Wilmott,SPECIES,Plantae
160880066,2702084,89991,Juncus tenuis Willd.,ACCEPTED,2702084,Juncus tenuis Willd.,SPECIES,Plantae
160880069,2724120,89710,Carex praecox Schreb.,ACCEPTED,2724120,Carex praecox Schreb.,SPECIES,Plantae
160880074,2426662,90273,"Rana ridibunda Pallas, 1771",SYNONYM,2426661,"Pelophylax ridibundus (Pallas, 1771)",SPECIES,Animalia
160880075,5290191,90352,Setaria glauca,SYNONYM,5828197,Cenchrus americanus (L.) Morrone,SPECIES,Plantae
160880079,4111866,89675,Bromopsis riparia (Rehmann) Holub,SYNONYM,4109815,Bromus riparius Rehmann,SPECIES,Plantae
160880083,2703725,89688,Bromus willdenowii,SYNONYM,2703723,Bromus catharticus Vahl,SPECIES,Plantae
160880084,2443095,89934,"Graptemys kohni Cagle, 1953",SYNONYM,6157050,"Graptemys pseudogeographica kohnii (Baur, 1890)",SUBSPECIES,Animalia
160880086,2443002,90440,"Trachemys scripta (Thunberg In Schoepff, 1792)",ACCEPTED,2443002,"Trachemys scripta (Thunberg In Schoepff, 1792)",SPECIES,Animalia
160880087,2703670,89679,Bromus inermis Leyss.,ACCEPTED,2703670,Bromus inermis Leyss.,SPECIES,Plantae
160880091,2703733,89681,Bromus lanceolatus Roth,ACCEPTED,2703733,Bromus lanceolatus Roth,SPECIES,Plantae
160880095,2703751,89573,Anisantha tectorum (L.) Nevski,SYNONYM,2703746,Bromus tectorum L.,SPECIES,Plantae
160880096,2434552,90122,"Nyctereutes procyonoides (Gray, 1834)",ACCEPTED,2434552,"Nyctereutes procyonoides (Gray, 1834)",SPECIES,Animalia
160880099,2703648,89572,Anisantha sterilis (L.) Nevski,SYNONYM,2703647,Bromus sterilis L.,SPECIES,Plantae
160880101,5218823,90096,"Mustela vison Schreber, 1777",ACCEPTED,5218823,"Mustela vison Schreber, 1777",SPECIES,Animalia
