taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160926690,FI,present,introduced,,,,
160926695,FI,present,introduced,invasive,,,
160926696,FI,present,introduced,invasive,,,
160926701,FI,present,introduced,invasive,,,
160926706,FI,present,introduced,invasive,,,
160926709,FI,present,introduced,invasive,,,
160926712,FI,present,introduced,invasive,,,
160926715,FI,present,introduced,,,,
160926718,FI,present,introduced,,,,
160926721,FI,present,introduced,,,,
160926723,FI,present,introduced,,,,
160926725,FI,present,introduced,,,,
160926729,FI,present,introduced,invasive,,,
160926730,FI,present,introduced,invasive,,,
160926733,FI,present,introduced,invasive,,,
160926734,FI,present,introduced,invasive,,,
160926735,FI,present,introduced,invasive,,,
160926736,FI,present,introduced,invasive,,,
160926737,FI,present,introduced,,,,
160926740,FI,present,introduced,yes,,,
160926741,FI,present,introduced,invasive,,,
160926742,FI,present,introduced,invasive,,,
160926746,FI,present,introduced,invasive,,,
160926751,FI,present,introduced,,,,
160926755,FI,present,introduced,invasive,,,
160926758,FI,present,introduced,invasive,,,
160926760,FI,present,introduced,invasive,,,
160926763,FI,present,introduced,,,,
160926764,FI,present,introduced,yes,,,
160926768,FI,present,introduced,invasive,,,
160926774,FI,present,introduced,,,,
160926781,FI,present,introduced,invasive,,,
160926786,FI,present,introduced,,,,
160926792,FI,present,introduced,,,,
160926794,FI,present,introduced,,,,
160926798,FI,present,introduced,invasive,,,
160926799,FI,present,introduced,,,,
160926800,FI,present,introduced,invasive,,,
160926801,FI,present,introduced,invasive,,,
160926802,FI,present,introduced,invasive,,,
160926803,FI,present,introduced,invasive,,,
160926804,FI,present,introduced,,,,
160926805,FI,present,introduced,,,,
160926810,FI,present,introduced,,,,
160926811,FI,present,introduced,,,,
160926812,FI,present,introduced,invasive,,,
160926815,FI,present,introduced,invasive,,,
160926818,FI,present,introduced,,,,
160926821,FI,present,introduced,,,,
160926824,FI,present,introduced,invasive,,,
160926825,FI,present,introduced,,,,
160926828,FI,present,introduced,invasive,,,
160926829,FI,present,introduced,invasive,,,
160926830,FI,present,introduced,,,,
160926834,FI,present,introduced,,,,
160926835,FI,present,introduced,invasive,,,
160926838,FI,present,introduced,invasive,,,
160926839,FI,present,introduced,invasive,,,
160926840,FI,present,introduced,,,,
160926843,FI,present,introduced,invasive,,,
160926844,FI,present,introduced,,,,
160926847,FI,present,introduced,yes,,,
160926850,FI,present,introduced,invasive,,,
160926853,FI,present,introduced,invasive,,,
160926854,FI,present,introduced,invasive,,,
160926855,FI,present,introduced,,,,
160926858,FI,present,introduced,,,,
160926862,FI,present,introduced,,,,
160926864,FI,present,introduced,invasive,,,
160926865,FI,present,introduced,,,,
160926866,FI,present,introduced,,,,
160926867,FI,present,introduced,,,,
160926868,FI,present,introduced,,,,
160926869,FI,present,introduced,invasive,,,
160926870,FI,present,introduced,invasive,,,
160926871,FI,present,introduced,,,,
160926875,FI,present,introduced,invasive,,,
160926876,FI,present,introduced,,,,
160926877,FI,present,introduced,yes,,,
160926878,FI,present,introduced,invasive,,,
160926879,FI,present,introduced,,,,
160926883,FI,present,introduced,,,,
160926885,FI,present,introduced,,,,
160926887,FI,present,introduced,invasive,,,
160926889,FI,present,introduced,yes,,,
160926892,FI,present,introduced,,,,
160926896,FI,present,introduced,,,,
160926898,FI,present,introduced,,,,
160926899,FI,present,introduced,,,,
163433495,FI,present,introduced,,,,
163433538,FI,present,introduced,,,,
163433539,FI,present,introduced,,,,
163433554,FI,present,introduced,,,,
163433555,FI,present,introduced,,,,
163433557,FI,present,introduced,,,,
163433562,FI,present,introduced,,,,
163433568,FI,present,introduced,invasive,,,
163433573,FI,present,introduced,invasive,,,
163433578,FI,present,introduced,invasive,,,
163433581,FI,present,introduced,invasive,,,
163433600,FI,present,introduced,,,,
163433642,FI,present,introduced,,,,
163433643,FI,present,introduced,invasive,,,
163433647,FI,present,introduced,,,,
163433648,FI,present,introduced,invasive,,,
163433649,FI,present,introduced,invasive,,,
163433650,FI,present,introduced,invasive,,,
163433657,FI,present,introduced,,,,
