taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160926690,105053,"Gmelinoides fasciatus Stebbing, 1899",ACCEPTED,8918476,"Gmelinoides fasciatus (Stebbing, 1899)",SPECIES,Animalia
160926695,105055,Heracleum mantegazzianum Sommier & Levier,ACCEPTED,3034825,Heracleum mantegazzianum Sommier & Levier,SPECIES,Plantae
160926696,105028,Ceratophyllum submersum L.,ACCEPTED,2882404,Ceratophyllum submersum L.,SPECIES,Plantae
160926701,105023,"Carassius auratus gibelio (Bloch, 1782)",SYNONYM,2366634,"Carassius gibelio (Bloch, 1782)",SPECIES,Animalia
160926706,105058,Impatiens capensis Meerb.,ACCEPTED,2891774,Impatiens capensis Meerb.,SPECIES,Plantae
160926709,105062,Lupinus polyphyllus Lindl.,ACCEPTED,2964355,Lupinus polyphyllus Lindl.,SPECIES,Plantae
160926712,105057,Heracleum sosnowskyi Manden.,ACCEPTED,3642949,Heracleum sosnowskyi Manden.,SPECIES,Plantae
160926715,105054,"Hemimysis anomala G.O.Sars, 1907",ACCEPTED,2220312,"Hemimysis anomala G.O.Sars, 1907",SPECIES,Animalia
160926718,105037,"Dreissena polymorpha (Pallas, 1771)",ACCEPTED,2287072,"Dreissena polymorpha (Pallas, 1771)",SPECIES,Animalia
160926721,105071,"Odocoileus virginianus (Zimmermann, 1780)",ACCEPTED,2440965,"Odocoileus virginianus (Zimmermann, 1780)",SPECIES,Animalia
160926723,105061,Lupinus nootkatensis Donn ex Sims,ACCEPTED,2964525,Lupinus nootkatensis Donn ex Sims,SPECIES,Plantae
160926725,105019,"Branta canadensis (Linnaeus, 1758)",ACCEPTED,5232437,"Branta canadensis (Linnaeus, 1758)",SPECIES,Animalia
160926729,105069,"Neogobius melanostomus (Pallas, 1814)",ACCEPTED,2379089,"Neogobius melanostomus (Pallas, 1814)",SPECIES,Animalia
160926730,105056,Heracleum persicum Desf.,ACCEPTED,3628745,Heracleum persicum Desf.,SPECIES,Plantae
160926733,105076,"Pacifastacus leniusculus (Dana, 1852)",ACCEPTED,2226990,"Pacifastacus leniusculus (Dana, 1852)",SPECIES,Animalia
160926734,105075,"Oryctolagus cuniculus (Linnaeus, 1758)",ACCEPTED,2436940,"Oryctolagus cuniculus (Linnaeus, 1758)",SPECIES,Animalia
160926735,105060,Impatiens parviflora DC.,ACCEPTED,2891782,Impatiens parviflora DC.,SPECIES,Plantae
160926736,105059,Impatiens glandulifera Royle,ACCEPTED,2891770,Impatiens glandulifera Royle,SPECIES,Plantae
160926737,105024,"Carassius gibelio (Bloch, 1782)",ACCEPTED,2366634,"Carassius gibelio (Bloch, 1782)",SPECIES,Animalia
160926740,105027,Cerastium arvense L.,ACCEPTED,3085433,Cerastium arvense L.,SPECIES,Plantae
160926741,105018,"Balanus improvisus Darwin, 1854",HOMOTYPIC_SYNONYM,6467647,"Amphibalanus improvisus (Darwin, 1854)",SPECIES,Animalia
160926742,105017,Avena fatua L.,ACCEPTED,2705297,Avena fatua L.,SPECIES,Plantae
160926746,105014,Aphanomyces astaci Schikora,ACCEPTED,3202936,Aphanomyces astaci Schikora,SPECIES,Chromista
160926751,105021,Bromus sterilis L.,ACCEPTED,2703647,Bromus sterilis L.,SPECIES,Plantae
160926755,105041,Epilobium ciliatum Raf.,ACCEPTED,9188840,Epilobium ciliatum Raf.,SPECIES,Plantae
160926758,105072,"Oncorhynchus gorbuscha (Walbaum, 1792)",ACCEPTED,5204037,"Oncorhynchus gorbuscha (Walbaum, 1792)",SPECIES,Animalia
