taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
148790247,2705331,41783,Eragrostis curtipedicellata Buckley,ACCEPTED,2705331,Eragrostis curtipedicellata Buckley,SPECIES,Plantae
148790248,,41880,Eucalyptus maidenii F.MÃ¼ll.,,,Eucalyptus maidenii F.MÃ¼ll.,,
148790257,4148705,42570,Molineriella laevis (Brot.) Rouy,ACCEPTED,4148705,Molineriella laevis (Brot.) Rouy,SPECIES,Plantae
148790258,,41127,Bromopsis inermis subsp. inermis,,,Bromopsis inermis subsp. inermis,,
148790265,3170247,40986,Asclepias syriaca L.,ACCEPTED,3170247,Asclepias syriaca L.,SPECIES,Plantae
148790271,4290694,42377,"Lissorhoptrus oryzophilus Kuschel, 1951",ACCEPTED,4290694,"Lissorhoptrus oryzophilus Kuschel, 1952",SPECIES,Animalia
148790272,1370976,42510,"Megastigmus pinsapinis Hoffmeyer, 1931",ACCEPTED,1370976,"Megastigmus pinsapinis Hoffmeyer, 1931",SPECIES,Animalia
148790280,2928792,41332,Cestrum parqui L'Her.,ACCEPTED,2928792,Cestrum parqui (Lam.) L'Hér.,SPECIES,Plantae
148790281,3176655,41896,Eucalyptus radiata Sieber ex DC.,ACCEPTED,3176655,Eucalyptus radiata A.Cunn. ex DC.,SPECIES,Plantae
148790287,1391211,42532,"Mesopolobus pinus Hussey, 1960",ACCEPTED,1391211,"Mesopolobus pinus Hussey, 1960",SPECIES,Animalia
148790288,2781103,42114,Hemerocallis lilioasphodelus L.,ACCEPTED,2781103,Hemerocallis lilioasphodelus L.,SPECIES,Plantae
148790290,7711892,42242,"Isatis quadrialata Al-Shehbaz, Moazzeni & Mummenhoff",ACCEPTED,7711892,"Isatis quadrialata Al-Shehbaz, Moazzeni & Mummenhoff",SPECIES,Plantae
148790292,3176257,41898,Eucalyptus risdonii Hook.f.,ACCEPTED,3176257,Eucalyptus risdoni Hook.fil.,SPECIES,Plantae
148790299,2858846,42619,Narcissus bulbocodium L.,ACCEPTED,2858846,Narcissus bulbocodium L.,SPECIES,Plantae
148790300,3664589,42706,Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch,ACCEPTED,3664589,Oenothera lindheimeri (Engelm. & A.Gray) W.L.Wagner & Hoch,SPECIES,Plantae
148790302,4543713,41770,"Epitrimerus cupressi (Keifer, 1939)",ACCEPTED,4543713,"Epitrimerus cupressi (Keifer, 1939)",SPECIES,Animalia
148790303,5329434,42617,Najas minor All.,ACCEPTED,5329434,Najas minor All.,SPECIES,Plantae
148790307,1419910,42618,"Nala lividipes (Dufour, 1820)",ACCEPTED,1419910,"Nala lividipes (Dufour, 1820)",SPECIES,Animalia
148790308,1379355,41753,"Encyrtus infelix (Embleton, 1902)",ACCEPTED,1379355,"Encyrtus infelix (Embleton, 1902)",SPECIES,Animalia
148790309,5377048,42326,Lepidium niloticum Sieber ex Steud.,ACCEPTED,5377048,Lepidium niloticum Sieber ex Steud.,SPECIES,Plantae
148790313,1264286,42177,"Hymenochaonia delicata (Cresson, 1872)",ACCEPTED,1264286,"Hymenochaonia delicata (Cresson, 1872)",SPECIES,Animalia
148790315,4989865,41513,"Cryptolestes pusilloides (Steel & Howe, 1952)",ACCEPTED,4989865,"Cryptolestes pusilloides (Steel & Howe, 1952)",SPECIES,Animalia
148790317,,41608,Diadesmis confervacea KÃ¼tz.,,,Diadesmis confervacea KÃ¼tz.,,
148790319,2077209,42209,"Idiopterus nephrelepidis Davis, 1909",ACCEPTED,2077209,"Idiopterus nephrelepidis Davis, 1909",SPECIES,Animalia
148790320,2257924,41609,"Diadumene cincta Stephenson, 1925",ACCEPTED,2257924,"Diadumene cincta Stephenson, 1925",SPECIES,Animalia
148790321,8168527,41188,"Cambarincola okadai Yamaguchi, 1933",ACCEPTED,8168527,"Cambarincola okadai Yamaguchi, 1933",SPECIES,Animalia
148790324,7689747,41314,Cerastium ligusticum subsp. ligusticum,ACCEPTED,7689747,Cerastium ligusticum subsp. ligusticum,SUBSPECIES,Plantae
148790327,3084611,42572,Mollugo verticillata L.,ACCEPTED,3084611,Mollugo verticillata L.,SPECIES,Plantae
148790328,4461655,41133,"Bruchidius incarnatus (Boheman, 1833)",ACCEPTED,4461655,"Bruchidius incarnatus (Boheman, 1833)",SPECIES,Animalia
148790331,6950461,41248,"Caryedon gonagra (Fabricius, 1798)",ACCEPTED,6950461,"Caryedon gonagra (Fabricius, 1798)",SPECIES,Animalia
148790333,2206247,40987,"Asellus aquaticus (Linnaeus, 1758)",ACCEPTED,2206247,"Asellus aquaticus (Linnaeus, 1758)",SPECIES,Animalia
148790339,5356392,42303,Lathyrus incurvus Willd.,ACCEPTED,5356392,Lathyrus incurvus (Roth) Willd.,SPECIES,Plantae
148790340,3176560,41861,Eucalyptus burdettiana Blakely & Steedm.,ACCEPTED,3176560,Eucalyptus burdettiana Blakely & Steedman,SPECIES,Plantae
148790341,5356488,42304,Lathyrus sativus L.,ACCEPTED,5356488,Lathyrus sativus L.,SPECIES,Plantae
148790346,3177112,41911,Eucalyptus viminalis Labill.,ACCEPTED,3177112,Eucalyptus viminalis Labill.,SPECIES,Plantae
148790347,5289833,42627,Nassella tenuissima (Trin.) Barkworth,ACCEPTED,5289833,Nassella tenuissima (Trin.) Barkworth,SPECIES,Plantae
148790348,2928034,42635,Nemophila maculata Benth. ex Lindl.,ACCEPTED,2928034,Nemophila maculata Benth. ex Lindl.,SPECIES,Plantae
148790349,3176234,41908,Eucalyptus urnigera Hook.f.,ACCEPTED,3176234,Eucalyptus urnigera Hook.fil.,SPECIES,Plantae
148790350,7581174,41913,"Eucheilota menoni Kramp, 1959",ACCEPTED,7581174,"Eucheilota menoni Kramp, 1959",SPECIES,Animalia
148790351,5298019,42240,Iris versicolor L.,ACCEPTED,5298019,Iris versicolor L.,SPECIES,Plantae
148790352,3176177,41910,Eucalyptus verrucata Ladiges & Whiffin,ACCEPTED,3176177,Eucalyptus verrucata Ladiges & Whiffin,SPECIES,Plantae
148790353,3176370,41909,Eucalyptus vernicosa Hook.f.,ACCEPTED,3176370,Eucalyptus vernicosa Hook.fil.,SPECIES,Plantae
148790354,2128884,41945,"Eurytetranychus admes Pritchard & Baker, 1955",ACCEPTED,2128884,"Eurytetranychus admes Pritchard & Baker, 1955",SPECIES,Animalia
148790355,3192098,41912,Eucampia cornuta (Cleve) Grunow,SYNONYM,10215243,"Neomoelleria cornuta (Cleve) S.Blanco & C.E.Wetzel, 2016",SPECIES,Chromista
148790356,5392683,41710,Echinops exaltatus Schrad.,ACCEPTED,5392683,Echinops exaltatus Schrad.,SPECIES,Plantae
148790359,2092435,41329,"Ceroplastes japonicus Green, 1921",ACCEPTED,2092435,"Ceroplastes japonicus Green, 1921",SPECIES,Animalia
148790360,7294723,41327,Cerinthe minor subsp. minor,ACCEPTED,7294723,Cerinthe minor subsp. minor,SUBSPECIES,Plantae
148790361,7518129,41565,Cytisus nigricans subsp. nigricans,ACCEPTED,7518129,Cytisus nigricans subsp. nigricans,SUBSPECIES,Plantae
148790362,2092472,41328,"Ceroplastes floridensis Comstock, 1881",ACCEPTED,2092472,"Ceroplastes floridensis Comstock, 1881",SPECIES,Animalia
148790364,3085435,41312,Cerastium dichotomum L.,ACCEPTED,3085435,Cerastium dichotomum L.,SPECIES,Plantae
148790367,8994150,42712,Oenothera parviflora L.,ACCEPTED,8994150,Oenothera parviflora L.,SPECIES,Plantae
148790368,3188811,42708,Oenothera mollissima L.,ACCEPTED,3188811,Oenothera mollissima L.,SPECIES,Plantae
148790369,5972004,42151,"Homarus americanus H.Milne Edwards, 1837",ACCEPTED,5972004,"Homarus americanus H.Milne Edwards, 1837",SPECIES,Animalia
148790371,3033227,41803,Eranthis hyemalis Salisb.,ACCEPTED,3033227,Eranthis hyemalis (L.) Salisb.,SPECIES,Plantae
148790372,4984851,41146,"Bugula neritina (Linnaeus, 1758)",ACCEPTED,4984851,"Bugula neritina (Linnaeus, 1758)",SPECIES,Animalia
148790375,3712256,42183,Hypericum desetangsii subsp. carinthiacum (A.FrÃ¶hl.) N.Robson,SYNONYM,9823146,Hypericum ×carinthiacum A.Fröhl.,SPECIES,Plantae
148790376,4124350,41731,Eleusine africana Kenn.-O'Byrne,ACCEPTED,4124350,Eleusine africana Kenn.-O'Byrne,SPECIES,Plantae
148790378,2705953,41732,Eleusine indica (L.) Gaertn.,ACCEPTED,2705953,Eleusine indica (L.) Gaertn.,SPECIES,Plantae
148790379,1152190,41171,"Callidium rufipenne Motschulsky, 1866",HOMOTYPIC_SYNONYM,1152186,"Callidiellum rufipennis (Motschulsky, 1861)",SPECIES,Animalia
148790382,3128437,41284,Centaurea glaberrima Tausch,ACCEPTED,3128437,Centaurea glaberrima Tausch,SPECIES,Plantae
148790384,3176926,41863,Eucalyptus chapmaniana Cameron,ACCEPTED,3176926,Eucalyptus chapmaniana Cameron,SPECIES,Plantae
148790385,2703717,41132,Bromus secalinus L.,ACCEPTED,2703717,Bromus secalinus L.,SPECIES,Plantae
148790389,3110588,40841,Ambrosia trifida L.,ACCEPTED,3110588,Ambrosia trifida L.,SPECIES,Plantae
148790390,3198548,41392,Cladosiphon zosterae (J.Agardh) Kylin,ACCEPTED,3198548,Cladosiphon zosterae (J.Agardh) Kylin,SPECIES,Chromista
148790395,3176566,41897,Eucalyptus regnans F.Muell.,ACCEPTED,3176566,Eucalyptus regnans F.Muell.,SPECIES,Plantae
148790396,2858847,42620,Narcissus bulbocodium subsp. bulbocodium,ACCEPTED,2858847,Narcissus bulbocodium subsp. bulbocodium,SUBSPECIES,Plantae
148790398,3127988,41285,Centaurea glastifolia L.,ACCEPTED,3127988,Centaurea glastifolia L.,SPECIES,Plantae
148790399,2859255,42621,Narcissus incomparabilis Mill.,ACCEPTED,2859255,Narcissus ×incomparabilis Mill.,SPECIES,Plantae
148790404,2075484,41810,"Ericaphis scammelli (Mason & P.W., 1940)",ACCEPTED,2075484,"Ericaphis scammelli (Mason, 1940)",SPECIES,Animalia
148790405,2502810,41162,"Caenoplana coerulea Moseley, 1877",ACCEPTED,2502810,"Caenoplana coerulea Moseley, 1877",SPECIES,Animalia
148790406,7720286,41694,Dysphania bontei (Aellen) Stace,ACCEPTED,7720286,Dysphania ×bontei (Aellen) Stace,SPECIES,Plantae
148790407,5568415,41696,Dysphania cristata (F.Muell.) Mosyakin & Clemants,ACCEPTED,5568415,Dysphania cristata (F.Muell.) Mosyakin & Clemants,SPECIES,Plantae
148790408,5568424,41695,Dysphania carinata (R.Br.) Mosyakin & Clemants,ACCEPTED,5568424,Dysphania carinata (R.Br.) Mosyakin & Clemants,SPECIES,Plantae
148790409,5568446,41693,Dysphania ambrosioides (L.) Mosyakin & Clemants,ACCEPTED,5568446,Dysphania ambrosioides (L.) Mosyakin & Clemants,SPECIES,Plantae
148790411,2227670,41692,"Dyspanopeus sayi (Smith, 1869)",ACCEPTED,2227670,"Dyspanopeus sayi (Smith, 1869)",SPECIES,Animalia
148790416,5377778,41025,Aurinia saxatilis Desv.,ACCEPTED,5377778,Aurinia saxatilis (L.) Desv.,SPECIES,Plantae
