taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160942920,2284723,120055,"Urnatella gracilis Leidy, 1851",ACCEPTED,2284723,"Urnatella gracilis Leidy, 1851",SPECIES,Animalia
160942922,2284723,120056,"Urnatella gracilis Leidy, 1851",ACCEPTED,2284723,"Urnatella gracilis Leidy, 1851",SPECIES,Animalia
160942925,8019265,120025,"Thecadinium yashimaense Yoshimatsu, Toriumi & J.D.Dodge",ACCEPTED,8019265,"Thecadinium yashimaense Yoshimatsu, Toriumi & J.D.Dodge",SPECIES,Chromista
160942931,7454879,119540,Karenia mikimotoi (Miyake & Kominami ex Oda) G.Hansen & Moestrup,ACCEPTED,7454879,Karenia mikimotoi (Miyake & Kominami ex Oda) G.Hansen & Moestrup,SPECIES,Chromista
160942932,4288870,119848,"Prostoma graecense (BÃ¶hmig, 1892)",ACCEPTED,4288870,"Prostoma graecense (Böhmig, 1892)",SPECIES,Animalia
160942941,3197314,119915,Sargassum muticum (Yendo) Fensholt,ACCEPTED,3197314,Sargassum muticum (Yendo) Fensholt,SPECIES,Chromista
160942942,2501066,119770,"Paratenuisentis ambiguus (Van Cleave, 1921)",ACCEPTED,2501066,"Paratenuisentis ambiguus (Van Cleave, 1921)",SPECIES,Animalia
160942945,3196387,119426,Fucus evanescens C.Agardh,ACCEPTED,3196387,Fucus evanescens C.Agardh,SPECIES,Chromista
160942952,4985072,120036,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",ACCEPTED,4985072,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",SPECIES,Animalia
160942953,9355965,120023,"Thalassiosira punctigera Castracane, 1886",ACCEPTED,9355965,"Thalassiosira punctigera Castracane, 1886",SPECIES,Chromista
160942958,4985433,120082,"Victorella pavida Saville-Kent, 1870",ACCEPTED,4985433,"Victorella pavida Saville-Kent, 1870",SPECIES,Animalia
160942959,5421668,119690,Odontella sinensis (Grev.) Grunow,SYNONYM,3193658,"Biddulphia sinensis Greville, 1866",SPECIES,Chromista
160942965,5421557,119262,"Coscinodiscus wailesii Gran & Angst, 1931",ACCEPTED,5421557,"Coscinodiscus wailesii Gran & Angst, 1931",SPECIES,Chromista
160942966,1003588,119818,"Plumatella casmiana Oka, 1907",ACCEPTED,1003588,"Plumatella casmiana Oka, 1907",SPECIES,Animalia
160942971,1003567,119777,"Pectinatella magnifica (Leidy, 1851)",ACCEPTED,1003567,"Pectinatella magnifica (Leidy, 1851)",SPECIES,Animalia
160942975,5422038,119206,Chattonella antiqua (Hada) Demura & Kawachi,SYNONYM,7366847,Chattonella marina var. antiqua (Hada) M.Demura & M.Kawachi,VARIETY,Chromista
160942977,3194429,119417,"Fibrocapsa japonica Toriumi & Takano, 1973",ACCEPTED,3194429,"Fibrocapsa japonica Toriumi & Takano, 1973",SPECIES,Chromista
160942980,2501248,119650,"Mnemiopsis leidyi A.Agassiz, 1865",ACCEPTED,2501248,"Mnemiopsis leidyi A.Agassiz, 1865",SPECIES,Animalia
160942986,3203610,119804,"Phytophthora ramorum Werres, De Cock & Man",ACCEPTED,3203610,"Phytophthora ramorum Werres, De Cock & Man",SPECIES,Chromista
160942991,4411357,119576,"Limnias ceratophylli Schrank, 1803",ACCEPTED,4411357,"Limnias ceratophylli Schrank, 1803",SPECIES,Animalia
