taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
149687642,50258,"Sinophysis canaliculata J.-P.Quod, L.Ten-Hage, J.Turquet, G.Mascarell & Couté",ACCEPTED,3205259,"Sinophysis canaliculata J.-P.Quod, L.Ten-Hage, J.Turquet, G.Mascarell & Couté, 1999",SPECIES,Chromista
149687646,50138,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",ACCEPTED,2237923,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",SPECIES,Animalia
149687647,50201,Prorocentrum levis M.A.Faust & al.,ACCEPTED,7740521,Prorocentrum levis,SPECIES,Chromista
149687649,50200,Prorocentrum emarginatum Fukuyo,ACCEPTED,3207907,Prorocentrum emarginatum Fukuyo,SPECIES,Chromista
149687653,49949,"Glyphidohaptor plectocirra (Paperna, 1972) Kritsky, Galli & Yang, 2007",ACCEPTED,8236575,"Glyphidohaptor plectocirra (Paperna, 1972) Kritsky, Galli & Yang, 2007",SPECIES,Animalia
149687654,50199,"Prorocentrum borbonicum L.Ten-Hage, J.Turquet, J.-P.Quod, S.Puiseux-Dao & A.CoutÃ©, 2000",ACCEPTED,8416777,"Prorocentrum borbonicum L.Ten-Hage, J.Turquet, J.-P.Quod, S.Puiseux-Dao & A.Couté, 2000",SPECIES,Chromista
149687663,50291,"Synaptula reciprocans (ForsskÃ¥l, 1775)",ACCEPTED,4341995,"Synaptula reciprocans (Forsskål, 1775)",SPECIES,Animalia
149687664,50207,"Pseudochattonella verruculosa (Y.Hara & Chihara) Hosoi-Tanabe, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako",ACCEPTED,5824749,"Pseudochattonella verruculosa (Y.Hara & Chihara) Hosoi-Tanabe, D.Honda, S.Fukaya, Y.Inagaki & Y.Sako",SPECIES,Chromista
149687671,49876,"Diadema setosum (Leske, 1778)",ACCEPTED,5721108,"Diadema setosum (Leske, 1778)",SPECIES,Animalia
149687672,50287,"Stypopodium schimperi (Kützing) M.Verlaque & Boudouresque, 1991",ACCEPTED,3200580,Stypopodium schimperi (Kützing) Verlaque & Boudouresque,SPECIES,Chromista
149687673,50126,"Padina boryana Thivy, 1966",ACCEPTED,3200174,"Padina boryana Thivy, 1966",SPECIES,Chromista
149687680,49854,Cutleria multifida (Turner) Grev.,ACCEPTED,5422862,Cutleria multifida (Turner) Grev.,SPECIES,Chromista
149687681,50250,"Sertularia marginata (Kirchenpauer, 1864)",SYNONYM,4282894,"Tridentata marginata (Kirchenpauer, 1864)",SPECIES,Animalia
149687684,50244,Scytosiphon dotyi Wynne,ACCEPTED,5422829,"Scytosiphon dotyi M.J.Wynne, 1969",SPECIES,Chromista
149687687,49832,Colpomenia peregrina Sauv.,ACCEPTED,3197970,Colpomenia peregrina Sauv.,SPECIES,Chromista
149687689,50094,"Oculina patagonica de Angelis, 1908",ACCEPTED,5184825,"Oculina patagonica de Angelis D'Ossat, 1908",SPECIES,Animalia
149687697,50151,"Pelagia benovici Piraino, Aglieri, Scorrano & Boero, 2014",SYNONYM,9237565,"Mawia benovici (Piraino, Aglieri, Scorrano & Boero, 2014)",SPECIES,Animalia
149687701,50279,"Spiroloculina antillarum d'Orbigny, 1839",ACCEPTED,8294562,"Spiroloculina antillarum d'Orbigny, 1839",SPECIES,Chromista
149687702,50226,"Rhopilema nomadica Galil, 1990",ACCEPTED,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990",SPECIES,Animalia
149687704,50065,"Miliolinella fichteliana (d'Orbigny, 1839)",ACCEPTED,7399878,"Miliolinella fichteliana (d'Orbigny, 1839)",SPECIES,Chromista
149687706,50171,"Phyllorhiza punctata Lendenfeld, 1884",ACCEPTED,2264530,"Phyllorhiza punctata von Lendenfeld, 1884",SPECIES,Animalia
149687708,49928,"Euthymonacha polita (Chapman, 1900)",ACCEPTED,8375830,"Euthymonacha polita (Chapman, 1900)",SPECIES,Chromista
149687710,49840,"Coscinospira hemprichii Ehrenberg, 1839",ACCEPTED,8390568,"Coscinospira hemprichii Ehrenberg, 1839",SPECIES,Chromista
149687711,49783,"Cassiopea andromeda (ForsskÃ¥l, 1775)",ACCEPTED,2264603,"Cassiopea andromeda (Forskål, 1775)",SPECIES,Animalia
149687714,49698,"Amphisorus hemprichii Ehrenberg, 1839",ACCEPTED,7441080,"Amphisorus hemprichii Ehrenberg, 1839",SPECIES,Chromista
149687720,49826,"Clavulina multicamerata Chapman, 1907",ACCEPTED,7734180,"Clavulina multicamerata Chapman, 1907",SPECIES,Chromista
149687723,50068,"Mnemiopsis leidyi A.Agassiz, 1865",ACCEPTED,2501248,"Mnemiopsis leidyi A.Agassiz, 1865",SPECIES,Animalia
149687727,49970,"Heterostegina depressa d'Orbigny, 1826",ACCEPTED,7930726,"Heterostegina depressa d'Orbigny, 1826",SPECIES,Chromista
149687730,49860,"Cymbaloporetta plana (Cushman, 1924)",ACCEPTED,8052076,"Cymbaloporetta plana (Cushman, 1924)",SPECIES,Chromista
149687731,49745,"Beroe ovata Bruguiere, 1789",ACCEPTED,5233152,"Beroe ovata Bruguière, 1789",SPECIES,Animalia
149687735,49699,"Amphistegina lobifera Larsen, 1976",ACCEPTED,7374940,"Amphistegina lobifera Larsen, 1976",SPECIES,Chromista
149687738,49728,"Aspidosiphon mexicanus (Murina, 1967)",ACCEPTED,2510275,"Aspidosiphon mexicanus (Murina, 1967)",SPECIES,Animalia
149687740,50181,"Planogypsina acervalis (Brady, 1884)",ACCEPTED,7371308,"Planogypsina acervalis (Brady, 1884)",SPECIES,Chromista
149687742,49645,"Acervulina inhaerens Schulze, 1854",ACCEPTED,8102774,"Acervulina inhaerens Schultze, 1854",SPECIES,Chromista
149687747,50084,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",ACCEPTED,2318164,"Neopseudocapitella brasiliensis Rullier & Amoureux, 1979",SPECIES,Animalia
149687751,50092,"Notomastus aberans Day, 1957",ACCEPTED,2318080,"Notomastus aberans Day, 1957",SPECIES,Animalia
149687753,50322,Ulva fasciata Delile,SYNONYM,5273309,Ulva lactuca L.,SPECIES,Plantae
149687754,50063,"Metasychis gotoi (Izuka, 1902)",ACCEPTED,2319527,"Metasychis gotoi (Izuka, 1902)",SPECIES,Animalia
149687759,49828,Codium fragile (Suringar) Hariot,ACCEPTED,5272096,Codium fragile (Suringar) Har.,SPECIES,Plantae
149687760,50208,"Pseudonereis anomala Gravier, 1899",ACCEPTED,2315466,"Pseudonereis anomala Gravier, 1899",SPECIES,Animalia
