taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148789227,HU,present,introduced,,,,
148789229,HU,present,introduced,,,,
148789230,HU,present,introduced,,,,
148789237,HU,present,introduced,,,,
148789241,HU,present,introduced,,,,
148789242,HU,present,introduced,,,,
148789243,HU,present,introduced,,,,
148789248,HU,present,introduced,,,,
148789250,HU,present,introduced,,,,
148789252,HU,present,introduced,,,,
148789254,HU,present,introduced,,,,
148789258,HU,present,introduced,,,,
148789262,HU,present,introduced,,,,
148789263,HU,present,introduced,,,,
148789265,HU,present,introduced,,,,
148789269,HU,present,introduced,,,,
148789270,HU,present,introduced,,,,
148789272,HU,present,introduced,,,,
148789273,HU,present,introduced,,,,
148789275,HU,present,introduced,,,,
148789276,HU,present,introduced,,,,
148789278,HU,present,introduced,,,,
148789279,HU,present,introduced,,,,
148789280,HU,present,introduced,,,,
148789282,HU,present,introduced,,,,
148789284,HU,present,introduced,,,,
148789287,HU,present,introduced,,,,
148789293,HU,present,introduced,,,,
148789295,HU,present,introduced,,,,
148789298,HU,present,introduced,,,,
148789300,HU,present,introduced,,,,
148789301,HU,present,introduced,,,,
148789302,HU,present,introduced,,,,
148789306,HU,present,introduced,,,,
148789307,HU,present,introduced,,,,
148789308,HU,present,introduced,,,,
148789312,HU,present,introduced,,,,
148789313,HU,present,introduced,,,,
148789314,HU,present,introduced,,,,
148789315,HU,present,introduced,,,,
148789316,HU,present,introduced,,,,
148789319,HU,present,introduced,,,,
148789321,HU,present,introduced,,,,
148789325,HU,present,introduced,,,,
148789326,HU,present,introduced,,,,
148789327,HU,present,introduced,,,,
148789330,HU,present,introduced,,,,
148789333,HU,present,introduced,,,,
148789335,HU,present,introduced,,,,
148789338,HU,present,introduced,,,,
148789343,HU,present,introduced,,,,
148789346,HU,present,introduced,,,,
148789347,HU,present,introduced,,,,
148789352,HU,present,introduced,,,,
148789353,HU,present,introduced,,,,
148789358,HU,present,introduced,,,,
148789361,HU,present,introduced,,,,
148789362,HU,present,introduced,,,,
148789365,HU,present,introduced,,,,
148789369,HU,present,introduced,,,,
148789370,HU,present,introduced,,,,
148789372,HU,present,introduced,,,,
148789375,HU,present,introduced,,,,
148789377,HU,present,introduced,,,,
148789379,HU,present,introduced,,,,
148789381,HU,present,introduced,,,,
148789383,HU,present,introduced,,,,
148789385,HU,present,introduced,,,,
148789390,HU,present,introduced,,,,
148789391,HU,present,introduced,,,,
148789395,HU,present,introduced,,,,
148789400,HU,present,introduced,,,,
148789401,HU,present,introduced,,,,
148789402,HU,present,introduced,,,,
148789403,HU,present,introduced,,,,
148789406,HU,present,introduced,,,,
148789407,HU,present,introduced,,,,
148789411,HU,present,introduced,,,,
148789413,HU,present,introduced,,,,
148789416,HU,present,introduced,,,,
148789417,HU,present,introduced,,,,
148789418,HU,present,introduced,,,,
148789419,HU,present,introduced,,,,
148789420,HU,present,introduced,,,,
148789421,HU,present,introduced,,,,
148789422,HU,present,introduced,,,,
148789425,HU,present,introduced,,,,
148789428,HU,present,introduced,,,,
148789429,HU,present,introduced,,,,
148789430,HU,present,introduced,,,,
148789431,HU,present,introduced,,,,
148789432,HU,present,introduced,,,,
148789433,HU,present,introduced,,,,
148789435,HU,present,introduced,,,,
148789436,HU,present,introduced,,,,
148789437,HU,present,introduced,,,,
148789438,HU,present,introduced,,,,
148789439,HU,present,introduced,,,,
148789441,HU,present,introduced,,,,
148789442,HU,present,introduced,,,,
148789443,HU,present,introduced,,,,
148789444,HU,present,introduced,,,,
148789445,HU,present,introduced,,,,
148789446,HU,present,introduced,,,,
148789447,HU,present,introduced,,,,
148789448,HU,present,introduced,,,,
148789449,HU,present,introduced,,,,
148789450,HU,present,introduced,,,,
148789451,HU,present,introduced,,,,
148789452,HU,present,introduced,,,,
148789453,HU,present,introduced,,,,
148789454,HU,present,introduced,,,,
148789455,HU,present,introduced,,,,
148789458,HU,present,introduced,,,,
148789459,HU,present,introduced,,,,
148789460,HU,present,introduced,,,,
148789465,HU,present,introduced,,,,
148789468,HU,present,introduced,,,,
148789472,HU,present,introduced,,,,
148789475,HU,present,introduced,,,,
148789477,HU,present,introduced,,,,
148789478,HU,present,introduced,,,,
148789479,HU,present,introduced,,,,
148789481,HU,present,introduced,,,,
148789482,HU,present,introduced,,,,
148789486,HU,present,introduced,,,,
