taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
148789227,2650103,42733,Azolla Lamarck,ACCEPTED,2650103,Azolla Lam.,GENUS,Plantae
148789229,4410669,42817,"Lumbricus rubellus Hoffmeister, 1843",ACCEPTED,4410669,"Lumbricus rubellus Hoffmeister, 1843",SPECIES,Animalia
148789230,2650107,42732,Azolla filiculoides Lam.,ACCEPTED,2650107,Azolla filiculoides Lam.,SPECIES,Plantae
148789237,2766009,42820,Monochoria korsakowii Regel & Maack,SYNONYM,11070196,Pontederia korsakowii (Regel & Maack) M.Pell. & C.N.Horn,SPECIES,Plantae
148789241,2870583,42856,Pistia stratiotes L.,ACCEPTED,2870583,Pistia stratiotes L.,SPECIES,Plantae
148789242,2266009,42756,"Cordylophora caspia (Pallas, 1771)",ACCEPTED,2266009,"Cordylophora caspia (Pallas, 1771)",SPECIES,Animalia
148789243,2867614,42813,Lemna minuta Kunth,ACCEPTED,2867614,Lemna minuta Kunth,SPECIES,Plantae
148789248,2865526,42899,Vallisneria spiralis L.,ACCEPTED,2865526,Vallisneria spiralis L.,SPECIES,Plantae
148789250,5890148,42728,"Anguillicoloides crassus (Kuwahara, Niimi & Itagaki, 1974) Moravec & Taraschewski, 1988",SYNONYM,4346612,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",SPECIES,Animalia
148789252,5329212,42778,Elodea nuttallii St.John,ACCEPTED,5329212,Elodea nuttallii (Planch.) H.St.John,SPECIES,Plantae
148789254,2865448,42777,Elodea canadensis Michx.,ACCEPTED,2865448,Elodea canadensis Michx.,SPECIES,Plantae
148789258,2702084,42809,Juncus tenuis Willd.,ACCEPTED,2702084,Juncus tenuis Willd.,SPECIES,Plantae
148789262,8087010,42763,Cyperus esculentus var. leptostachyus Boeckeler,SYNONYM,2716226,Cyperus esculentus L.,SPECIES,Plantae
