taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
196380575,1505543,184155,"Tipula paludosa Meigen, 1830",ACCEPTED,1505543,"Tipula paludosa Meigen, 1830",SPECIES,Animalia
196380580,3222886,183756,"Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin & al., 1953",ACCEPTED,3222886,"Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin et al., 1953",SPECIES,Bacteria
196380581,1570910,183992,"Lyciella rorida (FallÃ©n, 1820)",HOMOTYPIC_SYNONYM,5979639,"Meiosimyza rorida (Fallén, 1820)",SPECIES,Animalia
196380586,4517947,184151,"Sympycnus desoutteri Parent, 1925",HETEROTYPIC_SYNONYM,1608745,"Sympycnus pulicarius (Fallén, 1823)",SPECIES,Animalia
196380590,1541262,183895,"Eristalis intricaria (Linnaeus, 1758)",ACCEPTED,1541262,"Eristalis intricaria (Linnaeus, 1758)",SPECIES,Animalia
196380591,3194420,183939,"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967",ACCEPTED,3194420,"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967",SPECIES,Chromista
196380592,1536675,184004,"Melangyna lasiophthalma (Zetterstedt, 1843)",ACCEPTED,1536675,"Melangyna lasiophthalma (Zetterstedt, 1843)",SPECIES,Animalia
196380596,1502691,183823,"Calliphora vomitoria (Linnaeus, 1758)",ACCEPTED,1502691,"Calliphora vomitoria (Linnaeus, 1758)",SPECIES,Animalia
196380598,1503644,184066,"Pollenia rudis (Fabricius, 1794)",ACCEPTED,1503644,"Pollenia rudis (Fabricius, 1794)",SPECIES,Animalia
196380601,8024245,184023,Neodenticula seminae (Simonsen & Kanaya) Akiba & Yanagisawa,ACCEPTED,8024245,"Neodenticula seminae (R.Simonsen & T.Kanaya) F.Akiba & Y.Yanagisawa, 1986",SPECIES,Chromista
196380604,2070578,184170,"Uroleucon taraxaci (Kaltenbach, 1843)",ACCEPTED,2070578,"Uroleucon taraxaci (Kaltenbach, 1843)",SPECIES,Animalia
196380606,2076533,183888,"Elatobium abietinum (Walker & F., 1849)",ACCEPTED,2076533,"Elatobium abietinum (Walker, 1849)",SPECIES,Animalia
196380607,8059383,184140,"Stephanopyxis turris (Greville) Ralfs, 1861",ACCEPTED,8059383,"Stephanopyxis turris (Greville) Ralfs, 1861",SPECIES,Chromista
196380609,,184003,"Mediopyxis helysia KÃ¼hn, Hargreaves & Halliger, 2006",,,"Mediopyxis helysia KÃ¼hn, Hargreaves & Halliger, 2006",,
