taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
134854667,4283395,4863,"Diadumene lineata (Verrill, 1869)",ACCEPTED,4283395,"Diadumene lineata (Verrill, 1869)",SPECIES,Animalia
134854668,3222012,4929,Erwinia amylovora,ACCEPTED,3222012,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920",SPECIES,Bacteria
134854673,,4810,Craspedacusta sowerbyi Lancaster,,,Craspedacusta sowerbyi Lancaster,,
134854678,1005677,5753,"Watersipora subtorquata (d'Orbigny, 1852)",ACCEPTED,1005677,"Watersipora subtorquata (d'Orbigny, 1852)",SPECIES,Animalia
134854681,4985072,5687,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",ACCEPTED,4985072,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",SPECIES,Animalia
134854684,4984851,4681,"Bugula neritina (Linnaeus, 1758)",ACCEPTED,4984851,"Bugula neritina (Linnaeus, 1758)",SPECIES,Animalia
134854685,7665662,4682,"Bugulina fulva (Ryland, 1960)",ACCEPTED,7665662,"Bugulina fulva (Ryland, 1960)",SPECIES,Animalia
134854686,7668385,4683,"Bugulina simplex (Hincks, 1886)",ACCEPTED,7668385,"Bugulina simplex (Hincks, 1886)",SPECIES,Animalia
134854689,3202307,5087,"Isochrysis galbana Parke, 1949",ACCEPTED,3202307,Isochrysis galbana Parke,SPECIES,Chromista
134854694,2325189,5655,"Terebella lapidaria Linnaeus, 1767",ACCEPTED,2325189,"Terebella lapidaria Linnaeus, 1767",SPECIES,Animalia
134854698,2327735,4972,"Ficopomatus enigmaticus (Fauvel, 1923)",ACCEPTED,2327735,"Ficopomatus enigmaticus (Fauvel, 1923)",SPECIES,Animalia
134854702,5197206,4759,"Clymenella torquata (Leidy, 1855)",ACCEPTED,5197206,"Clymenella torquata (Leidy, 1855)",SPECIES,Animalia
134854708,7454879,5098,Karenia mikimotoi (Miyake & Kominami ex Oda) G. Hansen & Ø. Moestrup,ACCEPTED,7454879,Karenia mikimotoi (Miyake & Kominami ex Oda) G.Hansen & Moestrup,SPECIES,Chromista
134854709,2308609,5440,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903",ACCEPTED,2308609,"Potamothrix moldaviensis Vejdovský & Mrázek, 1903",SPECIES,Animalia
134854710,2308605,5441,"Potamothrix vejdovskyi (Hrab, 1941)",ACCEPTED,2308605,"Potamothrix vejdovskyi (Hrabĕ, 1941)",SPECIES,Animalia
134854712,2308574,4668,"Branchiura sowerbyi Beddard, 1892",ACCEPTED,2308574,"Branchiura sowerbyi Beddard, 1892",SPECIES,Animalia
134854719,4343706,5449,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948)",ACCEPTED,4343706,"Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gusev, 1965",SPECIES,Animalia
134854720,4343705,5450,"Pseudodactylogyrus bini (Kikuchi, 1929)",ACCEPTED,4343705,"Pseudodactylogyrus bini (Kikuchi, 1929)",SPECIES,Animalia
134854723,4268023,5022,"Gyrodinium aureolum E.M.Hulburt, 1957",SYNONYM,7387168,"Gymnodinium aureolum (Hulburt) Hansen, 2000",SPECIES,Chromista
134854725,5892120,5006,"Girardia tigrina (Girard, 1850)",ACCEPTED,5892120,"Girardia tigrina (Girard, 1850)",SPECIES,Animalia
134854729,2502938,4655,"Bipalium kewense Moseley, 1878",ACCEPTED,2502938,"Bipalium kewense Moseley, 1878",SPECIES,Animalia
134854736,2502805,5102,"Kontikia ventrolineata (Dendy, 1892)",ACCEPTED,2502805,"Kontikia ventrolineata (Dendy, 1892)",SPECIES,Animalia
134854738,6477009,5101,"Kontikia andersoni Jones, 1981",ACCEPTED,6477009,"Kontikia andersoni Jones, 1981",SPECIES,Animalia
134854739,7914141,5309,"Ophryoglena hemophaga Molloy, Lynn & Giamberini, 2005",ACCEPTED,7914141,"Ophryoglena hemophaga Molloy, Lynn & Giamberini, 2005",SPECIES,Chromista
134854742,2502865,4632,"Australoplana sanguinea (Moseley, 1877)",ACCEPTED,2502865,"Australoplana sanguinea (Moseley, 1877)",SPECIES,Animalia
134854744,2502792,4615,"Arthurdendyus triangulatus (Dendy, 1895)",ACCEPTED,2502792,"Arthurdendyus triangulatus (Dendy, 1895)",SPECIES,Animalia
134854746,7393181,4768,Conchophthirus acuminatus,ACCEPTED,7393181,Conchophthirus acuminatus,SPECIES,Chromista
134854753,4559504,4600,"Argonemertes dendyi (Dakin, 1915)",ACCEPTED,4559504,"Argonemertes dendyi (Dakin, 1915)",SPECIES,Animalia
134854756,3194420,5046,Heterosigma akashiwo,ACCEPTED,3194420,"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967",SPECIES,Chromista
134854760,4346612,4572,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",ACCEPTED,4346612,"Anguillicola crassus Kuwahara, Niimi & Itagaki, 1974",SPECIES,Animalia
134854766,2285356,5088,"Isognomon radiatus (Anton, 1838)",ACCEPTED,2285356,"Isognomon radiatus (Anton, 1838)",SPECIES,Animalia
