taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
163302354,LV,present,introduced,,,,
163302355,LV,present,introduced,invasive,,,
163302356,LV,present,introduced,,,,
163302358,LV,present,introduced,invasive,,,
163302365,LV,present,introduced,invasive,,,
163302367,LV,present,introduced,invasive,,,
163302368,LV,present,introduced,invasive,,,
163302369,LV,present,introduced,invasive,,,
163302370,LV,present,introduced,,,,
163302380,LV,present,introduced,invasive,,,
163302381,LV,present,introduced,invasive,,,
163302386,LV,present,introduced,invasive,,,
163302391,LV,present,introduced,,,,
163302392,LV,present,introduced,,,,
163302394,LV,present,introduced,,,,
163302396,LV,present,introduced,,,,
163302399,LV,present,introduced,,,,
163302404,LV,present,introduced,,,,
163302405,LV,present,introduced,,,,
163302406,LV,present,introduced,,,,
163302410,LV,present,introduced,,,,
163302416,LV,present,introduced,,,,
163302417,LV,present,introduced,invasive,,,
163302420,LV,present,introduced,,,,
163302426,LV,present,introduced,,,,
163302427,LV,present,introduced,invasive,,,
163302430,LV,present,introduced,,,,
163302432,LV,present,introduced,,,,
163302433,LV,present,introduced,,,,
163302436,LV,present,introduced,,,,
163302438,LV,present,introduced,,,,
163302440,LV,present,introduced,,,,
163302441,LV,present,introduced,invasive,,,
163302442,LV,present,introduced,,,,
163302443,LV,present,introduced,,,,
163302444,LV,present,introduced,,,,
163302446,LV,present,introduced,,,,
163302448,LV,present,introduced,,,,
163302449,LV,present,introduced,invasive,,,
163302450,LV,present,introduced,,,,
163302453,LV,present,introduced,invasive,,,
163302455,LV,present,introduced,,,,
163302456,LV,present,introduced,,,,
163302461,LV,present,introduced,,,,
163302465,LV,present,introduced,,,,
163302466,LV,present,introduced,invasive,,,
163302467,LV,present,introduced,invasive,,,
163302474,LV,present,introduced,,,,
163302475,LV,present,introduced,invasive,,,
163302476,LV,present,introduced,,,,
163302482,LV,present,introduced,,,,
163302485,LV,present,introduced,,,,
163302490,LV,present,introduced,invasive,,,
163302491,LV,present,introduced,,,,
163302493,LV,present,introduced,,,,
163302494,LV,present,introduced,invasive,,,
163302499,LV,present,introduced,invasive,,,
163302500,LV,present,introduced,,,,
163302501,LV,present,introduced,invasive,,,
163302504,LV,present,introduced,,,,
163302508,LV,present,introduced,,,,
163302509,LV,present,introduced,invasive,,,
163302513,LV,present,introduced,,,,
163302516,LV,present,introduced,,,,
163302517,LV,present,introduced,,,,
163302522,LV,present,introduced,,,,
163302523,LV,present,introduced,invasive,,,
163302526,LV,present,introduced,,,,
163302527,LV,present,introduced,invasive,,,
163302530,LV,present,introduced,,,,
163302532,LV,present,introduced,,,,
163302533,LV,present,introduced,invasive,,,
163302534,LV,present,introduced,invasive,,,
163302535,LV,present,introduced,invasive,,,
163302538,LV,present,introduced,invasive,,,
163302539,LV,present,introduced,,,,
163302543,LV,present,introduced,,,,
163302544,LV,present,introduced,invasive,,,
163302546,LV,present,introduced,invasive,,,
163302547,LV,present,introduced,invasive,,,
163302548,LV,present,introduced,,,,
163302551,LV,present,introduced,,,,
163302552,LV,present,introduced,,,,
