taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160879630,LI,present,introduced,,,,
160879635,LI,present,introduced,,,,
160879639,LI,present,introduced,,,,
160879643,LI,present,introduced,,,,
160879646,LI,present,introduced,,,,
160879650,LI,present,introduced,,,,
160879653,LI,present,introduced,,,,
160879654,LI,present,introduced,,,,
160879658,LI,present,introduced,,,,
160879661,LI,present,introduced,,,,
160879664,LI,present,introduced,,,,
160879665,LI,present,introduced,,,,
160879666,LI,present,introduced,,,,
160879667,LI,present,introduced,invasive,,,
160879672,LI,present,introduced,,,,
160879676,LI,present,introduced,,,,
160879679,LI,present,introduced,,,,
160879682,LI,present,introduced,,,,
160879685,LI,present,introduced,,,,
160879687,LI,present,introduced,,,,
160879688,LI,doubtful,introduced,,,,
160879694,LI,present,introduced,,,,
160879699,LI,present,introduced,,,,
160879701,LI,present,introduced,,,,
160879704,LI,present,introduced,,,,
160879710,LI,present,introduced,,,,
160879715,LI,present,introduced,,,,
160879720,LI,present,introduced,,,,
160879722,LI,present,introduced,,,,
160879723,LI,present,introduced,,,,
160879727,LI,present,introduced,,,,
160879729,LI,present,introduced,,,,
160879732,LI,present,introduced,invasive,,,
160879735,LI,present,introduced,,,,
160879737,LI,present,introduced,invasive,,,
160879738,LI,present,introduced,,,,
160879740,LI,present,introduced,,,,
160879741,LI,present,introduced,,,,
160879742,LI,present,introduced,,,,
160879743,LI,present,introduced,,,,
160879747,LI,present,introduced,,,,
160879750,LI,present,introduced,invasive,,,
160879753,LI,present,,,,,
160879756,LI,present,introduced,,,,
160879759,LI,present,,,,,
160879762,LI,present,introduced,,,,
160879766,LI,present,introduced,,,,
160879767,LI,present,introduced,,,,
160879770,LI,present,introduced,invasive,,,
160879773,LI,present,introduced,invasive,,,
160879774,LI,present,introduced,invasive,,,
160879778,LI,present,introduced,,,,
160879779,LI,present,introduced,,,,
160879780,LI,present,introduced,,,,
160879783,LI,present,introduced,,,,
160879784,LI,present,introduced,,,,
160879786,LI,present,introduced,,,,
160879788,LI,present,introduced,,,,
160879792,LI,present,introduced,,,,
160879793,LI,present,introduced,,,,
160879794,LI,present,introduced,,,,
160879795,LI,present,introduced,,,,
160879798,LI,present,introduced,,,,
160879799,LI,present,introduced,,,,
160879800,LI,present,introduced,,,,
160879803,LI,present,introduced,,,,
160879805,LI,present,introduced,,,,
160879808,LI,present,introduced,invasive,,,
160879809,LI,present,introduced,,,,
160879810,LI,present,introduced,,,,
160879812,LI,present,introduced,,,,
160879814,LI,present,introduced,invasive,,,
160879818,LI,present,introduced,,,,
160879820,LI,present,introduced,,,,
160879821,LI,present,introduced,,,,
160879822,LI,present,introduced,,,,
160879824,LI,present,introduced,,,,
160879825,LI,present,introduced,,,,
160879826,LI,present,introduced,,,,
160879827,LI,present,introduced,,,,
160879828,LI,present,introduced,,,,
160879829,LI,present,introduced,,,,
160879830,LI,present,introduced,invasive,,,
160879834,LI,present,introduced,,,,
160879836,LI,present,introduced,,,,
160879840,LI,present,introduced,,,,
160879842,LI,present,introduced,,,,
160879844,LI,present,introduced,,,,
160879846,LI,present,introduced,,,,
160879848,LI,present,introduced,,,,
160879850,LI,present,introduced,,,,
160879851,LI,present,introduced,invasive,,,
160879852,LI,present,introduced,invasive,,,
160879853,LI,present,introduced,,,,
160879854,LI,present,introduced,invasive,,,
160879856,LI,present,introduced,,,,
160879858,LI,present,introduced,,,,
160879860,LI,present,introduced,,,,
160879862,LI,present,introduced,,,,
160879863,LI,present,introduced,,,,
160879864,LI,present,introduced,,,,
160879865,LI,present,introduced,,,,
160879866,LI,present,introduced,,,,
160879867,LI,present,introduced,invasive,,,
160879868,LI,present,introduced,invasive,,,
160879869,LI,present,introduced,,,,
160879870,LI,present,introduced,invasive,,,
160879871,LI,present,introduced,invasive,,,
160879874,LI,present,introduced,,,,
160879875,LI,present,introduced,,,,
160879879,LI,present,introduced,,,,
160879881,LI,present,introduced,invasive,,,
160879883,LI,present,introduced,,,,
160879885,LI,present,introduced,,,,
160879886,LI,present,introduced,,,,
160879889,LI,present,introduced,invasive,,,
160879891,LI,present,introduced,invasive,,,
