taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160879630,7540164,90509,"Arion vulgaris Moquin-Tandon, 1855",ACCEPTED,7540164,"Arion vulgaris Moquin-Tandon, 1855",SPECIES,Animalia
160879635,2469188,90586,"Podarcis muralis (Laurenti, 1768)",ACCEPTED,2469188,"Podarcis muralis (Laurenti, 1768)",SPECIES,Animalia
160879639,2426661,90580,"Pelophylax ridibundus (Pallas, 1771)",ACCEPTED,2426661,"Pelophylax ridibundus (Pallas, 1771)",SPECIES,Animalia
160879643,5218786,90590,"Procyon lotor (Linnaeus, 1758)",ACCEPTED,5218786,"Procyon lotor (Linnaeus, 1758)",SPECIES,Animalia
160879646,5219858,90574,"Ondatra zibethicus (Linnaeus, 1766)",ACCEPTED,5219858,"Ondatra zibethicus (Linnaeus, 1766)",SPECIES,Animalia
160879650,5204019,90573,"Oncorhynchus mykiss (Walbaum, 1792)",ACCEPTED,5204019,"Oncorhynchus mykiss (Walbaum, 1792)",SPECIES,Animalia
160879653,2366634,90522,"Carassius gibelio (Bloch, 1782)",ACCEPTED,2366634,"Carassius gibelio (Bloch, 1782)",SPECIES,Animalia
160879654,9209900,90521,Carassius auratus var. auratus,ACCEPTED,9209900,Carassius auratus var. auratus,VARIETY,Animalia
160879658,9752149,90582,"Phasianus colchicus Linnaeus, 1758",ACCEPTED,9752149,"Phasianus colchicus Linnaeus, 1758",SPECIES,Animalia
160879661,9310871,90528,Columba livia f. domestica,ACCEPTED,9310871,Columba livia f. domestica,FORM,Animalia
160879664,2498015,90610,"Tadorna ferruginea (Pallas, 1764)",ACCEPTED,2498015,"Tadorna ferruginea (Pallas, 1764)",SPECIES,Animalia
160879665,2498343,90532,"Cygnus olor (Gmelin, 1789)",ACCEPTED,2498343,"Cygnus olor (J.F.Gmelin, 1789)",SPECIES,Animalia
160879666,2498388,90503,"Aix galericulata (Linnaeus, 1758)",ACCEPTED,2498388,"Aix galericulata (Linnaeus, 1758)",SPECIES,Animalia
160879667,2498252,90504,"Alopochen aegyptiaca (Linnaeus, 1766)",ACCEPTED,2498252,"Alopochen aegyptiaca (Linnaeus, 1766)",SPECIES,Animalia
160879672,2188249,90613,"Varroa destructor Anderson & Trueman, 2000",ACCEPTED,2188249,"Varroa destructor Anderson & Trueman, 2000",SPECIES,Animalia
160879676,4485843,90549,"Halyomorpha halys (StÃ¥l, 1855)",ACCEPTED,4485843,"Halyomorpha halys (Stål, 1855)",SPECIES,Animalia
160879679,4989904,90550,"Harmonia axyridis (Pallas, 1773)",ACCEPTED,4989904,"Harmonia axyridis (Pallas, 1773)",SPECIES,Animalia
160879682,1749449,90519,"Cameraria ohridella Deschka & Dimic, 1986",ACCEPTED,1749449,"Cameraria ohridella Deschka & Dimić, 1986",SPECIES,Animalia
160879685,5073820,90535,"Drosophila suzukii (Matsumura, 1931)",ACCEPTED,5073820,"Drosophila suzukii (Matsumura, 1931)",SPECIES,Animalia
160879687,7346173,90501,Aedes japonicus japonicus,ACCEPTED,7346173,Aedes japonicus japonicus,SUBSPECIES,Animalia
