taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
163299511,LU,present,introduced,,,,
163299517,LU,present,introduced,,,,
163299519,LU,present,introduced,,,,
163299527,LU,present,introduced,,,,
163299531,LU,present,introduced,,,,
163299535,LU,present,introduced,invasive?,,,
163299536,LU,present,introduced,,,,
163299537,LU,present,introduced,,,,
163299542,LU,present,introduced,invasive,,,
163299544,LU,present,introduced,invasive,,,
163299545,LU,present,introduced,,,,
163299546,LU,present,introduced,,,,
163299553,LU,present,introduced,,,,
163299555,LU,present,introduced,,,,
163299558,LU,present,introduced,,,,
163299562,LU,present,introduced,,,,
163299563,LU,present,introduced,,,,
163299564,LU,present,introduced,invasive,,,
163299569,LU,present,introduced,,,,
163299570,LU,present,introduced,,,,
163299573,LU,present,introduced,,,,
163299579,LU,present,introduced,,,,
163299580,LU,present,introduced,,,,
163299581,LU,present,introduced,,,,
163299582,LU,present,introduced,,,,
163299587,LU,present,introduced,,,,
163299588,LU,present,introduced,invasive,,,
163299590,LU,present,introduced,,,,
163299593,LU,present,introduced,,,,
163299595,LU,present,introduced,,,,
163299596,LU,present,introduced,invasive?,,,
163299599,LU,present,introduced,,,,
163299602,LU,present,introduced,invasive,,,
163299604,LU,present,introduced,invasive,,,
163299605,LU,present,introduced,,,,
163299606,LU,present,introduced,,,,
163299607,LU,present,introduced,,,,
163299612,LU,present,introduced,invasive,,,
163299613,LU,present,introduced,,,,
163299619,LU,present,introduced,invasive?,,,
163299620,LU,present,introduced,,,,
163299622,LU,present,introduced,,,,
163299625,LU,present,introduced,,,,
163299632,LU,present,introduced,,,,
163299633,LU,present,introduced,invasive?,,,
163299636,LU,present,introduced,,,,
163299638,LU,present,introduced,invasive?,,,
163299640,LU,present,introduced,,,,
163299641,LU,present,introduced,,,,
163299642,LU,present,introduced,invasive,,,
163299644,LU,present,introduced,,,,
163299645,LU,present,introduced,,,,
163299646,LU,present,introduced,,,,
163299651,LU,present,introduced,,,,
163299652,LU,present,introduced,,,,
163299657,LU,present,introduced,,,,
163299658,LU,present,introduced,,,,
163299661,LU,present,introduced,,,,
163299663,LU,present,introduced,,,,
163299664,LU,present,introduced,,,,
163299665,LU,present,introduced,,,,
163299670,LU,present,introduced,,,,
163299671,LU,present,introduced,,,,
163299676,LU,present,introduced,,,,
163299677,LU,present,introduced,,,,
163299679,LU,present,introduced,,,,
163299680,LU,present,introduced,,,,
163299681,LU,present,introduced,invasive?,,,
163299684,LU,present,introduced,,,,
163299687,LU,present,introduced,,,,
163299689,LU,present,introduced,,,,
163299691,LU,present,introduced,,,,
163299692,LU,present,introduced,,,,
163299696,LU,present,introduced,,,,
163299697,LU,present,introduced,,,,
163299698,LU,present,introduced,,,,
163299700,LU,present,introduced,,,,
163299702,LU,present,introduced,invasive?,,,
163299703,LU,present,introduced,,,,
163299704,LU,present,introduced,,,,
163299706,LU,present,introduced,,,,
163299707,LU,present,introduced,,,,
163299712,LU,present,introduced,,,,
163299713,LU,present,introduced,,,,
163299714,LU,present,introduced,invasive?,,,
163299716,LU,present,introduced,,,,
163299717,LU,present,introduced,,,,
163299720,LU,present,introduced,,,,
163299721,LU,present,introduced,,,,
163299724,LU,present,introduced,,,,
163299725,LU,present,introduced,invasive,,,
163299728,LU,present,introduced,,,,
163299729,LU,present,introduced,,,,
163299732,LU,present,introduced,,,,
163299733,LU,present,introduced,,,,
163299734,LU,present,introduced,invasive?,,,
163299735,LU,present,introduced,,,,
163299737,LU,present,introduced,,,,
163299738,LU,present,introduced,,,,
163299739,LU,present,introduced,,,,
163299742,LU,present,introduced,,,,
163299743,LU,present,introduced,,,,
163299745,LU,present,introduced,,,,
163299746,LU,present,introduced,invasive?,,,
163299747,LU,present,introduced,,,,
163299749,LU,present,introduced,,,,
163299750,LU,present,introduced,,,,
163299753,LU,present,introduced,,,,
163299755,LU,present,introduced,,,,
163299757,LU,present,introduced,,,,
163299759,LU,present,introduced,,,,
