taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
162643471,MD,present,introduced,invasive,,,
162643478,MD,present,introduced,,,,
162643479,MD,present,introduced,invasive,,,
162643480,MD,present,introduced,invasive,,,
162643487,MD,present,introduced,,,,
162643488,MD,present,introduced,invasive,,,
162643489,MD,present,introduced,,,,
162643493,MD,present,introduced,,,,
162643494,MD,present,introduced,,,,
162643499,MD,present,introduced,,,,
162643501,MD,present,introduced,,,,
162643504,MD,present,introduced,,,,
162643507,MD,present,introduced,,,,
162643508,MD,present,introduced,,,,
162643509,MD,present,introduced,,,,
162643510,MD,present,introduced,,,,
162643511,MD,present,introduced,,,,
162643512,MD,present,introduced,,,,
162643513,MD,present,introduced,,,,
162643514,MD,present,introduced,,,,
162643515,MD,present,introduced,,,,
162643516,MD,present,introduced,,,,
162643517,MD,present,introduced,,,,
162643518,MD,present,introduced,,,,
162643519,MD,present,introduced,,,,
162643520,MD,present,introduced,,,,
162643521,MD,present,introduced,,,,
162643522,MD,present,introduced,,,,
162643523,MD,present,introduced,,,,
162643525,MD,present,introduced,,,,
162643527,MD,present,introduced,,,,
162643529,MD,present,introduced,,,,
162643530,MD,present,introduced,,,,
162643531,MD,present,introduced,,,,
162643532,MD,present,introduced,,,,
162643534,MD,present,introduced,,,,
162643536,MD,present,introduced,,,,
162643538,MD,present,introduced,,,,
162643541,MD,present,introduced,,,,
162643543,MD,present,introduced,,,,
162643548,MD,present,introduced,,,,
162643549,MD,present,introduced,,,,
162643550,MD,present,introduced,,,,
162643552,MD,present,introduced,,,,
162643555,MD,present,introduced,,,,
162643556,MD,present,introduced,,,,
162643559,MD,present,introduced,,,,
162643561,MD,present,introduced,,,,
162643562,MD,present,introduced,,,,
162643567,MD,present,introduced,,,,
162643568,MD,present,introduced,,,,
162643570,MD,present,introduced,,,,
162643574,MD,present,,,,,
162643575,MD,present,introduced,,,,
162643577,MD,present,,,,,
162643579,MD,present,introduced,,,,
162643580,MD,present,introduced,,,,
162643581,MD,present,,,,,
162643582,MD,present,introduced,,,,
162643584,MD,present,introduced,,,,
162643586,MD,present,introduced,,,,
