taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
162643471,5254231,158694,Ophiostoma novo-ulmi Brasier,ACCEPTED,5254231,Ophiostoma novo-ulmi Brasier,SPECIES,Fungi
162643478,5227788,158708,"Phasianus colchicus karpowi Buturlin, 1904",ACCEPTED,5227788,"Phasianus colchicus karpowi Buturlin, 1904",SUBSPECIES,Animalia
162643479,5285637,158714,Pinus sylvestris L.,ACCEPTED,5285637,Pinus sylvestris L.,SPECIES,Plantae
162643480,5284884,158713,Picea abies (L.) H.Karst.,ACCEPTED,5284884,Picea abies (L.) H.Karst.,SPECIES,Plantae
162643487,2865526,158762,Vallisneria spiralis L.,ACCEPTED,2865526,Vallisneria spiralis L.,SPECIES,Plantae
162643488,2390064,158705,"Perccottus glenii Dybowski, 1877",ACCEPTED,2390064,"Perccottus glenii Dybowski, 1877",SPECIES,Animalia
162643489,2865448,158606,Elodea canadensis Michx.,ACCEPTED,2865448,Elodea canadensis Michx.,SPECIES,Plantae
162643493,2764179,158577,Commelina communis L.,ACCEPTED,2764179,Commelina communis L.,SPECIES,Plantae
162643494,2394486,158657,"Lepomis gibbosus (Linnaeus, 1758)",ACCEPTED,2394486,"Lepomis gibbosus (Linnaeus, 1758)",SPECIES,Animalia
162643499,2702084,158649,Juncus tenuis Willd.,ACCEPTED,2702084,Juncus tenuis Willd.,SPECIES,Plantae
162643501,5202520,158645,"Ictalurus punctatus (Rafinesque, 1818)",ACCEPTED,5202520,"Ictalurus punctatus (Rafinesque, 1818)",SPECIES,Animalia
162643504,5673710,158737,Setaria pycnocoma (Steud.) Henrard ex Nakai,SYNONYM,5289684,Setaria viridis (L.) P.Beauv.,SPECIES,Plantae
162643507,2362868,158723,"Pseudorasbora parva (Temminck & Schlegel, 1846)",ACCEPTED,2362868,"Pseudorasbora parva (Temminck & Schlegel, 1846)",SPECIES,Animalia
162643508,5289728,158561,Cenchrus incertus M.A.Curtis,SYNONYM,5289726,Cenchrus spinifex Cav.,SPECIES,Plantae
162643509,5289698,158736,Setaria italica P.Beauv.,ACCEPTED,5289698,Setaria italica (L.) P.Beauv.,SPECIES,Plantae
162643510,2362110,158684,"Mylopharyngodon piceus (Richardson, 1846)",ACCEPTED,2362110,"Mylopharyngodon piceus (Richardson, 1846)",SPECIES,Animalia
162643511,5289686,158738,Setaria verticillata (L.) P.Beauv.,ACCEPTED,5289686,Setaria verticillata (L.) P.Beauv.,SPECIES,Plantae
162643512,2362473,158643,"Hypophthalmichthys molitrix (Valenciennes, 1844)",ACCEPTED,2362473,"Hypophthalmichthys molitrix (Valenciennes, 1844)",SPECIES,Animalia
162643513,2705185,158753,Sorghum halepense Pers.,ACCEPTED,2705185,Sorghum halepense (L.) Pers.,SPECIES,Plantae
162643514,2362486,158644,"Hypophthalmichthys nobilis (Richardson, 1845)",ACCEPTED,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)",SPECIES,Animalia
162643515,2705162,158700,Panicum capillare L.,ACCEPTED,2705162,Panicum capillare L.,SPECIES,Plantae
162643516,2705090,158701,Panicum miliaceum L.,ACCEPTED,2705090,Panicum miliaceum L.,SPECIES,Plantae
162643517,2362030,158586,"Ctenopharyngodon idella (Valenciennes, 1844)",ACCEPTED,2362030,"Ctenopharyngodon idella (Valenciennes, 1844)",SPECIES,Animalia
162643518,5289744,158707,Phalaris canariensis L.,ACCEPTED,5289744,Phalaris canariensis L.,SPECIES,Plantae
162643519,4286942,158556,"Carassius auratus (Linnaeus, 1758)",ACCEPTED,4286942,"Carassius auratus (Linnaeus, 1758)",SPECIES,Animalia
162643520,2706242,158665,Lolium temulentum L.,ACCEPTED,2706242,Lolium temulentum L.,SPECIES,Plantae
162643521,2366634,158557,"Carassius gibelio (Bloch, 1782)",ACCEPTED,2366634,"Carassius gibelio (Bloch, 1782)",SPECIES,Animalia
162643522,4129708,158664,Lolium multiflorum Lam.,ACCEPTED,4129708,Lolium multiflorum Lam.,SPECIES,Plantae
162643523,2706052,158639,Hordeum jubatum L.,ACCEPTED,2706052,Hordeum jubatum L.,SPECIES,Plantae
162643525,4129041,158611,Eriochloa succincta Kunth,ACCEPTED,4129041,Eriochloa succincta (Trin.) Kunth,SPECIES,Plantae
162643527,2702822,158603,Echinochloa frumentacea Link,ACCEPTED,2702822,Echinochloa frumentacea Link,SPECIES,Plantae
162643529,5289998,158592,Digitaria ciliaris (Retz.) Koeler,ACCEPTED,5289998,Digitaria ciliaris (Retz.) Koeler,SPECIES,Plantae
162643530,5289972,158593,Digitaria sanguinalis (L.) Scop.,ACCEPTED,5289972,Digitaria sanguinalis (L.) Scop.,SPECIES,Plantae
162643531,2436940,158696,"Oryctolagus cuniculus (Linnaeus, 1758)",ACCEPTED,2436940,"Oryctolagus cuniculus (Linnaeus, 1758)",SPECIES,Animalia
162643532,2705297,158532,Avena fatua L.,ACCEPTED,2705297,Avena fatua L.,SPECIES,Plantae
162643534,2705286,158533,Avena sterilis L.,ACCEPTED,2705286,Avena sterilis L.,SPECIES,Plantae
162643536,8429888,158534,Avena sterilis subsp. ludoviciana (Durieu) M.Gillet & Magne,SYNONYM,2705287,Avena sterilis subsp. ludoviciana (Durieu) Nyman,SUBSPECIES,Plantae
162643538,2439261,158727,"Rattus norvegicus (Berkenhout, 1769)",ACCEPTED,2439261,"Rattus norvegicus (Berkenhout, 1769)",SPECIES,Animalia
162643541,2873769,158501,Acorus calamus L.,ACCEPTED,2873769,Acorus calamus L.,SPECIES,Plantae
162643543,5219858,158693,"Ondatra zibethicus (Linnaeus, 1766)",ACCEPTED,5219858,"Ondatra zibethicus (Linnaeus, 1766)",SPECIES,Animalia
162643548,2705185,158752,Sorghum halepense Pers.,ACCEPTED,2705185,Sorghum halepense (L.) Pers.,SPECIES,Plantae
162643549,5290126,158758,Tragus racemosus (L.) All.,ACCEPTED,5290126,Tragus racemosus (L.) All.,SPECIES,Plantae
162643550,5220136,158590,"Dama dama (Linnaeus, 1758)",ACCEPTED,5220136,"Dama dama (Linnaeus, 1758)",SPECIES,Animalia
162643552,2440954,158565,"Cervus nippon Temminck, 1838",ACCEPTED,2440954,"Cervus nippon Temminck, 1838",SPECIES,Animalia
162643555,8427624,158697,Oxalis corniculata L.,ACCEPTED,8427624,Oxalis corniculata L.,SPECIES,Plantae
162643556,9823072,158698,Oxalis stricta L.,ACCEPTED,9823072,Oxalis stricta L.,SPECIES,Plantae
162643559,2434552,158688,"Nyctereutes procyonoides (Gray, 1834)",ACCEPTED,2434552,"Nyctereutes procyonoides (Gray, 1834)",SPECIES,Animalia
162643561,5219219,158552,"Canis aureus Linnaeus, 1758",ACCEPTED,5219219,"Canis aureus Linnaeus, 1758",SPECIES,Animalia
162643562,2986045,158709,Philadelphus coronarius L.,ACCEPTED,2986045,Philadelphus coronarius L.,SPECIES,Plantae
162643567,8994150,158692,Oenothera parviflora L.,ACCEPTED,8994150,Oenothera parviflora L.,SPECIES,Plantae
162643568,3188924,158690,Oenothera biennis L.,ACCEPTED,3188924,Oenothera biennis L.,SPECIES,Plantae
162643570,3188894,158691,Oenothera glazioviana Micheli,ACCEPTED,3188894,Oenothera glazioviana Micheli,SPECIES,Plantae
162643574,2220142,158703,"Paramysis lacustris (Czerniavsky,1882)",ACCEPTED,2220142,"Paramysis lacustris (Czerniavsky, 1882)",SPECIES,Animalia
162643575,5334242,158666,Lonicera tatarica L.,ACCEPTED,5334242,Lonicera tatarica L.,SPECIES,Plantae
162643577,2220347,158662,"Limnomysis benedeni Czerniavsky, 1882",ACCEPTED,2220347,"Limnomysis benedeni Czerniavsky, 1882",SPECIES,Animalia
162643579,2220312,158637,"Hemimysis anomala G.O.Sars, 1907",ACCEPTED,2220312,"Hemimysis anomala G.O.Sars, 1907",SPECIES,Animalia
162643580,5406741,158740,Sida spinosa L.,ACCEPTED,5406741,Sida spinosa L.,SPECIES,Plantae
162643581,2221273,158650,"Katamysis warpachowskyi G.O. Sars, 1893",ACCEPTED,2221273,"Katamysis warpachowskyi G.O.Sars, 1893",SPECIES,Animalia
