taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148790085,MK,present,introduced,,,,
148790089,MK,present,introduced,invasive,,,
148790094,MK,present,introduced,,,,
148790099,MK,present,introduced,,,,
148790102,MK,present,introduced,,,,
148790105,MK,present,introduced,,,,
148790110,MK,present,introduced,,,,
148790113,MK,present,introduced,,,,
148790115,MK,present,introduced,,,,
148790117,MK,present,introduced,,,,
148790118,MK,present,introduced,,,,
148790119,MK,present,introduced,,,,
148790122,MK,present,introduced,,,,
148790124,MK,present,introduced,,,,
148790128,MK,present,introduced,invasive,,,
148790131,MK,present,introduced,invasive,,,
148790132,MK,present,introduced,invasive,,,
148790138,MK,present,introduced,,,,
148790144,MK,present,introduced,,,,
148790150,MK,present,introduced,,,,
148790153,MK,present,introduced,invasive,,,
148790154,MK,present,introduced,invasive,,,
148790157,MK,present,introduced,,,,
148790159,MK,present,introduced,,,,
148790162,MK,present,introduced,,,,
148790164,MK,present,introduced,,,,
148790165,MK,present,introduced,,,,
148790166,MK,present,introduced,,,,
148790167,MK,present,introduced,,,,
148790168,MK,present,introduced,,,,
148790172,MK,present,introduced,invasive,,,
148790175,MK,present,introduced,,,,
148790176,MK,present,introduced,,,,
148790179,MK,present,introduced,,,,
148790182,MK,present,introduced,,,,
148790186,MK,present,introduced,,,,
148790189,MK,present,introduced,,,,
148790191,MK,present,introduced,,,,
148790194,MK,present,introduced,,,,
148790197,MK,present,introduced,,,,
148790200,MK,present,introduced,invasive,,,
148790201,MK,present,introduced,,,,
148790202,MK,present,introduced,,,,
148790205,MK,present,introduced,invasive,,,
148790207,MK,present,introduced,,,,
148790209,MK,present,introduced,invasive,,,
148790211,MK,present,introduced,,,,
148790213,MK,present,introduced,,,,
148790214,MK,present,introduced,,,,
148790215,MK,present,introduced,,,,
148790216,MK,present,introduced,,,,
148790217,MK,present,introduced,,,,
148790218,MK,present,introduced,,,,
148790219,MK,present,introduced,invasive,,,
148790222,MK,present,introduced,,,,
148790225,MK,present,introduced,,,,
148790227,MK,present,introduced,,,,
148790228,MK,present,introduced,,,,
148790229,MK,present,introduced,,,,
148790230,MK,present,introduced,,,,
148790233,MK,present,introduced,invasive,,,
148790235,MK,present,introduced,invasive,,,
148790236,MK,present,introduced,invasive,,,
