taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
219993027,NO,present,introduced,,transport - contaminant: other means of contamination,NA,
219993028,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2017,
219993029,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993030,NO,present,introduced,,transport - contaminant: contaminant nursery material,NA,
219993031,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),NA,
219993032,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",NA,
219993033,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2017,
219993034,NO,present,introduced,,corridors: interconnected waterways/basins/seas,NA,
219993039,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993041,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),NA,
219993045,NO,present,introduced,,transport - stowaway: other means of transport,NA,
219993048,NO,present,introduced,,transport - contaminant: other means of contamination,NA,
219993051,NO,present,introduced,invasive,transport - contaminant: parasites on animals (including organisms transported by host and vector),1971,
219993055,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993058,NO,present,introduced,,transport - stowaway: other means of transport,NA,
219993059,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993061,NO,present,introduced,,transport - stowaway: ship/boat ballast water,NA,
219993062,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",NA,
219993064,NO,present,introduced,,transport - contaminant: contaminant nursery material,NA,
219993069,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,1886,
219993070,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),NA,
219993072,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993073,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,1963,
219993074,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",1886,
219993076,NO,present,introduced,invasive,unaided: natural dispersal across borders of invasive alien organisms,2020,
219993078,NO,present,introduced,,corridors: interconnected waterways/basins/seas,NA,
219993079,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2009,
219993080,NO,present,introduced,,transport - stowaway: ship/boat hull fouling,NA,
219993081,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993082,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",1989,
219993083,NO,present,introduced,,transport - stowaway: ship/boat hull fouling,NA,
219993084,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",NA,
219993085,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993086,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),2009,
219993087,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",NA,
219993088,NO,present,introduced,,corridors: interconnected waterways/basins/seas,NA,
219993089,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2011,
219993090,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993091,NO,present,introduced,,transport - stowaway: ship/boat hull fouling,NA,
219993092,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",NA,
219993093,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),NA,
219993094,NO,present,introduced,,corridors: interconnected waterways/basins/seas,NA,
219993095,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,1994,
219993096,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),1995,
219993098,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",NA,
219993099,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),1989,
219993101,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993102,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2010,
219993103,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",1994,
219993105,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",NA,
219993106,NO,present,introduced,,transport - contaminant: parasites on animals (including organisms transported by host and vector),NA,
219993107,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2004,
219993108,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",NA,
219993109,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2012,
219993111,NO,present,introduced,,transport - contaminant: contaminant nursery material,2019,
219993112,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",1963,
219993113,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993115,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),NA,
219993117,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2014,
219993118,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,NA,
219993119,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2014,
219993120,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2014,
219993121,NO,present,introduced,,transport - contaminant: parasites on animals (including organisms transported by host and vector),NA,
219993123,NO,present,introduced,,transport - contaminant: parasites on animals (including organisms transported by host and vector),NA,
219993124,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2004,
219993127,NO,present,introduced,invasive,transport - stowaway: people and their luggage/equipment (in particular tourism),NA,
219993128,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2007,
219993130,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",NA,
219993131,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2007,
219993132,NO,present,introduced,invasive,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2005,
219993133,NO,present,introduced,,transport - stowaway: other means of transport,2010,
219993135,NO,present,introduced,,unaided: natural dispersal across borders of invasive alien organisms,2010,
219993136,NO,present,introduced,,transport - contaminant: parasites on plants (including species transported by host and vector),2004,
219993137,NO,present,introduced,,"transport - contaminant: transportation of habitat material (soil, vegetation, wood etc)",2010,
219993138,NO,present,introduced,invasive,transport - contaminant: parasites on plants (including species transported by host and vector),NA,
219993139,NO,present,introduced,,"transport - contaminant: contaminant on plants (except parasites, species transported by host/vector)",2010,
