taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160884527,2515758,86233,Uromyces silphii Arthur,ACCEPTED,2515758,Uromyces silphii (Syd. & P.Syd.) Arthur,SPECIES,Fungi
160884534,7277834,85935,Ranunculus friesianus Jordan,SYNONYM,8007875,Ranunculus acris subsp. friesianus (Jord.) Syme,SUBSPECIES,Plantae
160884537,4987919,86193,"Trichopsocus dalii (McLachlan, 1867)",ACCEPTED,4987919,"Trichopsocus dalii (McLachlan, 1867)",SPECIES,Animalia
160884542,9134964,86301,"Xylosandrus germanus Blandford, 1894",HOMOTYPIC_SYNONYM,5020078,"Xyleborus germanus Blandford, 1894",SPECIES,Animalia
160884547,8375159,86285,Virga pilosa (L.) Hill,SYNONYM,4102733,Dipsacus pilosus L.,SPECIES,Plantae
160884550,3048266,85155,Erysimum cheiranthoides L.,ACCEPTED,3048266,Erysimum cheiranthoides L.,SPECIES,Plantae
160884552,3221844,85154,"Erwinia stewartii (Smith, 1898) Dye, 1963",HOMOTYPIC_SYNONYM,3221841,"Pantoea stewartii (Smith, 1898) Mergaert et al., 1993",SPECIES,Bacteria
160884558,3027159,86104,Spiraea douglasii Hook.,ACCEPTED,3027159,Spiraea douglasii Hook.,SPECIES,Plantae
160884561,3228247,84914,"Chlamydophila psittaci (Lillie, 1930) Everett & al., 1999",ACCEPTED,3228247,"Chlamydophila psittaci (Lillie, 1930) Everett et al., 1999",SPECIES,Bacteria
160884568,5361803,85724,Parietaria officinalis L.,ACCEPTED,5361803,Parietaria officinalis L.,SPECIES,Plantae
160884569,3225367,84935,"Clavibacter michiganensis subsp. insidiosus (McCulloch, 1925) Davis & al., 1984",ACCEPTED,3225367,"Clavibacter michiganensis subsp. insidiosus (McCulloch, 1925) Davis et al., 1984",SUBSPECIES,Bacteria
160884571,7073658,84936,Clavibacter michiganensis subsp. michiganensis,ACCEPTED,7073658,Clavibacter michiganensis subsp. michiganensis,SUBSPECIES,Bacteria
