taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148733237,PT,present,introduced,,,,
148733238,PT,present,,,,,
148733239,PT,present,,,,,
148733240,PT,present,introduced,,,,
148733245,PT,present,introduced,,,,
148733247,PT,present,introduced,,,,
148733248,PT,present,introduced,,,,
148733250,PT,present,introduced,,,,
148733251,PT,present,introduced,,,,
148733252,PT,present,introduced,,,,
148733253,PT,present,introduced,,,,
148733255,PT,present,introduced,,,,
148733256,PT,present,introduced,,,,
148733263,PT,present,introduced,,,,
148733264,PT,present,,,,,
148733269,PT,present,introduced,,,,
148733270,PT,present,introduced,,,,
148733274,PT,present,introduced,,,,
148733277,PT,present,introduced,,,,
148733279,PT,present,introduced,,,,
148733282,PT,present,introduced,,,,
148733283,PT,present,introduced,,,,
148733284,PT,present,introduced,,,,
148733285,PT,present,,,,,
148733286,PT,present,introduced,,,,
148733287,PT,present,introduced,,,,
148733289,PT,present,introduced,,,,
148733291,PT,present,introduced,,,,
148733294,PT,present,introduced,,,,
148733295,PT,present,introduced,,,,
148733296,PT,present,introduced,,,,
148733297,PT,present,introduced,,,,
148733299,PT,present,introduced,,,,
148733301,PT,present,introduced,,,,
148733306,PT,present,introduced,,,,
148733307,PT,present,introduced,,,,
148733312,PT,present,introduced,,,,
148733313,PT,present,introduced,,,,
148733314,PT,present,introduced,,,,
148733316,PT,present,introduced,,,,
148733318,PT,present,introduced,,,,
148733319,PT,present,introduced,,,,
148733320,PT,present,introduced,,,,
148733321,PT,present,introduced,,,,
148733323,PT,present,introduced,,,,
148733325,PT,present,introduced,,,,
148733326,PT,present,introduced,,,,
148733327,PT,present,introduced,,,,
148733328,PT,present,introduced,,,,
148733329,PT,present,introduced,,,,
148733330,PT,present,introduced,,,,
148733332,PT,present,introduced,,,,
148733333,PT,present,introduced,,,,
148733336,PT,present,introduced,,,,
148733337,PT,present,introduced,,,,
148733338,PT,present,introduced,,,,
148733340,PT,present,introduced,,,,
148733341,PT,present,introduced,,,,
148733342,PT,present,introduced,,,,
148733343,PT,present,introduced,,,,
148733345,PT,present,introduced,,,,
148733347,PT,present,introduced,,,,
148733348,PT,present,introduced,,,,
148733349,PT,present,introduced,,,,
148733350,PT,present,introduced,,,,
148733352,PT,present,introduced,,,,
148733353,PT,present,introduced,,,,
148733354,PT,present,introduced,,,,
148733355,PT,present,introduced,,,,
148733357,PT,present,introduced,,,,
148733359,PT,present,introduced,,,,
148733361,PT,present,introduced,,,,
148733363,PT,present,introduced,,,,
148733364,PT,present,introduced,,,,
148733365,PT,present,introduced,,,,
148733366,PT,present,introduced,,,,
148733367,PT,present,introduced,,,,
148733368,PT,present,introduced,,,,
148733370,PT,present,introduced,,,,
148733372,PT,present,introduced,,,,
148733374,PT,present,introduced,,,,
