taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
148733237,3199116,38584,Sphaerotrichia divaricata (C.Agardh) Kylin,ACCEPTED,3199116,Sphaerotrichia divaricata (C.Agardh) Kylin,SPECIES,Chromista
148733238,5186405,38533,"Phoronis psammophila Cori, 1889",ACCEPTED,5186405,"Phoronis psammophila Cori, 1889",SPECIES,Animalia
148733239,2269650,38534,"Phoronopsis harmeri Pixell, 1912",ACCEPTED,2269650,"Phoronopsis harmeri Pixell, 1912",SPECIES,Animalia
148733240,3199116,38583,Sphaerotrichia divaricata (C.Agardh) Kylin,ACCEPTED,3199116,Sphaerotrichia divaricata (C.Agardh) Kylin,SPECIES,Chromista
148733245,3197869,38526,Petalonia binghamiae,ACCEPTED,3197869,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,SPECIES,Chromista
148733247,3197869,38527,Petalonia binghamiae,ACCEPTED,3197869,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,SPECIES,Chromista
148733248,3197869,38528,Petalonia binghamiae,ACCEPTED,3197869,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,SPECIES,Chromista
148733250,3197869,38530,Petalonia binghamiae,ACCEPTED,3197869,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,SPECIES,Chromista
148733251,3197869,38529,Petalonia binghamiae,ACCEPTED,3197869,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,SPECIES,Chromista
148733252,3197869,38531,Petalonia binghamiae,ACCEPTED,3197869,Petalonia binghamiae (J.Agardh) K.L.Vinogr.,SPECIES,Chromista
148733253,9574566,38617,Venerupis decussata,PROPARTE_SYNONYM,4372687,"Ruditapes decussatus (Linnaeus, 1758)",SPECIES,Animalia
148733255,9574566,38618,Venerupis decussata,PROPARTE_SYNONYM,4372687,"Ruditapes decussatus (Linnaeus, 1758)",SPECIES,Animalia
148733256,4372687,38566,"Ruditapes decussatus (Linnaeus, 1758)",ACCEPTED,4372687,"Ruditapes decussatus (Linnaeus, 1758)",SPECIES,Animalia
148733263,2286685,38539,"Pisidium casertanum (Poli, 1791)",HOMOTYPIC_SYNONYM,7664805,"Euglesa casertana (Poli, 1791)",SPECIES,Animalia
148733264,,38395,Cladophoropsis membranacea (Bang ex C.Agardh) BÃ¸rgesen,,,Cladophoropsis membranacea (Bang ex C.Agardh) BÃ¸rgesen,,
148733269,2643288,38453,Halimeda incrassata (J.Ellis) J.V.Lamour.,ACCEPTED,2643288,Halimeda incrassata (J.Ellis) J.V.Lamour.,SPECIES,Plantae
148733270,,38538,"Pinctada imbricata RÃ¶ding, 1798",,,"Pinctada imbricata RÃ¶ding, 1798",,
148733274,2286060,38511,"Ostrea edulis Linnaeus, 1758",ACCEPTED,2286060,"Ostrea edulis Linnaeus, 1758",SPECIES,Animalia
148733277,8288896,38502,"Mytilus edulis Linnaeus, 1758",ACCEPTED,8288896,"Mytilus edulis Linnaeus, 1758",SPECIES,Animalia
148733279,5272099,38408,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,SYNONYM,7230558,Codium fragile subsp. fragile,SUBSPECIES,Plantae
148733282,5272099,38407,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,SYNONYM,7230558,Codium fragile subsp. fragile,SUBSPECIES,Plantae
148733283,5272106,38403,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,ACCEPTED,5272106,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,SUBSPECIES,Plantae
148733284,5272106,38404,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,ACCEPTED,5272106,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,SUBSPECIES,Plantae
148733285,5189537,38466,"Hiatella arctica (Linnaeus, 1767)",ACCEPTED,5189537,"Hiatella arctica (Linnaeus, 1767)",SPECIES,Animalia
148733286,5272106,38405,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,ACCEPTED,5272106,Codium fragile subsp. atlanticum (Cotton) P.C.Silva,SUBSPECIES,Plantae
148733287,7230558,38406,Codium fragile subsp. fragile,ACCEPTED,7230558,Codium fragile subsp. fragile,SUBSPECIES,Plantae
148733289,5272160,38409,"Codium vermilara (Olivis) Chiaje, 1829",ACCEPTED,5272160,"Codium vermilara (Olivi) Delle Chiaje, 1829",SPECIES,Plantae
148733291,5272160,38410,"Codium vermilara (Olivis) Chiaje, 1829",ACCEPTED,5272160,"Codium vermilara (Olivi) Delle Chiaje, 1829",SPECIES,Plantae
148733294,2643011,38388,Caulerpa prolifera (Forssk.) J.V.Lamour.,ACCEPTED,2643011,Caulerpa prolifera (Forssk.) J.V.Lamour.,SPECIES,Plantae
148733295,5192721,38611,"Truncatella subcylindrica (Linnaeus, 1767)",ACCEPTED,5192721,"Truncatella subcylindrica (Linnaeus, 1767)",SPECIES,Animalia
