taxonKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
148735366,39017,Selaginella kraussiana (Kunze) A.Braun,ACCEPTED,2688189,Selaginella kraussiana (Kunze) A.Braun,SPECIES,Plantae
148735367,38935,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",ACCEPTED,2237923,"Paraleucilla magna Klautau, Monteiro & Borojevic, 2004",SPECIES,Animalia
148735374,38964,Pinus halepensis Mill.,ACCEPTED,5285604,Pinus halepensis Mill.,SPECIES,Plantae
148735375,38903,"Mycale senegalensis LÃ©vi, 1952",,,"Mycale senegalensis LÃ©vi, 1952",,
148735377,38965,Pinus pinaster Aiton,ACCEPTED,5285565,Pinus pinaster Aiton,SPECIES,Plantae
148735381,38753,Cupressus macrocarpa Hartw. ex Gordon,ACCEPTED,2684070,Cupressus macrocarpa Hartw. ex Gordon,SPECIES,Plantae
148735382,38989,"Radix balthica (Linnaeus, 1758)",HETEROTYPIC_SYNONYM,9991201,"Ampullaceana balthica (Linnaeus, 1758)",SPECIES,Animalia
148735387,38962,"Physella acuta (Draparnaud, 1805)",ACCEPTED,5189806,"Physella acuta (Draparnaud, 1805)",SPECIES,Animalia
148735390,38958,Phoenix canariensis H.Wildpret,ACCEPTED,7445284,Phoenix canariensis H.Wildpret,SPECIES,Plantae
148735391,38969,"Planorbarius corneus (Linnaeus, 1758)",ACCEPTED,2290946,"Planorbarius corneus (Linnaeus, 1758)",SPECIES,Animalia
148735393,38970,"Planorbella duryi (Wetherby, 1879)",ACCEPTED,5189745,"Planorbella duryi (Wetherby, 1879)",SPECIES,Animalia
148735395,38824,"Gyraulus parvus (Say, 1817)",ACCEPTED,2290996,"Gyraulus parvus (Say, 1817)",SPECIES,Animalia
148735396,38830,Heteranthera rotundifolia Griseb.,ACCEPTED,2766169,Heteranthera rotundifolia (Kunth) Griseb.,SPECIES,Plantae
148735397,38829,Heteranthera reniformis Ruiz & Pav.,ACCEPTED,2766151,Heteranthera reniformis Ruiz & Pav.,SPECIES,Plantae
148735398,38780,Eichhornia crassipes Solms,HOMOTYPIC_SYNONYM,2765942,Pontederia crassipes Mart.,SPECIES,Plantae
148735402,39052,Tinantia erecta (Jacq.) Fenzl,ACCEPTED,5303524,Tinantia erecta (Jacq.) Fenzl,SPECIES,Plantae
148735403,39054,Tradescantia fluminensis Vell.,ACCEPTED,2765156,Tradescantia fluminensis Vell.,SPECIES,Plantae
148735406,39055,Tradescantia pallida (Rose) D.R.Hunt,ACCEPTED,2765221,Tradescantia pallida (Rose) D.R.Hunt,SPECIES,Plantae
148735407,38704,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970",DOUBTFUL,5777790,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970",SPECIES,Animalia
148735409,39056,Tradescantia virginiana L.,ACCEPTED,2765272,Tradescantia virginiana L.,SPECIES,Plantae
148735413,38700,"Branchiomma bairdi (McIntosh, 1885)",ACCEPTED,5854272,"Branchiomma bairdi (McIntosh, 1885)",SPECIES,Animalia
148735417,39057,Tradescantia zebrina Bosse,ACCEPTED,2765359,Tradescantia zebrina Bosse,SPECIES,Plantae
148735419,39047,"Tarentola mauritanica (Linnaeus, 1758)",ACCEPTED,2445034,"Tarentola mauritanica (Linnaeus, 1758)",SPECIES,Animalia
148735420,38736,Commelina benghalensis L.,ACCEPTED,2763941,Commelina benghalensis L.,SPECIES,Plantae
148735421,38737,Commelina diffusa Burm.f.,ACCEPTED,2764202,Commelina diffusa Burm.f.,SPECIES,Plantae
148735428,38826,Hedychium gardnerianum Ker Gawl.,ACCEPTED,2758700,Hedychium gardnerianum Sheph. ex Ker Gawl.,SPECIES,Plantae
148735429,38990,Radix labiata,HETEROTYPIC_SYNONYM,10075852,"Peregriana labiata (Rossmässler, 1835)",SPECIES,Animalia
148735431,38949,"Pelophylax perezi (LÃ³pez-Seoane, 1885)",ACCEPTED,2426658,"Pelophylax perezi (López-Seoane, 1885)",SPECIES,Animalia
148735432,38714,Canna indica L.,ACCEPTED,8034409,Canna indica L.,SPECIES,Plantae
148735437,39006,"Salmo trutta Linnaeus, 1758",ACCEPTED,8215487,"Salmo trutta Linnaeus, 1758",SPECIES,Animalia
148735439,38919,"Oncorhynchus mykiss (Walbaum, 1792)",ACCEPTED,5204019,"Oncorhynchus mykiss (Walbaum, 1792)",SPECIES,Animalia
148735440,39086,Zantedeschia aethiopica Spreng.,ACCEPTED,2868827,Zantedeschia aethiopica (L.) Spreng.,SPECIES,Plantae
148735442,39039,Spirodela punctata (G.Mey.) C.H.Thomps.,ACCEPTED,2871376,Spirodela punctata (G.Mey.) C.H.Thomps.,SPECIES,Plantae
148735444,38966,Pistia stratiotes L.,ACCEPTED,2870583,Pistia stratiotes L.,SPECIES,Plantae
148735446,38859,Lemna minor L.,ACCEPTED,2867589,Lemna minor L.,SPECIES,Plantae
148735447,38773,"Distaplia corolla Monniot F., 1974",ACCEPTED,2331276,"Distaplia corolla Monniot F., 1974",SPECIES,Animalia
148735448,38735,Colocasia esculenta (L.) Schott,ACCEPTED,5330776,Colocasia esculenta (L.) Schott,SPECIES,Plantae
148735451,38733,"Clavelina lepadiformis (MÃ¼ller, 1776)",ACCEPTED,2330198,"Clavelina lepadiformis (Müller, 1776)",SPECIES,Animalia
148735452,38779,Egeria densa Planch.,SYNONYM,5329263,Elodea densa (Planch.) Casp.,SPECIES,Plantae
148735454,38694,Blyxa japonica Maxim. ex Asch. & GÃ¼rke,ACCEPTED,2865980,Blyxa japonica (Miq.) Maxim. ex Asch. & Gürke,SPECIES,Plantae
148735457,38896,"Microcosmus squamiger Michaelsen, 1927",ACCEPTED,5200696,"Microcosmus squamiger Michaelsen, 1927",SPECIES,Animalia
148735459,38687,Baldellia ranunculoides Parl.,ACCEPTED,2864546,Baldellia ranunculoides (L.) Parl.,SPECIES,Plantae
148735460,39042,"Styela canopus (Savigny, 1816)",ACCEPTED,2331936,"Styela canopus (Savigny, 1816)",SPECIES,Animalia
148735462,38697,"Botryllus schlosseri (Pallas, 1766)",ACCEPTED,5200757,"Botryllus schlosseri (Pallas, 1766)",SPECIES,Animalia
148735466,38923,"Oryctolagus cuniculus (Linnaeus, 1758)",ACCEPTED,2436940,"Oryctolagus cuniculus (Linnaeus, 1758)",SPECIES,Animalia
148735467,38924,"Oryctolagus cuniculus algirus (Loche, 1858)",ACCEPTED,6164851,"Oryctolagus cuniculus algirus (Loche, 1858)",SUBSPECIES,Animalia
148735471,38994,"Rattus norvegicus (Berkenhout, 1769)",ACCEPTED,2439261,"Rattus norvegicus (Berkenhout, 1769)",SPECIES,Animalia
148735472,38995,"Rattus rattus (Linnaeus, 1758)",ACCEPTED,2439270,"Rattus rattus (Linnaeus, 1758)",SPECIES,Animalia
148735473,38654,Alstroemeria pulchella,HETEROTYPIC_SYNONYM,2753724,Alstroemeria pelegrina L.,SPECIES,Plantae
148735474,38901,"Mus musculus Linnaeus, 1758",ACCEPTED,7429082,"Mus musculus Linnaeus, 1758",SPECIES,Animalia
148735477,38902,"Mustela putorius Linnaeus, 1758",ACCEPTED,5218911,"Mustela putorius Linnaeus, 1758",SPECIES,Animalia
148735481,38798,"Felis silvestris catus Linnaeus, 1758",SYNONYM,2435035,"Felis catus Linnaeus, 1758",SPECIES,Animalia
148735483,38851,Kyllinga brevifolia,HETEROTYPIC_SYNONYM,2718767,Cyperus brevifolius (Rottb.) Hassk.,SPECIES,Plantae
148735484,38756,Cyperus difformis L.,ACCEPTED,2714796,Cyperus difformis L.,SPECIES,Plantae
148735487,39043,"Sus scrofa Linnaeus, 1758",ACCEPTED,7705930,"Sus scrofa Linnaeus, 1758",SPECIES,Animalia
148735489,38715,"Capra hircus Linnaeus, 1758",ACCEPTED,2441056,"Capra hircus Linnaeus, 1758",SPECIES,Animalia
148735490,38757,Cyperus eragrostis Lam.,ACCEPTED,2715482,Cyperus eragrostis Lam.,SPECIES,Plantae
148735491,38696,"Bos taurus Linnaeus, 1758",ACCEPTED,2441022,"Bos taurus Linnaeus, 1758",SPECIES,Animalia
148735492,38758,Cyperus involucratus,HETEROTYPIC_SYNONYM,2714158,Cyperus alternifolius subsp. flabelliformis Kük.,SUBSPECIES,Plantae
148735499,39081,"Watersipora subtorquata (d'Orbigny, 1852)",ACCEPTED,1005677,"Watersipora subtorquata (d'Orbigny, 1852)",SPECIES,Animalia
148735501,39014,"Schizoporella pungens Canu & Bassler, 1928",ACCEPTED,1010071,"Schizoporella pungens Canu & Bassler, 1928",SPECIES,Animalia
148735503,38937,"Parasmittina protecta (Thornely, 1905)",ACCEPTED,1006752,"Parasmittina protecta (Thornely, 1905)",SPECIES,Animalia
148735505,38951,Pennisetum purpureum Schumach.,SYNONYM,5828220,Cenchrus purpureus (Schumach.) Morrone,SPECIES,Plantae
148735506,38745,"Cradoscrupocellaria bertholletii (Audouin, 1826)",ACCEPTED,7844959,"Cradoscrupocellaria bertholletii (Audouin, 1826)",SPECIES,Animalia
148735509,38950,Pennisetum clandestinum Hochst. ex Chiov.,SYNONYM,5828201,Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,SPECIES,Plantae
148735510,39078,"Virididentula dentata (Lamouroux, 1816)",ACCEPTED,7856206,"Virididentula dentata (Lamouroux, 1816)",SPECIES,Animalia
148735511,38703,"Bugulina stolonifera (Ryland, 1960)",ACCEPTED,8428595,"Bugulina stolonifera (Ryland, 1960)",SPECIES,Animalia
148735512,38647,Agrostis pourretii Willd.,ACCEPTED,4118280,Agrostis pourretii Willd.,SPECIES,Plantae
148735515,38664,"Amathia verticillata (Delle Chiaje, 1822)",ACCEPTED,7446481,"Amathia verticillata (delle Chiaje, 1822)",SPECIES,Animalia
148735517,38678,Arundo donax L.,ACCEPTED,2703041,Arundo donax L.,SPECIES,Plantae
148735519,38701,Bromus catharticus Vahl,ACCEPTED,2703723,Bromus catharticus Vahl,SPECIES,Plantae
148735522,38698,Brachiaria mutica Stapf,SYNONYM,2705848,Urochloa mutica (Forssk.) T.Q.Nguyen,SPECIES,Plantae
148735523,38649,"Aiptasia diaphana (Rapp, 1829)",SYNONYM,10638056,"Exaiptasia diaphana (Rapp, 1829)",SPECIES,Animalia
148735525,38727,Chloris virgata Sw.,ACCEPTED,5289624,Chloris virgata Sw.,SPECIES,Plantae
