taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160883570,RO,present,introduced,,,,
160883576,RO,present,introduced,,,,
160883579,RO,present,introduced,,,,
160883583,RO,present,introduced,invasive,,,
160883588,RO,present,introduced,invasive,,,
160883593,RO,present,introduced,,,,
160883595,RO,present,introduced,,,,
160883596,RO,present,introduced,,,,
160883597,RO,present,introduced,invasive,,,
160883598,RO,present,introduced,,,,
160883603,RO,present,introduced,,,,
160883611,RO,present,introduced,,,,
160883612,RO,present,introduced,,,,
160883614,RO,present,introduced,,,,
160883616,RO,present,introduced,,,,
160883617,RO,present,introduced,,,,
160883620,RO,present,introduced,invasive,,,
160883623,RO,present,introduced,,,,
160883624,RO,present,introduced,invasive,,,
160883626,RO,present,introduced,,,,
160883628,RO,present,introduced,,,,
160883629,RO,present,introduced,invasive,,,
160883636,RO,present,introduced,,,,
160883639,RO,present,introduced,invasive,,,
160883644,RO,present,introduced,,,,
160883647,RO,present,introduced,invasive,,,
160883648,RO,present,introduced,,,,
160883655,RO,present,introduced,,,,
160883656,RO,present,introduced,,,,
160883660,RO,present,introduced,,,,
160883663,RO,present,introduced,,,,
160883665,RO,present,introduced,,,,
160883666,RO,present,introduced,invasive,,,
160883669,RO,present,introduced,,,,
160883670,RO,present,introduced,,,,
160883674,RO,present,introduced,,,,
160883675,RO,present,introduced,invasive,,,
160883676,RO,present,introduced,,,,
160883680,RO,present,introduced,invasive,,,
160883681,RO,present,introduced,,,,
160883682,RO,present,introduced,,,,
160883684,RO,present,introduced,,,,
160883685,RO,present,introduced,,,,
160883691,RO,present,introduced,,,,
160883692,RO,present,introduced,invasive,,,
160883693,RO,present,introduced,,,,
160883695,RO,present,introduced,,,,
160883697,RO,present,introduced,,,,
160883698,RO,present,introduced,invasive,,,
160883701,RO,present,introduced,invasive,,,
160883702,RO,present,introduced,,,,
160883705,RO,present,introduced,,,,
160883706,RO,present,introduced,,,,
160883708,RO,present,introduced,,,,
160883710,RO,present,introduced,invasive,,,
160883711,RO,present,introduced,invasive,,,
160883716,RO,present,introduced,,,,
160883717,RO,present,introduced,,,,
160883719,RO,present,introduced,,,,
160883721,RO,present,introduced,,,,
160883723,RO,present,introduced,,,,
160883724,RO,present,introduced,invasive,,,
160883729,RO,present,introduced,,,,
160883730,RO,present,introduced,invasive,,,
160883731,RO,present,introduced,invasive,,,
160883735,RO,present,introduced,,,,
160883737,RO,present,introduced,,,,
160883739,RO,present,introduced,,,,
160883740,RO,present,introduced,,,,
160883741,RO,present,introduced,,,,
160883746,RO,present,introduced,,,,
160883747,RO,present,introduced,invasive,,,
160883750,RO,present,introduced,,,,
160883751,RO,present,introduced,,,,
160883754,RO,present,introduced,,,,
160883758,RO,present,introduced,,,,
160883759,RO,present,introduced,,,,
160883762,RO,present,introduced,invasive,,,
160883763,RO,present,introduced,,,,
160883765,RO,present,introduced,,,,
160883767,RO,present,introduced,,,,
160883768,RO,present,introduced,,,,
160883769,RO,present,introduced,,,,
160883771,RO,present,introduced,,,,
160883772,RO,present,introduced,invasive,,,
160883773,RO,present,introduced,,,,
160883775,RO,present,introduced,,,,
160883777,RO,present,introduced,,,,
160883778,RO,present,introduced,invasive,,,
160883780,RO,present,introduced,,,,
160883782,RO,present,introduced,,,,
160883783,RO,present,,invasive,,,
160883784,RO,present,introduced,,,,
160883785,RO,present,introduced,,,,
160883787,RO,present,introduced,,,,
160883789,RO,present,introduced,,,,
160883791,RO,present,introduced,,,,
160883792,RO,present,introduced,,,,
160883793,RO,present,introduced,,,,
160883795,RO,present,introduced,,,,
160883797,RO,present,introduced,,,,
160883798,RO,present,introduced,,,,
160883799,RO,doubtful,introduced,,,,
160883800,RO,present,introduced,,,,
160883802,RO,present,introduced,,,,
160883804,RO,present,introduced,,,,
160883805,RO,present,introduced,invasive,,,
160883806,RO,present,introduced,,,,
160883808,RO,present,introduced,,,,
160883809,RO,present,introduced,,,,
160883810,RO,present,introduced,invasive,,,
160883811,RO,present,introduced,,,,
160883813,RO,present,introduced,,,,
160883815,RO,present,introduced,,,,
160883816,RO,present,introduced,,,,
160883818,RO,present,introduced,,,,
160883821,RO,present,introduced,,,,
160883825,RO,present,introduced,invasive,,,
160883827,RO,present,introduced,,,,
160883828,RO,present,introduced,,,,
160883829,RO,doubtful,introduced,,,,
160883830,RO,present,introduced,invasive,,,
160883831,RO,doubtful,introduced,,,,
160883832,RO,present,introduced,,,,
160883833,RO,doubtful,introduced,,,,
160883834,RO,present,introduced,invasive,,,
160883836,RO,present,introduced,,,,
160883840,RO,doubtful,introduced,,,,
160883841,RO,present,introduced,,,,
160883842,RO,doubtful,introduced,,,,
160883844,RO,doubtful,introduced,,,,
160883847,RO,present,introduced,,,,
160883850,RO,present,introduced,,,,
160883852,RO,present,introduced,invasive,,,
160883853,RO,present,introduced,invasive,,,
160883854,RO,present,introduced,,,,
160883855,RO,doubtful,introduced,,,,
160883856,RO,present,introduced,invasive,,,
160883857,RO,doubtful,introduced,,,,
160883859,RO,doubtful,introduced,,,,
160883861,RO,present,introduced,invasive,,,
160883862,RO,present,introduced,,,,
160883863,RO,present,introduced,invasive,,,
160883865,RO,present,introduced,invasive,,,
160883866,RO,present,introduced,,,,
160883867,RO,present,introduced,invasive,,,
160883868,RO,present,introduced,,,,
160883869,RO,present,introduced,invasive,,,
160883874,RO,present,introduced,,,,
160883875,RO,present,introduced,,,,
160883876,RO,present,introduced,,,,
160883880,RO,present,introduced,,,,
160883881,RO,present,introduced,,,,
160883882,RO,present,introduced,invasive,,,
160883883,RO,present,introduced,,,,
160883884,RO,present,introduced,invasive,,,
160883885,RO,present,introduced,,,,
160883887,RO,present,introduced,,,,
160883891,RO,present,introduced,invasive,,,
160883894,RO,present,introduced,,,,
160883897,RO,present,introduced,,,,
160883899,RO,present,introduced,,,,
160883900,RO,present,introduced,,,,
160883901,RO,present,introduced,,,,
160883904,RO,present,introduced,,,,
160883907,RO,present,introduced,,,,
160883910,RO,present,introduced,,,,
160883911,RO,present,introduced,,,,
160883915,RO,present,introduced,,,,
160883916,RO,present,introduced,invasive,,,
160883917,RO,present,introduced,,,,
160883919,RO,present,introduced,,,,
160883921,RO,present,introduced,,,,
160883922,RO,present,introduced,,,,
160883923,RO,present,introduced,,,,
160883924,RO,present,introduced,invasive,,,
160883925,RO,present,introduced,,,,
160883927,RO,present,introduced,,,,
160883928,RO,present,introduced,invasive,,,
160883929,RO,present,introduced,,,,
160883931,RO,present,introduced,,,,
160883932,RO,present,introduced,invasive,,,
160883936,RO,present,introduced,,,,
160883939,RO,present,introduced,,,,
160883940,RO,present,introduced,,,,
160883941,RO,present,introduced,invasive,,,
160883942,RO,present,introduced,invasive,,,
160883943,RO,present,introduced,invasive,,,
160883945,RO,present,introduced,,,,
160883946,RO,present,introduced,,,,
160883952,RO,present,introduced,,,,
160883953,RO,present,introduced,,,,
160883956,RO,present,introduced,,,,
160883957,RO,present,introduced,,,,
160883958,RO,present,introduced,,,,
160883959,RO,present,introduced,invasive,,,
160883961,RO,present,introduced,,,,
160883964,RO,present,introduced,,,,
160883966,RO,present,introduced,,,,
160883968,RO,present,introduced,invasive,,,
160883969,RO,present,introduced,invasive,,,
160883972,RO,present,introduced,,,,
160883973,RO,present,introduced,,,,
160883978,RO,present,introduced,,,,
160883979,RO,present,introduced,invasive,,,
160883980,RO,present,introduced,,,,
160883982,RO,present,introduced,,,,
160883983,RO,present,introduced,,,,
160883984,RO,present,introduced,,,,
160883987,RO,present,introduced,,,,
160883988,RO,present,introduced,,,,
160883989,RO,present,introduced,,,,
