taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160911170,RS,present,introduced,,,,
160911171,RS,present,introduced,,,,
160911175,RS,present,introduced,,,,
160911177,RS,present,introduced,,,,
160911180,RS,present,introduced,,,,
160911188,RS,present,introduced,,,,
160911189,RS,present,introduced,,,,
160911194,RS,present,introduced,,,,
160911195,RS,present,introduced,,,,
160911201,RS,present,introduced,,,,
160911206,RS,present,introduced,invasive,,,
160911211,RS,present,introduced,,,,
160911212,RS,present,introduced,invasive,,,
160911213,RS,present,introduced,invasive,,,
160911220,RS,present,introduced,,,,
160911221,RS,present,introduced,,,,
160911226,RS,present,introduced,invasive,,,
160911229,RS,present,introduced,,,,
160911231,RS,present,introduced,,,,
160911233,RS,present,introduced,,,,
160911234,RS,present,introduced,,,,
160911238,RS,present,introduced,,,,
160911239,RS,present,introduced,,,,
160911242,RS,present,introduced,,,,
160911245,RS,present,introduced,,,,
160911250,RS,present,introduced,,,,
160911251,RS,present,introduced,,,,
160911254,RS,present,introduced,,,,
160911259,RS,present,introduced,,,,
160911260,RS,present,introduced,,,,
160911263,RS,present,introduced,invasive,,,
160911264,RS,present,introduced,,,,
160911268,RS,present,introduced,,,,
160911269,RS,present,introduced,,,,
160911271,RS,present,introduced,,,,
160911273,RS,present,introduced,,,,
160911274,RS,present,introduced,,,,
160911275,RS,present,introduced,,,,
160911277,RS,present,introduced,,,,
160911278,RS,present,introduced,,,,
160911279,RS,present,introduced,,,,
160911281,RS,present,introduced,,,,
160911282,RS,present,introduced,,,,
160911283,RS,present,introduced,,,,
160911284,RS,present,introduced,,,,
160911285,RS,present,introduced,,,,
160911286,RS,present,introduced,,,,
160911287,RS,present,introduced,,,,
160911288,RS,present,introduced,,,,
160911290,RS,present,introduced,,,,
160911292,RS,present,introduced,,,,
160911294,RS,present,introduced,,,,
160911295,RS,present,introduced,,,,
160911296,RS,present,introduced,,,,
160911300,RS,present,introduced,,,,
160911305,RS,present,introduced,,,,
160911306,RS,present,introduced,,,,
160911307,RS,present,introduced,,,,
