taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
196384662,2566393,155283,Cryphonectria parasitica (Murrill) M.E.Barr,ACCEPTED,2566393,Cryphonectria parasitica (Murrill) M.E.Barr,SPECIES,Fungi
196384663,2362473,155449,"Hypophthalmichthys molitrix (Valenciennes, 1844)",ACCEPTED,2362473,"Hypophthalmichthys molitrix (Valenciennes, 1844)",SPECIES,Animalia
196384666,2360842,155752,"Rhodeus amarus (Bloch, 1782)",ACCEPTED,2360842,"Rhodeus amarus (Bloch, 1782)",SPECIES,Animalia
196384668,2362868,155736,"Pseudorasbora parva (Temminck & Schlegel, 1846)",ACCEPTED,2362868,"Pseudorasbora parva (Temminck & Schlegel, 1846)",SPECIES,Animalia
196384669,2621905,155323,"Dothistroma septosporum (Dorogin) M.Morelet, 1968",ACCEPTED,2621905,Dothistroma septosporum (Dorogin) M.Morelet,SPECIES,Fungi
196384670,,155298,"Cyprinus rubrofuscus LacÃ©pÃ¨de, 1803",,,"Cyprinus rubrofuscus LacÃ©pÃ¨de, 1803",,
196384671,2362030,155284,"Ctenopharyngodon idella (Valenciennes, 1844)",ACCEPTED,2362030,"Ctenopharyngodon idella (Valenciennes, 1844)",SPECIES,Animalia
196384672,2362486,155450,"Hypophthalmichthys nobilis (Richardson, 1845)",ACCEPTED,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)",SPECIES,Animalia
196384674,4286942,155179,"Carassius auratus (Linnaeus, 1758)",ACCEPTED,4286942,"Carassius auratus (Linnaeus, 1758)",SPECIES,Animalia
196384679,2372396,155633,"Oreochromis mossambicus (Peters, 1852)",ACCEPTED,2372396,"Oreochromis mossambicus (Peters, 1852)",SPECIES,Animalia
196384683,2390064,155673,"Perccottus glenii Dybowski, 1877",ACCEPTED,2390064,"Perccottus glenii Dybowski, 1877",SPECIES,Animalia
196384685,5285750,155696,Pinus contorta Douglas ex Loudon,ACCEPTED,5285750,Pinus contorta Douglas ex Loudon,SPECIES,Plantae
196384686,5788062,155124,"Babka gymnotrachelus (Kessler, 1857)",ACCEPTED,5788062,"Babka gymnotrachelus (Kessler, 1857)",SPECIES,Animalia
196384687,2379111,155595,"Neogobius gymnotrachelus (Kessler, 1857)",HOMOTYPIC_SYNONYM,5788062,"Babka gymnotrachelus (Kessler, 1857)",SPECIES,Animalia
196384689,2379105,155594,"Neogobius fluviatilis (Pallas, 1814)",ACCEPTED,2379105,"Neogobius fluviatilis (Pallas, 1814)",SPECIES,Animalia
196384690,7592320,155695,Picea orientalis (L.) Link,SYNONYM,5284794,Picea orientalis (L.) Peterm.,SPECIES,Plantae
196384691,2379110,155083,"Apollonia fluviatilis (Pallas, 1814)",SYNONYM,2379105,"Neogobius fluviatilis (Pallas, 1814)",SPECIES,Animalia
196384692,2685414,155000,Abies firma Siebold & Zucc.,ACCEPTED,2685414,Abies firma Siebold & Zucc.,SPECIES,Plantae
196384693,2379089,155597,"Neogobius melanostomus (Pallas, 1814)",ACCEPTED,2379089,"Neogobius melanostomus (Pallas, 1814)",SPECIES,Animalia
196384694,5284982,155699,Pinus strobus L.,ACCEPTED,5284982,Pinus strobus L.,SPECIES,Plantae
196384695,5853082,155084,"Apollonia melanostoma (Pallas, 1814)",SYNONYM,2379089,"Neogobius melanostomus (Pallas, 1814)",SPECIES,Animalia
196384696,5285074,155700,Pinus wallichiana A.B.Jacks.,ACCEPTED,5285074,Pinus wallichiana A.B.Jacks.,SPECIES,Plantae
196384697,4285968,155713,"Ponticola kessleri (GÃ¼nther, 1861)",ACCEPTED,4285968,"Ponticola kessleri (Günther, 1861)",SPECIES,Animalia
196384698,5285079,155698,Pinus peuce Griseb.,ACCEPTED,5285079,Pinus peuce Griseb.,SPECIES,Plantae
196384699,2379245,155721,"Proterorhinus semilunaris (Heckel, 1837)",ACCEPTED,2379245,"Proterorhinus semilunaris (Heckel, 1837)",SPECIES,Animalia
196384700,2685552,155002,Abies nordmanniana Spach,ACCEPTED,2685552,Abies nordmanniana (Steven) Spach,SPECIES,Plantae
196384701,5284809,155697,Pinus nigra J.F.Arnold,ACCEPTED,5284809,Pinus nigra J.F.Arnold,SPECIES,Plantae
196384703,2685361,155001,Abies grandis Lindl.,ACCEPTED,2685361,Abies grandis (Douglas ex D.Don) Lindl.,SPECIES,Plantae
196384704,2379062,155596,"Neogobius kessleri (GÃ¼nther, 1861)",SYNONYM,4285968,"Ponticola kessleri (Günther, 1861)",SPECIES,Animalia
196384705,2685796,155737,Pseudotsuga menziesii (Mirb.) Franco,ACCEPTED,2685796,Pseudotsuga menziesii (Mirb.) Franco,SPECIES,Plantae
196384708,2394563,155576,"Micropterus salmoides (LacepÃ¨de, 1802)",ACCEPTED,2394563,"Micropterus salmoides (Lacepède, 1802)",SPECIES,Animalia
196384709,2394486,155507,"Lepomis gibbosus (Linnaeus, 1758)",ACCEPTED,2394486,"Lepomis gibbosus (Linnaeus, 1758)",SPECIES,Animalia
196384712,2683900,155207,Chamaecyparis nootkatensis (D.Don) Spach,SYNONYM,2683894,Xanthocyparis nootkatensis (D.Don) Farjon & Harder,SPECIES,Plantae
196384714,5284231,155575,Metasequoia glyptostroboides Hu & Cheng,ACCEPTED,5284231,Metasequoia glyptostroboides H.H.Hu & W.C.Cheng,SPECIES,Plantae
196384715,4286327,155399,"Gasterosteus aculeatus Linnaeus, 1758",ACCEPTED,4286327,"Gasterosteus aculeatus Linnaeus, 1758",SPECIES,Animalia
196384716,2684855,155708,Platycladus orientalis (L.) Franco,ACCEPTED,2684855,Platycladus orientalis (L.) Franco,SPECIES,Plantae
196384718,2683866,155206,Chamaecyparis lawsoniana Parl.,ACCEPTED,2683866,Chamaecyparis lawsoniana (A.Murray bis) Parl.,SPECIES,Plantae
196384721,5212833,155712,"Polyodon spathula (Walbaum, 1792)",ACCEPTED,5212833,"Polyodon spathula (Walbaum, 1792)",SPECIES,Animalia
196384725,4287131,155007,"Acipenser baerii Brandt, 1869",ACCEPTED,4287131,"Acipenser baerii Brandt, 1869",SPECIES,Animalia
196384726,3173338,155155,Buddleja davidii Franch.,ACCEPTED,3173338,Buddleja davidii Franch.,SPECIES,Plantae
196384730,2925529,155910,Verbena officinalis L.,ACCEPTED,2925529,Verbena officinalis L.,SPECIES,Plantae
196384731,2340989,155058,"Ameiurus nebulosus (Lesueur, 1819)",ACCEPTED,2340989,"Ameiurus nebulosus (Lesueur, 1819)",SPECIES,Animalia
196384733,2340977,155057,"Ameiurus melas (Rafinesque, 1820)",ACCEPTED,2340977,"Ameiurus melas (Rafinesque, 1820)",SPECIES,Animalia
196384734,3172291,155512,Ligustrum ovalifolium Hassk.,ACCEPTED,3172291,Ligustrum ovalifolium Hassk.,SPECIES,Plantae
