taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160882215,2264796,87975,"Muggiaea atlantica Cunningham, 1892",ACCEPTED,2264796,"Muggiaea atlantica Cunningham, 1892",SPECIES,Animalia
160882218,,87660,Ceratoperidinium margalefii A.R.Loeblich III,,,Ceratoperidinium margalefii A.R.Loeblich III,,
160882225,2327735,87831,"Ficopomatus enigmaticus (Fauvel, 1923)",ACCEPTED,2327735,"Ficopomatus enigmaticus (Fauvel, 1923)",SPECIES,Animalia
160882228,3277417,88101,Phytophthora plurivora T.Jung & T.I.Burgess,ACCEPTED,3277417,Phytophthora plurivora T.Jung & T.I.Burgess,SPECIES,Chromista
160882230,3277396,88102,Phytophthora pseudosyringae T.Jung & Delatour,ACCEPTED,3277396,Phytophthora pseudosyringae T.Jung & Delatour,SPECIES,Chromista
160882232,3277396,88103,Phytophthora pseudosyringae T.Jung & Delatour,ACCEPTED,3277396,Phytophthora pseudosyringae T.Jung & Delatour,SPECIES,Chromista
160882234,3203610,88104,"Phytophthora ramorum Werres, De Cock & Man",ACCEPTED,3203610,"Phytophthora ramorum Werres, De Cock & Man",SPECIES,Chromista
160882235,2501248,87969,"Mnemiopsis leidyi A.Agassiz, 1865",ACCEPTED,2501248,"Mnemiopsis leidyi A.Agassiz, 1865",SPECIES,Animalia
160882236,3203716,88097,Phytophthora infestans (Mont.) de Bary,ACCEPTED,3203716,Phytophthora infestans (Mont.) de Bary,SPECIES,Chromista
160882238,3203716,88098,Phytophthora infestans (Mont.) de Bary,ACCEPTED,3203716,Phytophthora infestans (Mont.) de Bary,SPECIES,Chromista
160882240,3203617,88099,"Phytophthora kernoviae Brasier, Beales & S.A.Kirk",ACCEPTED,3203617,"Phytophthora kernoviae Brasier, Beales & S.A.Kirk",SPECIES,Chromista
160882242,3203617,88100,"Phytophthora kernoviae Brasier, Beales & S.A.Kirk",ACCEPTED,3203617,"Phytophthora kernoviae Brasier, Beales & S.A.Kirk",SPECIES,Chromista
160882243,5233152,87600,"Beroe ovata BruguiÃ¨re, 1789",ACCEPTED,5233152,"Beroe ovata Bruguière, 1789",SPECIES,Animalia
160882244,3203610,88105,"Phytophthora ramorum Werres, De Cock & Man",ACCEPTED,3203610,"Phytophthora ramorum Werres, De Cock & Man",SPECIES,Chromista
160882245,3277404,88086,"Phytophthora alni Brasier & S.A.Kirk, 2004",ACCEPTED,3277404,Phytophthora alni Brasier & S.A.Kirk,SPECIES,Chromista
160882247,3277404,88085,"Phytophthora alni Brasier & S.A.Kirk, 2004",ACCEPTED,3277404,Phytophthora alni Brasier & S.A.Kirk,SPECIES,Chromista
160882250,3203674,88088,Phytophthora cactorum (Lebert & Cohn) J.Schröt.,ACCEPTED,3203674,Phytophthora cactorum (Lebert & Cohn) J.Schröt.,SPECIES,Chromista
160882252,3203674,88087,Phytophthora cactorum (Lebert & Cohn) J.SchrÃ¶t.,ACCEPTED,3203674,Phytophthora cactorum (Lebert & Cohn) J.Schröt.,SPECIES,Chromista
160882253,3203618,88094,Phytophthora gonapodyides (H.E.Petersen) Buisman,ACCEPTED,3203618,Phytophthora gonapodyides (H.E.Petersen) Buisman,SPECIES,Chromista
160882254,4363583,88175,"Rapana venosa (Valenciennes, 1846)",ACCEPTED,4363583,"Rapana venosa (Valenciennes, 1846)",SPECIES,Animalia
