taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160949785,2501248,126018,"Mnemiopsis leidyi A.Agassiz, 1865",ACCEPTED,2501248,"Mnemiopsis leidyi A.Agassiz, 1865",SPECIES,Animalia
160949788,8030069,125784,Didymosphenia geminata (Lyngb.) M.Schmidt,ACCEPTED,8030069,"Didymosphenia geminatum (Lyngbye) M.Schmidt, 1899",SPECIES,Chromista
160949794,2264597,126216,"Rhopilema nomadica Galil, 1990",ACCEPTED,2264597,"Rhopilema nomadica Galil, Spanier & Ferguson, 1990",SPECIES,Animalia
160949797,5422556,126361,Undaria pinnatifida (Harv.) Suringar,ACCEPTED,5422556,Undaria pinnatifida (Harv.) Suringar,SPECIES,Chromista
160949802,5184825,126054,"Oculina patagonica de Angelis, 1908",ACCEPTED,5184825,"Oculina patagonica de Angelis D'Ossat, 1908",SPECIES,Animalia
160949803,3200580,126314,"Stypopodium schimperi (Kützing) M.Verlaque & Boudouresque, 1991",ACCEPTED,3200580,Stypopodium schimperi (Kützing) Verlaque & Boudouresque,SPECIES,Chromista
160949809,3197314,126245,Sargassum muticum (Yendo) Fensholt,ACCEPTED,3197314,Sargassum muticum (Yendo) Fensholt,SPECIES,Chromista
160949810,12382748,126276,"Sertularia marginata (Kirchenpauer, 1864)",SYNONYM,4282894,"Tridentata marginata (Kirchenpauer, 1864)",SPECIES,Animalia
160949815,,126102,"Papenfussiella kuromo (Yendo) Inagaki, 1958",,,"Papenfussiella kuromo (Yendo) Inagaki, 1958",,
160949816,2266009,125736,"Cordylophora caspia (Pallas, 1771)",ACCEPTED,2266009,"Cordylophora caspia (Pallas, 1771)",SPECIES,Animalia
160949817,3198882,125739,Corynophlaea cystophorae J.Agardh,ACCEPTED,3198882,Corynophlaea cystophorae J.Agardh,SPECIES,Chromista
160949823,5422829,126259,Scytosiphon dotyi Wynne,ACCEPTED,5422829,"Scytosiphon dotyi M.J.Wynne, 1969",SPECIES,Chromista
160949825,3197970,125723,Colpomenia peregrina Sauv.,ACCEPTED,3197970,Colpomenia peregrina Sauv.,SPECIES,Chromista
160949826,5777790,125649,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970",DOUBTFUL,5777790,"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970",SPECIES,Animalia
160949827,3197958,125724,Colpomenia sinuosa (Mert. ex Roth) DerbÃ¨s & Solier,ACCEPTED,3197958,Colpomenia sinuosa (Mert. ex Roth) Derbès & Solier,SPECIES,Chromista
160949837,2321419,126104,"Paraprionospio coora Wilson, 1990",ACCEPTED,2321419,"Paraprionospio coora Wilson, 1990",SPECIES,Animalia
160949838,7230558,125719,Codium fragile subsp. fragile,ACCEPTED,7230558,Codium fragile subsp. fragile,SUBSPECIES,Plantae
160949840,5272096,125718,Codium fragile (Suringar) Hariot,ACCEPTED,5272096,Codium fragile (Suringar) Har.,SPECIES,Plantae
160949842,5272099,125720,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,SYNONYM,7230558,Codium fragile subsp. fragile,SUBSPECIES,Plantae
160949844,2327735,125848,"Ficopomatus enigmaticus (Fauvel, 1923)",ACCEPTED,2327735,"Ficopomatus enigmaticus (Fauvel, 1923)",SPECIES,Animalia
160949845,2643131,125682,"Caulerpa cylindracea Sonder, 1845",ACCEPTED,2643131,"Caulerpa cylindracea Sonder, 1845",SPECIES,Plantae
160949847,2643128,125684,"Caulerpa racemosa var. cylindracea (Sonder) Verlaque, Huisman & Boudouresque, 2003",SYNONYM,2643131,"Caulerpa cylindracea Sonder, 1845",SPECIES,Plantae
