taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196155702,SE,present,introduced,,,,
196155703,SE,present,introduced,invasive,,,
196155704,SE,present,introduced,,,,
196155706,SE,present,introduced,,,,
196155713,SE,present,introduced,,,,
196155715,SE,present,introduced,invasive,,,
196155718,SE,present,introduced,,,,
196155720,SE,present,introduced,invasive,,,
196155722,SE,present,introduced,,,,
196155724,SE,present,introduced,,,,
196155725,SE,present,introduced,invasive,,,
196155726,SE,present,introduced,,,,
196155731,SE,present,introduced,,,,
196155732,SE,present,introduced,invasive,,,
196155733,SE,present,introduced,,,,
196155737,SE,present,introduced,invasive,,,
196155742,SE,present,introduced,invasive,,,
196155743,SE,present,introduced,,,,
196155745,SE,present,introduced,,,,
196155747,SE,present,introduced,,,,
196155748,SE,present,introduced,invasive,,,
196155750,SE,present,introduced,invasive,,,
196155751,SE,present,introduced,invasive,,,
196155752,SE,present,introduced,invasive,,,
196155754,SE,present,introduced,,,,
196155757,SE,present,introduced,,,,
196155758,SE,present,introduced,,,,
196155764,SE,present,introduced,invasive,,,
196155765,SE,present,introduced,,,,
196155769,SE,present,introduced,,,,
196155773,SE,present,introduced,,,,
196155774,SE,present,introduced,,,,
196155780,SE,present,introduced,,,,
196155781,SE,present,introduced,invasive,,,
196155787,SE,present,introduced,invasive,,,
196155790,SE,present,introduced,,,,
196155797,SE,present,introduced,,,,
196155799,SE,present,introduced,,,,
196155800,SE,present,introduced,invasive,,,
196155805,SE,present,introduced,,,,
196155806,SE,present,introduced,,,,
196155807,SE,present,introduced,invasive,,,
196155810,SE,present,introduced,,,,
196155811,SE,present,introduced,,,,
196155812,SE,present,introduced,,,,
196155814,SE,present,introduced,invasive,,,
196155815,SE,present,introduced,,,,
196155816,SE,present,introduced,invasive,,,
196155819,SE,present,introduced,,,,
196155820,SE,present,introduced,,,,
196155821,SE,present,introduced,,,,
196155823,SE,present,introduced,,,,
196155825,SE,present,introduced,,,,
196155826,SE,present,introduced,invasive,,,
196155827,SE,present,introduced,invasive,,,
196155829,SE,present,introduced,,,,
196155831,SE,present,introduced,,,,
196155832,SE,present,introduced,invasive,,,
196155833,SE,present,introduced,,,,
196155835,SE,present,introduced,invasive,,,
196155837,SE,present,introduced,,,,
196155840,SE,present,introduced,,,,
196155842,SE,present,introduced,,,,
196155843,SE,present,introduced,invasive,,,
196155848,SE,present,introduced,,,,
196155851,SE,present,introduced,,,,
196155855,SE,present,introduced,invasive,,,
196155856,SE,present,introduced,,,,
196155861,SE,present,introduced,,,,
196155862,SE,present,introduced,,,,
196155864,SE,present,introduced,,,,
196155866,SE,present,introduced,invasive,,,
196155868,SE,present,introduced,invasive,,,
196155869,SE,present,introduced,,,,
196155870,SE,present,introduced,,,,
196155874,SE,present,introduced,,,,
196155875,SE,present,introduced,,,,
196155877,SE,present,introduced,,,,
196155879,SE,present,introduced,,,,
196155884,SE,present,introduced,invasive,,,
196155887,SE,present,introduced,invasive,,,
196155889,SE,present,introduced,invasive,,,
196155892,SE,present,introduced,,,,
196155894,SE,present,introduced,invasive,,,
196155897,SE,present,introduced,,,,
