taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
196155702,2402105,185657,"Huso huso (Linnaeus, 1758)",ACCEPTED,2402105,"Huso huso (Linnaeus, 1758)",SPECIES,Animalia
196155703,3222886,184555,"Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin & al., 1953",ACCEPTED,3222886,"Aeromonas salmonicida (Lehmann & Neumann, 1896) Griffin et al., 1953",SPECIES,Bacteria
196155704,2402168,184528,"Acipenser ruthenus Linnaeus, 1758",ACCEPTED,2402168,"Acipenser ruthenus Linnaeus, 1758",SPECIES,Animalia
196155706,2402129,184527,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831",ACCEPTED,2402129,"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833",SPECIES,Animalia
196155713,2340989,184639,"Ameiurus nebulosus (Lesueur, 1819)",ACCEPTED,2340989,"Ameiurus nebulosus (Lesueur, 1819)",SPECIES,Animalia
196155715,4382171,185889,"Marteilia refringens Grizel, Comps, Bonami, Cousserans, Duthoit & Le Pennec, 1974",ACCEPTED,4382171,"Marteilia refringens Grizel, Comps, Bonami, Cousserans, Duthoit & Le Pennec, 1974",SPECIES,Chromista
196155718,2362030,185160,"Ctenopharyngodon idella (Valenciennes, 1844)",ACCEPTED,2362030,"Ctenopharyngodon idella (Valenciennes, 1844)",SPECIES,Animalia
196155720,4286975,185188,"Cyprinus carpio Linnaeus, 1758",ACCEPTED,4286975,"Cyprinus carpio Linnaeus, 1758",SPECIES,Animalia
196155722,2362486,185672,"Hypophthalmichthys nobilis (Richardson, 1845)",ACCEPTED,2362486,"Hypophthalmichthys nobilis (Richardson, 1845)",SPECIES,Animalia
196155724,2362473,185671,"Hypophthalmichthys molitrix (Valenciennes, 1844)",ACCEPTED,2362473,"Hypophthalmichthys molitrix (Valenciennes, 1844)",SPECIES,Animalia
196155725,3203610,186175,"Phytophthora ramorum Werres, De Cock & Man",ACCEPTED,3203610,"Phytophthora ramorum Werres, De Cock & Man",SPECIES,Chromista
196155726,4286942,184913,"Carassius auratus (Linnaeus, 1758)",ACCEPTED,4286942,"Carassius auratus (Linnaeus, 1758)",SPECIES,Animalia
196155731,,185933,"Micropterus dolomieu LacÃ©pÃ¨de, 1802",,,"Micropterus dolomieu LacÃ©pÃ¨de, 1802",,
196155732,3202936,184696,Aphanomyces astaci Schikora,ACCEPTED,3202936,Aphanomyces astaci Schikora,SPECIES,Chromista
196155733,2394563,185934,"Micropterus salmoides (LacepÃ¨de, 1802)",ACCEPTED,2394563,"Micropterus salmoides (Lacepède, 1802)",SPECIES,Animalia
196155737,2379089,185988,"Neogobius melanostomus (Pallas, 1814)",ACCEPTED,2379089,"Neogobius melanostomus (Pallas, 1814)",SPECIES,Animalia
196155742,3197970,185065,Colpomenia peregrina Sauv.,ACCEPTED,3197970,Colpomenia peregrina Sauv.,SPECIES,Chromista
196155743,5204039,186031,"Oncorhynchus nerka (Walbaum, 1792)",ACCEPTED,5204039,"Oncorhynchus nerka (Walbaum, 1792)",SPECIES,Animalia
196155745,5204034,186029,"Oncorhynchus kisutch (Walbaum, 1792)",ACCEPTED,5204034,"Oncorhynchus kisutch (Walbaum, 1792)",SPECIES,Animalia
196155747,3196387,185391,Fucus evanescens C.Agardh,ACCEPTED,3196387,Fucus evanescens C.Agardh,SPECIES,Chromista
196155748,2351327,186472,"Salvelinus namaycush (Walbaum, 1792)",ACCEPTED,2351327,"Salvelinus namaycush (Walbaum, 1792)",SPECIES,Animalia
196155750,5204019,186030,"Oncorhynchus mykiss (Walbaum, 1792)",ACCEPTED,5204019,"Oncorhynchus mykiss (Walbaum, 1792)",SPECIES,Animalia
196155751,3197314,186489,Sargassum muticum (Yendo) Fensholt,ACCEPTED,3197314,Sargassum muticum (Yendo) Fensholt,SPECIES,Chromista
196155752,2351271,186471,"Salvelinus fontinalis (Mitchill, 1814)",ACCEPTED,2351271,"Salvelinus fontinalis (Mitchill, 1814)",SPECIES,Animalia
