taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160911620,CH,present,introduced,,,,
160911624,CH,present,introduced,invasive,,,
160911627,CH,present,introduced,,,,
160911633,CH,present,introduced,,,,
160911637,CH,present,introduced,invasive,,,
160911644,CH,present,introduced,,,,
160911648,CH,present,introduced,,,,
160911649,CH,present,introduced,,,,
160911651,CH,present,introduced,,,,
160911657,CH,present,introduced,invasive,,,
160911658,CH,present,introduced,,,,
160911665,CH,present,introduced,,,,
160911667,CH,present,introduced,,,,
160911668,CH,present,introduced,,,,
160911672,CH,present,introduced,,,,
160911675,CH,present,introduced,,,,
160911679,CH,present,introduced,,,,
160911682,CH,present,introduced,invasive,,,
160911686,CH,present,introduced,,,,
160911687,CH,present,introduced,,,,
160911689,CH,present,introduced,,,,
160911692,CH,present,introduced,,,,
160911695,CH,present,introduced,,,,
160911698,CH,present,introduced,,,,
160911699,CH,present,introduced,,,,
160911701,CH,present,introduced,,,,
160911702,CH,present,introduced,,,,
160911704,CH,present,introduced,,,,
160911706,CH,present,introduced,,,,
160911709,CH,present,introduced,,,,
160911710,CH,present,introduced,,,,
160911713,CH,present,introduced,,,,
160911714,CH,present,introduced,,,,
160911715,CH,present,introduced,,,,
160911717,CH,present,introduced,,,,
160911718,CH,present,introduced,,,,
160911719,CH,present,introduced,,,,
160911720,CH,present,introduced,,,,
160911721,CH,present,introduced,invasive,,,
160911723,CH,present,introduced,,,,
160911724,CH,present,introduced,,,,
160911727,CH,present,introduced,invasive,,,
160911728,CH,present,introduced,,,,
160911729,CH,present,introduced,,,,
160911731,CH,present,introduced,,,,
160911732,CH,present,introduced,invasive,,,
160911737,CH,present,introduced,,,,
160911741,CH,present,introduced,invasive,,,
160911742,CH,present,,invasive,,,
160911743,CH,present,introduced,,,,
160911745,CH,present,introduced,,,,
160911747,CH,present,introduced,,,,
160911748,CH,present,introduced,invasive,,,
160911749,CH,present,introduced,,,,
160911750,CH,present,introduced,,,,
160911751,CH,present,introduced,,,,
160911756,CH,present,introduced,,,,
160911757,CH,present,introduced,,,,
160911758,CH,present,introduced,,,,
160911760,CH,present,introduced,,,,
160911762,CH,present,introduced,,,,
160911763,CH,present,introduced,,,,
160911765,CH,present,introduced,,,,
160911766,CH,present,introduced,,,,
160911768,CH,present,introduced,,,,
160911770,CH,present,introduced,,,,
160911772,CH,present,introduced,,,,
160911773,CH,present,introduced,,,,
160911778,CH,present,introduced,,,,
160911779,CH,present,introduced,,,,
160911782,CH,present,introduced,,,,
160911783,CH,present,introduced,,,,
160911786,CH,present,introduced,,,,
160911788,CH,present,introduced,,,,
160911789,CH,present,introduced,,,,
160911791,CH,present,introduced,,,,
160911792,CH,present,introduced,,,,
160911795,CH,present,introduced,,,,
160911796,CH,present,introduced,,,,
160911797,CH,present,introduced,,,,
160911799,CH,present,introduced,,,,
160911800,CH,present,introduced,,,,
160911801,CH,present,introduced,,,,
160911804,CH,present,introduced,,,,
160911805,CH,present,introduced,,,,
160911806,CH,present,introduced,,,,
160911808,CH,present,introduced,,,,
160911809,CH,present,introduced,,,,
160911810,CH,present,introduced,,,,
160911812,CH,present,introduced,,,,
160911814,CH,present,introduced,invasive,,,
160911816,CH,present,introduced,,,,
160911817,CH,present,introduced,,,,
160911818,CH,present,introduced,invasive,,,
160911819,CH,present,introduced,,,,
160911820,CH,present,introduced,,,,
160911821,CH,present,introduced,,,,
160911822,CH,present,introduced,,,,
160911824,CH,present,introduced,,,,
160911826,CH,present,introduced,,,,
160911827,CH,present,introduced,,,,
160911828,CH,present,introduced,,,,
160911830,CH,present,introduced,,,,
160911831,CH,present,introduced,,,,
160911832,CH,present,introduced,,,,
160911833,CH,present,introduced,,,,
160911834,CH,present,introduced,,,,
160911836,CH,present,introduced,,,,
160911838,CH,present,introduced,,,,
160911839,CH,present,introduced,,,,
160911840,CH,present,introduced,,,,
160911841,CH,present,introduced,invasive,,,
160911842,CH,present,introduced,,,,
160911843,CH,present,introduced,,,,
160911844,CH,present,introduced,,,,
160911845,CH,present,introduced,,,,
160911846,CH,present,introduced,,,,
160911847,CH,present,introduced,,,,
160911848,CH,present,introduced,,,,
160911849,CH,present,introduced,,,,
160911850,CH,present,introduced,,,,
160911851,CH,present,introduced,,,,
160911852,CH,present,introduced,,,,
160911857,CH,present,introduced,invasive,,,
160911858,CH,present,introduced,,,,
160911859,CH,present,introduced,invasive,,,
160911866,CH,present,introduced,,,,
160911867,CH,present,introduced,,,,
160911872,CH,present,introduced,,,,
160911873,CH,present,introduced,,,,
160911878,CH,present,introduced,,,,
160911879,CH,present,introduced,,,,
160911881,CH,present,introduced,,,,
160911883,CH,present,introduced,,,,
160911884,CH,present,introduced,,,,
160911885,CH,present,introduced,,,,
160911886,CH,present,introduced,,,,
160911887,CH,present,introduced,,,,
160911888,CH,present,introduced,invasive,,,
160911889,CH,present,introduced,,,,
160911896,CH,present,introduced,,,,
160911897,CH,present,introduced,,,,
160911902,CH,present,introduced,,,,
160911903,CH,present,introduced,,,,
160911906,CH,present,introduced,invasive,,,
160911908,CH,present,introduced,,,,
160911910,CH,present,introduced,,,,
160911911,CH,present,introduced,,,,
160911913,CH,present,introduced,invasive,,,
160911915,CH,present,introduced,invasive,,,
160911918,CH,present,introduced,,,,
160911921,CH,present,introduced,,,,
160911924,CH,present,introduced,,,,
160911925,CH,present,introduced,,,,
160911926,CH,present,introduced,,,,
160911927,CH,present,introduced,,,,
160911931,CH,present,introduced,,,,
160911932,CH,present,introduced,,,,
160911936,CH,present,introduced,,,,
160911937,CH,present,introduced,,,,
160911939,CH,present,introduced,invasive,,,
160911941,CH,present,introduced,invasive,,,
160911943,CH,present,introduced,invasive,,,
160911944,CH,present,introduced,,,,
160911945,CH,present,introduced,,,,
160911946,CH,present,introduced,invasive,,,
160911948,CH,present,introduced,,,,
160911949,CH,present,introduced,,,,
160911950,CH,present,introduced,,,,
160911951,CH,present,introduced,,,,
160911952,CH,present,introduced,,,,
160911954,CH,present,introduced,,,,
160911956,CH,present,introduced,,,,
160911957,CH,present,introduced,invasive,,,
160911963,CH,present,introduced,invasive,,,
160911964,CH,present,introduced,invasive,,,
160911965,CH,present,introduced,,,,
160911969,CH,present,introduced,,,,
160911970,CH,present,introduced,,,,
160911973,CH,present,introduced,,,,
160911975,CH,present,introduced,,,,
160911976,CH,present,introduced,invasive,,,
160911977,CH,present,introduced,,,,
160911978,CH,present,introduced,,,,
160911980,CH,present,introduced,,,,
160911982,CH,present,introduced,,,,
160911985,CH,present,introduced,,,,
160911988,CH,present,introduced,,,,
160911991,CH,present,introduced,,,,
160911992,CH,present,introduced,invasive,,,
160911997,CH,present,introduced,,,,
160911999,CH,present,introduced,,,,
160912000,CH,present,introduced,,,,
160912003,CH,present,introduced,,,,
160912005,CH,present,introduced,,,,
160912006,CH,present,introduced,,,,
160912007,CH,present,introduced,,,,
160912010,CH,present,introduced,,,,
160912012,CH,present,introduced,,,,
160912013,CH,present,introduced,,,,
160912014,CH,present,introduced,,,,
160912015,CH,present,introduced,invasive,,,
160912016,CH,present,introduced,invasive,,,
160912017,CH,present,introduced,,,,
160912018,CH,present,introduced,,,,
160912019,CH,present,introduced,,,,
160912020,CH,present,introduced,,,,
160912021,CH,present,introduced,,,,
160912024,CH,present,introduced,,,,
160912027,CH,present,introduced,,,,
160912028,CH,present,introduced,,,,
160912029,CH,present,introduced,,,,
160912030,CH,present,introduced,,,,
160912031,CH,present,introduced,,,,
160912032,CH,present,introduced,,,,
160912033,CH,present,introduced,,,,
160912034,CH,present,introduced,,,,
160912037,CH,present,introduced,,,,
160912038,CH,present,introduced,,,,
