taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160911620,5199161,95958,"Hypania invalida (Grube, 1860)",ACCEPTED,5199161,"Hypania invalida (Grube, 1860)",SPECIES,Animalia
160911624,3222012,95912,"Erwinia amylovora (Burrill, 1882) Winslow & al., 1920",ACCEPTED,3222012,"Erwinia amylovora (Burrill, 1882) Winslow et al., 1920",SPECIES,Bacteria
160911627,2307856,95834,"Caspiobdella fadejewi (Selensky, 1915)",ACCEPTED,2307856,"Caspiobdella fadejewi (Epshtein, 1961)",SPECIES,Animalia
160911633,2308574,95812,"Branchiura sowerbyi Beddard, 1892",ACCEPTED,2308574,"Branchiura sowerbyi Beddard, 1892",SPECIES,Animalia
160911637,3202936,95780,Aphanomyces astaci Schikora,ACCEPTED,3202936,Aphanomyces astaci Schikora,SPECIES,Chromista
160911644,2502879,95890,"Dugesia tigrina (Girard, 1850)",SYNONYM,5892120,"Girardia tigrina (Girard, 1850)",SPECIES,Animalia
160911648,2502792,95791,"Arthurdendyus triangulatus (Dendy, 1895)",ACCEPTED,2502792,"Arthurdendyus triangulatus (Dendy, 1895)",SPECIES,Animalia
160911649,5254314,96052,Ophiostoma ulmi (Buisman) Nannf.,ACCEPTED,5254314,Ophiostoma ulmi (Buisman) Nannf.,SPECIES,Fungi
160911651,5254314,96051,Ophiostoma ulmi (Buisman) Nannf.,ACCEPTED,5254314,Ophiostoma ulmi (Buisman) Nannf.,SPECIES,Fungi
160911657,2566393,95866,Cryphonectria parasitica (Murrill) M.E.Barr,ACCEPTED,2566393,Cryphonectria parasitica (Murrill) M.E.Barr,SPECIES,Fungi
160911658,2287072,95888,"Dreissena polymorpha (Pallas, 1771)",ACCEPTED,2287072,"Dreissena polymorpha (Pallas, 1771)",SPECIES,Animalia
160911665,5189032,95851,"Corbicula fluminalis (O.F.MÃ¼ller, 1774)",ACCEPTED,5189032,"Corbicula fluminalis (O.F.Müller, 1774)",SPECIES,Animalia
160911667,8190231,95852,"Corbicula fluminea (O.F.MÃ¼ller, 1774)",ACCEPTED,8190231,"Corbicula fluminea (O.F.Müller, 1774)",SPECIES,Animalia
160911668,2684855,96093,Platycladus orientalis (L.) Franco,ACCEPTED,2684855,Platycladus orientalis (L.) Franco,SPECIES,Plantae
160911672,2685796,96110,Pseudotsuga menziesii (Mirb.) Franco,ACCEPTED,2685796,Pseudotsuga menziesii (Mirb.) Franco,SPECIES,Plantae
160911675,5778077,96236,"Viviparus ater (De Cristofori & Jan, 1832)",ACCEPTED,5778077,"Viviparus ater (De Cristofori & Jan, 1832)",SPECIES,Animalia
160911679,5275404,96111,Pteris cretica L.,ACCEPTED,5275404,Pteris cretica L.,SPECIES,Plantae
160911682,5192470,96096,"Potamopyrgus antipodarum (Gray, 1843)",ACCEPTED,5192470,"Potamopyrgus antipodarum (J.E.Gray, 1843)",SPECIES,Animalia
160911686,2739071,96205,Trachycarpus fortunei H.Wendl.,ACCEPTED,2739071,Trachycarpus fortunei (Hook.) H.Wendl.,SPECIES,Plantae
160911687,2290946,96091,"Planorbarius corneus (Linnaeus, 1758)",ACCEPTED,2290946,"Planorbarius corneus (Linnaeus, 1758)",SPECIES,Animalia
160911689,2290996,95945,"Gyraulus parvus (Say, 1817)",ACCEPTED,2290996,"Gyraulus parvus (Say, 1817)",SPECIES,Animalia
160911692,5299675,96214,Tulipa gesneriana L.,ACCEPTED,5299675,Tulipa gesneriana L.,SPECIES,Plantae
160911695,4566708,96174,"Solatopupa similis (Bruguiere, 1792)",ACCEPTED,4566708,"Solatopupa similis (Bruguière, 1792)",SPECIES,Animalia
160911698,2766030,96095,Pontederia cordata L.,ACCEPTED,2766030,Pontederia cordata L.,SPECIES,Plantae
160911699,5189807,96084,"Physella heterostropha (Say, 1817)",HETEROTYPIC_SYNONYM,5189806,"Physella acuta (Draparnaud, 1805)",SPECIES,Animalia
160911701,5189806,96083,"Physella acuta (Draparnaud, 1805)",ACCEPTED,5189806,"Physella acuta (Draparnaud, 1805)",SPECIES,Animalia
160911702,2764179,95849,Commelina communis L.,ACCEPTED,2764179,Commelina communis L.,SPECIES,Plantae
160911704,4598225,96194,"Tandonia budapestensis (Hazay, 1880)",ACCEPTED,4598225,"Tandonia budapestensis (Hazay, 1880)",SPECIES,Animalia
160911706,2297108,96029,"Milax gagates (Draparnaud, 1801)",ACCEPTED,2297108,"Milax gagates (Draparnaud, 1801)",SPECIES,Animalia
160911709,5328909,96139,Sagittaria latifolia Willd.,ACCEPTED,5328909,Sagittaria latifolia Willd.,SPECIES,Plantae
160911710,2295442,95994,"Limacus flavus (Linnaeus, 1758)",ACCEPTED,2295442,"Limacus flavus (Linnaeus, 1758)",SPECIES,Animalia
160911713,2865526,96220,Vallisneria spiralis L.,ACCEPTED,2865526,Vallisneria spiralis L.,SPECIES,Plantae
160911714,4565039,95957,"Hygromia cinctella (Draparnaud, 1801)",ACCEPTED,4565039,"Hygromia cinctella (Draparnaud, 1801)",SPECIES,Animalia
160911715,5329192,96183,Stratiotes aloides L.,ACCEPTED,5329192,Stratiotes aloides L.,SPECIES,Plantae
160911717,2865565,95980,Lagarosiphon major (Ridl.) Moss,ACCEPTED,2865565,Lagarosiphon major (Ridl.) Moss,SPECIES,Plantae
160911718,5781282,95880,"Deroceras sturanyi (Simroth, 1894)",ACCEPTED,5781282,"Deroceras sturanyi (Simroth, 1894)",SPECIES,Animalia
160911719,2865448,95897,Elodea canadensis Michx.,ACCEPTED,2865448,Elodea canadensis Michx.,SPECIES,Plantae
160911720,5190777,95879,"Deroceras panormitanum (Lessona & Pollonera, 1882)",ACCEPTED,5190777,"Deroceras panormitanum (Lessona & Pollonera, 1882)",SPECIES,Animalia
160911721,5329212,95898,Elodea nuttallii St.John,ACCEPTED,5329212,Elodea nuttallii (Planch.) H.St.John,SPECIES,Plantae
160911723,5329260,95895,Egeria densa Planch.,SYNONYM,5329263,Elodea densa (Planch.) Casp.,SPECIES,Plantae
160911724,5858758,95855,"Cornu aspersum (O.F.MÃ¼ller, 1774)",ACCEPTED,5858758,"Cornu aspersum (O.F.Müller, 1774)",SPECIES,Animalia
160911727,2869311,96016,Lysichiton americanus HultÃ©n & H.St.John,ACCEPTED,2869311,Lysichiton americanus Hultén & H.St.John,SPECIES,Plantae
160911728,4567717,95810,"Boettgerilla pallens Simroth, 1912",ACCEPTED,4567717,"Boettgerilla pallens Simroth, 1912",SPECIES,Animalia
160911729,2867614,95985,Lemna minuta Kunth,ACCEPTED,2867614,Lemna minuta Kunth,SPECIES,Plantae
160911731,2869101,95826,Calla palustris L.,ACCEPTED,2869101,Calla palustris L.,SPECIES,Plantae
