taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160903920,TR,present,introduced,,,,
160903921,TR,present,,,,,
160903929,TR,present,introduced,,,,
160903930,TR,present,introduced,,,,
160903935,TR,present,introduced,,,,
160903936,TR,present,introduced,invasive,,,
160903938,TR,present,introduced,,,,
160903940,TR,present,introduced,invasive,,,
160903941,TR,present,introduced,,,,
160903942,TR,present,introduced,invasive,,,
160903944,TR,present,introduced,,,,
160903946,TR,present,introduced,,,,
160903948,TR,present,introduced,,,,
160903950,TR,present,introduced,,,,
160903951,TR,present,introduced,,,,
160903952,TR,present,introduced,invasive,,,
160903953,TR,present,introduced,invasive,,,
160903955,TR,present,,,,,
160903957,TR,present,introduced,,,,
160903960,TR,present,introduced,,,,
160903963,TR,present,introduced,,,,
160903964,TR,present,introduced,,,,
160903965,TR,present,introduced,,,,
160903966,TR,present,introduced,,,,
160903968,TR,present,introduced,,,,
160903971,TR,present,introduced,,,,
160903975,TR,present,introduced,,,,
160903976,TR,present,introduced,,,,
160903977,TR,present,introduced,,,,
160903978,TR,present,introduced,,,,
160903983,TR,present,introduced,,,,
160903984,TR,present,introduced,,,,
160903986,TR,present,introduced,,,,
160903988,TR,present,introduced,,,,
160903989,TR,present,introduced,,,,
160903990,TR,present,introduced,invasive,,,
160903991,TR,present,introduced,,,,
160903992,TR,present,introduced,,,,
160903993,TR,present,introduced,invasive,,,
160903995,TR,present,introduced,,,,
160903996,TR,present,introduced,invasive,,,
160903999,TR,present,introduced,,,,
160904001,TR,present,introduced,,,,
160904002,TR,present,introduced,,,,
160904003,TR,present,introduced,,,,
160904004,TR,present,introduced,,,,
160904005,TR,present,introduced,,,,
160904006,TR,present,introduced,,,,
160904010,TR,present,introduced,,,,
160904012,TR,present,introduced,,,,
160904013,TR,present,introduced,invasive,,,
160904014,TR,present,introduced,,,,
160904016,TR,present,introduced,,,,
160904017,TR,present,introduced,,,,
160904018,TR,present,introduced,,,,
160904019,TR,present,introduced,,,,
160904021,TR,present,introduced,,,,
160904022,TR,present,introduced,,,,
160904023,TR,present,introduced,,,,
160904025,TR,present,introduced,,,,
160904027,TR,present,introduced,,,,
160904028,TR,present,introduced,,,,
160904029,TR,present,introduced,,,,
160904030,TR,present,,,,,
160904031,TR,present,introduced,,,,
