taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
160903920,2306992,93887,"Ferosagitta galerita (Dallot, 1971)",ACCEPTED,2306992,"Ferosagitta galerita (Dallot, 1971)",SPECIES,Animalia
160903921,8318878,94253,"Pseudo-nitzschia calliantha Lundholm, Moestrup & Hasle, 2003",ACCEPTED,8318878,"Pseudo-nitzschia calliantha Lundholm, Moestrup & Hasle, 2003",SPECIES,Chromista
160903929,2319527,94064,"Metasychis gotoi (Izuka, 1902)",ACCEPTED,2319527,"Metasychis gotoi (Izuka, 1902)",SPECIES,Animalia
160903930,8082735,94320,"Scrippsiella trochoidea (Stein) Loeblich Iii, 1976",ACCEPTED,8082735,"Scrippsiella trochoidea (Stein) Loeblich Iii, 1976",SPECIES,Chromista
160903935,8216761,94140,Oxyphysis oxytoxoides Kof.,DOUBTFUL,8216761,Oxyphysis oxytoxoides Kof.,SPECIES,Chromista
160903936,2321339,94387,"Streblospio gynobranchiata Rice & Levin, 1998",ACCEPTED,2321339,"Streblospio gynobranchiata Rice & Levin, 1998",SPECIES,Animalia
160903938,7190107,94367,"Spiophanes algidus Meissner, 2005",ACCEPTED,7190107,"Spiophanes algidus Meissner, 2005",SPECIES,Animalia
160903940,5197747,94226,"Polydora cornuta Bosc, 1802",ACCEPTED,5197747,"Polydora cornuta Bosc, 1802",SPECIES,Animalia
160903941,7380778,93930,"Gymnodinium uberrimum (Allman) Kofoid & Swezy, 1921",ACCEPTED,7380778,"Gymnodinium uberrimum (Allman) Kofoid & Swezy, 1921",SPECIES,Chromista
160903942,2320707,94241,"Prionospio krusadensis Fauvel, 1929",ACCEPTED,2320707,"Prionospio krusadensis Fauvel, 1929",SPECIES,Animalia
160903944,2320641,94240,"Prionospio depauperata Imajima, 1990",ACCEPTED,2320641,"Prionospio depauperata Imajima, 1990",SPECIES,Animalia
160903946,2320659,94243,"Prionospio pulchra Imajima, 1990",ACCEPTED,2320659,"Prionospio pulchra Imajima, 1990",SPECIES,Animalia
