taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
149694367,5954366,53978,Vesicularia marina I.Schmidt,SYNONYM,2589233,Cumulospora marina I.Schmidt,SPECIES,Fungi
149694368,2284723,53967,"Urnatella gracilis Leidy, 1851",ACCEPTED,2284723,"Urnatella gracilis Leidy, 1851",SPECIES,Animalia
149694374,3201873,53930,"Syracolithus dalmaticus (Kamptner) Loeblich & Tappan, 1963",ACCEPTED,3201873,"Syracolithus dalmaticus (Kamptner) Loeblich & Tappan, 1963",SPECIES,Chromista
149694378,1003567,53764,"Pectinatella magnifica (Leidy, 1851)",ACCEPTED,1003567,"Pectinatella magnifica (Leidy, 1851)",SPECIES,Animalia
149694380,9150298,53771,"Phaeocystis pouchetii (Hariot) Lagerheim, 1893",ACCEPTED,9150298,"Phaeocystis pouchetii (Hariot) Lagerheim, 1893",SPECIES,Chromista
149694387,,53725,"Onchocleidus similis MÃ¼ller, 1936",,,"Onchocleidus similis MÃ¼ller, 1936",,
149694390,4343685,53628,"Ligophorus llewellyni Dmitrieva, Gerasev & Pron'kina, 2007",ACCEPTED,4343685,"Ligophorus llewellyni Dmitrieva, Gerasev & Pron'kina, 2007",SPECIES,Animalia
149694393,4343694,53627,"Ligophorus kaohsianghsieni (Gussev, 1962) Gussev, 1985",ACCEPTED,4343694,"Ligophorus kaohsianghsieni (Gusev, 1962) Gusev, 1985",SPECIES,Animalia
149694394,4343698,53629,"Ligophorus pilengas Sarabeev & Balbuena, 2004",ACCEPTED,4343698,"Ligophorus pilengas Sarabeev & Balbuena, 2004",SPECIES,Animalia
149694395,3526577,53528,Gloniella clavatispora Steinke & K.D.Hyde,ACCEPTED,3526577,Gloniella clavatispora Steinke & K.D.Hyde,SPECIES,Fungi
149694396,11780015,53812,Protocystis swerei O. Murray,ACCEPTED,11780015,"Protocystis swerei O.Murray, 1950",SPECIES,Chromista
149694401,5721680,53544,"Gyrodactylus zhukovi Ling, 1962",ACCEPTED,5721680,"Gyrodactylus zhukovi Ling, 1962",SPECIES,Animalia
149694402,9651036,53543,"Gyrodactylus perccotti Ergens & Yukhimenko, 1973",ACCEPTED,9651036,"Gyrodactylus perccotti Ergens & Yukhimenko, 1973",SPECIES,Animalia
149694403,2589233,53417,Cumulospora marina I.Schmidt,ACCEPTED,2589233,Cumulospora marina I.Schmidt,SPECIES,Fungi
149694404,5740305,53542,"Gyrodactylus mugili Zhukov, 1970",ACCEPTED,5740305,"Gyrodactylus mugili Zhukov, 1970",SPECIES,Animalia
149694406,5233577,53541,"Gyrodactylus avalonia Hanek & Threlfall, 1969",ACCEPTED,5233577,"Gyrodactylus avalonia Hanek & Threlfall, 1969",SPECIES,Animalia
149694410,3202412,53572,"Hillea fusiformis (J.Schiller) J.Schiller, 1925",ACCEPTED,3202412,"Hillea fusiformis (J.Schiller) J.Schiller, 1925",SPECIES,Chromista
149694417,2573153,53998,Zopfiella latipes (N.Lundq.) Malloch & Cain,ACCEPTED,2573153,Zopfiella latipes (N.Lundq.) Malloch & Cain,SPECIES,Fungi
149694418,4283395,53435,"Diadumene lineata (Verrill, 1869)",ACCEPTED,4283395,"Diadumene lineata (Verrill, 1869)",SPECIES,Animalia
149694425,,53409,Craspedacusta sowerbyi Lancaster,,,Craspedacusta sowerbyi Lancaster,,
149694427,3457717,53872,Savoryella lignicola E.B.G.Jones & R.A.Eaton,ACCEPTED,3457717,Savoryella lignicola E.B.G.Jones & R.A.Eaton,SPECIES,Fungi
149694433,7934643,53945,"Tintinnopsis directa Hada, 1932",ACCEPTED,7934643,"Tintinnopsis directa Hada, 1932",SPECIES,Chromista
149694434,5185846,53943,"Tiaropsis multicirrata (M.Sars, 1835)",ACCEPTED,5185846,"Tiaropsis multicirrata (M.Sars, 1835)",SPECIES,Animalia
149694438,2268682,53291,"Blackfordia virginica Mayer, 1910",ACCEPTED,2268682,"Blackfordia virginica Mayer, 1910",SPECIES,Animalia
149694439,8278823,53502,"Favella brevis Kofoid & Campbell, 1929",ACCEPTED,8278823,"Favella brevis Kofoid & Campbell, 1929",SPECIES,Chromista
149694440,3550738,53418,"Cumulospora varia Chatmala & Somrith., 2004",SYNONYM,7767532,"Moromyces varius (Chatmala & Somrith.) Abdel-Wahab, K.L.Pang, Nagah., Abdel-Aziz & E.B.G.Jones",SPECIES,Fungi
149694444,2565841,53648,"Lulwoana uniseptata (Nakagiri) Kohlm., Volkm.-Kohlm., J.Campb., Spatafora & GrÃ¤fenhan",ACCEPTED,2565841,"Lulwoana uniseptata (Nakagiri) Kohlm., Volkm.-Kohlm., J.Campb., Spatafora & Gräfenhan",SPECIES,Fungi
149694446,2266151,53481,"Eudendrium capillare Alder, 1856",ACCEPTED,2266151,"Eudendrium capillare Alder, 1856",SPECIES,Animalia
149694447,2266145,53482,"Eudendrium vaginatum Allman, 1863",ACCEPTED,2266145,"Eudendrium vaginatum Allman, 1863",SPECIES,Animalia
149694452,2266009,53386,"Cordylophora caspia (Pallas, 1771)",ACCEPTED,2266009,"Cordylophora caspia (Pallas, 1771)",SPECIES,Animalia
149694453,3448184,53548,Halosarpheia phragmiticola Poon & K.D.Hyde,ACCEPTED,3448184,Halosarpheia phragmiticola Poon & K.D.Hyde,SPECIES,Fungi
149694454,7915855,53497,"Eutintinnus tubulosus (Ostenfeld, 1899) Kofoid & Campbell, 1939",ACCEPTED,7915855,"Eutintinnus tubulosus (Ostenfeld, 1899) Kofoid & Campbell, 1939",SPECIES,Chromista
149694456,2564481,53547,Haligena elaterophora Kohlm.,ACCEPTED,2564481,Haligena elaterophora Kohlm.,SPECIES,Fungi
149694457,,53866,"Salpingella decurtata JÃ¶rgensen, 1924",,,"Salpingella decurtata JÃ¶rgensen, 1924",,
