taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148702483,GB,present,introduced,,,,
148702484,GB,present,introduced,yes,,,
148702488,GB,present,introduced,yes,,,
148702492,GB,present,introduced,,,,
148702498,GB,present,introduced,,,,
148702501,GB,present,introduced,,,,
148702505,GB,present,introduced,,,,
148702508,GB,present,introduced,,,,
148702513,GB,present,introduced,,,,
148702514,GB,present,introduced,,,,
148702515,GB,present,,,,,
148702519,GB,present,introduced,,,,
148702522,GB,present,introduced,,,,
148702524,GB,present,introduced,yes,,,
148702527,GB,present,introduced,,,,
148702528,GB,present,introduced,,,,
148702535,GB,present,introduced,,,,
148702537,GB,present,introduced,,,,
148702539,GB,present,introduced,,,,
148702548,GB,present,introduced,,,,
148702549,GB,present,introduced,,,,
148702556,GB,present,introduced,,,,
148702557,GB,present,introduced,yes,,,
148702562,GB,present,introduced,yes,,,
148702565,GB,present,introduced,,,,
148702567,GB,present,introduced,,,,
148702568,GB,present,introduced,yes,,,
148702571,GB,present,introduced,,,,
148702573,GB,present,introduced,,,,
148702575,GB,present,introduced,,,,
148702581,GB,present,,,,,
148702582,GB,present,introduced,,,,
148702588,GB,present,introduced,yes,,,
148702590,GB,present,introduced,,,,
148702592,GB,present,introduced,,,,
148702593,GB,present,introduced,,,,
148702600,GB,present,introduced,,,,
148702601,GB,present,introduced,,,,
148702602,GB,present,introduced,,,,
148702603,GB,present,introduced,,,,
148702610,GB,present,introduced,yes,,,
148702611,GB,present,introduced,yes,,,
148702617,GB,present,introduced,yes,,,
148702618,GB,present,introduced,yes,,,
148702623,GB,present,introduced,,,,
148702624,GB,present,introduced,,,,
148702628,GB,present,introduced,,,,
148702630,GB,present,introduced,yes,,,
148702631,GB,present,introduced,,,,
148702633,GB,present,introduced,,,,
148702634,GB,present,introduced,,,,
148702635,GB,present,introduced,,,,
148702636,GB,present,introduced,,,,
148702637,GB,present,,,,,
148702639,GB,present,introduced,,,,
148702642,GB,present,introduced,,,,
148702644,GB,present,introduced,,,,
148702645,GB,present,introduced,,,,
148702650,GB,present,introduced,,,,
148702651,GB,present,introduced,yes,,,
148702652,GB,present,introduced,yes,,,
148702654,GB,present,introduced,,,,
148702656,GB,present,introduced,,,,
148702659,GB,present,introduced,yes,,,
148702660,GB,present,introduced,,,,
148702661,GB,present,introduced,,,,
148702663,GB,present,introduced,,,,
148702664,GB,present,introduced,yes,,,
148702668,GB,present,introduced,,,,
148702669,GB,present,introduced,,,,
148702671,GB,present,introduced,,,,
148702672,GB,present,introduced,,,,
148702673,GB,present,introduced,,,,
148702676,GB,present,introduced,,,,
148702677,GB,present,introduced,,,,
148702678,GB,present,introduced,,,,
148702680,GB,present,introduced,,,,
148702685,GB,present,introduced,,,,
148702686,GB,present,introduced,,,,
148702687,GB,present,introduced,,,,
148702689,GB,present,introduced,,,,
148702690,GB,present,introduced,,,,
148702691,GB,present,introduced,,,,
148702693,GB,present,introduced,,,,
148702694,GB,present,introduced,,,,
148702696,GB,present,introduced,,,,
148702697,GB,present,introduced,,,,
148702699,GB,present,introduced,,,,
148702700,GB,present,introduced,,,,
148702706,GB,present,introduced,,,,
148702711,GB,present,introduced,yes,,,
148702712,GB,present,introduced,,,,
148702713,GB,present,introduced,yes,,,
148702714,GB,present,introduced,yes,,,
148702720,GB,present,introduced,,,,
148702721,GB,present,introduced,yes,,,
148702722,GB,present,introduced,,,,
