taxonKey,nubKey,taxonID,scientificName,taxonomicStatus,acceptedKey,acceptedName,acceptedTaxonRank,acceptedKingdom
148702483,2284485,23750,"Loxomitra kefersteinii (ClaparÃ¨de, 1867)",ACCEPTED,2284485,"Loxomitra kefersteinii (Claparède, 1867)",SPECIES,Animalia
148702484,5422556,24880,Undaria pinnatifida (Harv.) Suringar,ACCEPTED,5422556,Undaria pinnatifida (Harv.) Suringar,SPECIES,Chromista
148702488,3197314,24504,Sargassum muticum (Yendo) Fensholt,ACCEPTED,3197314,Sargassum muticum (Yendo) Fensholt,SPECIES,Chromista
148702492,2501248,23853,"Mnemiopsis leidyi A.Agassiz, 1865",ACCEPTED,2501248,"Mnemiopsis leidyi A.Agassiz, 1865",SPECIES,Animalia
148702498,4283395,23099,"Diadumene lineata (Verrill, 1869)",ACCEPTED,4283395,"Diadumene lineata (Verrill, 1869)",SPECIES,Animalia
148702501,8018048,23108,Dictyota cyanoloma,ACCEPTED,8018048,"Dictyota cyanoloma Tronholm, De Clerck, Gomez Garreta & Rull Lluch, 2010",SPECIES,Chromista
148702505,3197970,22820,Colpomenia peregrina Sauv.,ACCEPTED,3197970,Colpomenia peregrina Sauv.,SPECIES,Chromista
148702508,,22864,"Corynophlaea umbellata (C.Agardh) KÃ¼tz., 1843",,,"Corynophlaea umbellata (C.Agardh) KÃ¼tz., 1843",,
148702513,2266754,23414,"Gonionemus vertens A.Agassiz, 1862",ACCEPTED,2266754,"Gonionemus vertens A.Agassiz, 1862",SPECIES,Animalia
148702514,9355965,24785,"Thalassiosira punctigera Castracane, 1886",ACCEPTED,9355965,"Thalassiosira punctigera Castracane, 1886",SPECIES,Chromista
148702515,3193569,24786,"Thalassiosira tealata Takano, 1980",ACCEPTED,3193569,"Thalassiosira tealata Takano, 1980",SPECIES,Chromista
148702519,2265249,24793,"Thecocodium brieni Bouillon, 1967",ACCEPTED,2265249,"Thecocodium brieni Bouillon, 1967",SPECIES,Animalia
148702522,8041570,24257,"Pleurosigma simonsenii Hasle, 1990",ACCEPTED,8041570,"Pleurosigma simonsenii Hasle, 1990",SPECIES,Chromista
148702524,2266009,22839,"Cordylophora caspia (Pallas, 1771)",ACCEPTED,2266009,"Cordylophora caspia (Pallas, 1771)",SPECIES,Animalia
148702527,5421668,23963,Odontella sinensis (Grev.) Grunow,SYNONYM,3193658,"Biddulphia sinensis Greville, 1866",SPECIES,Chromista
148702528,5185676,22863,"Coryne pintneri Schneider, 1897",ACCEPTED,5185676,"Coryne pintneri Schneider, 1897",SPECIES,Animalia
148702535,2251202,24722,"Suberites massa Nardo, 1847",ACCEPTED,2251202,"Suberites massa Nardo, 1847",SPECIES,Animalia
148702537,5421557,22866,"Coscinodiscus wailesii Gran & Angst, 1931",ACCEPTED,5421557,"Coscinodiscus wailesii Gran & Angst, 1931",SPECIES,Chromista
148702539,2246541,22731,"Chalinula loosanoffi (Hartman, 1958)",ACCEPTED,2246541,"Chalinula loosanoffi (Hartman, 1958)",SPECIES,Animalia
148702548,4985433,24941,"Victorella pavida Saville-Kent, 1870",ACCEPTED,4985433,"Victorella pavida Saville-Kent, 1870",SPECIES,Animalia
148702549,8050384,22549,"Bonamia ostreae Pichot, Comps, TigÃ©, Grizel & Rabouin, 1980",ACCEPTED,8050384,"Bonamia ostreae Pichot, Comps, Tigé, Grizel & Rabouin, 1980",SPECIES,Protozoa
148702556,7974238,22232,"Alexandrium catenella (Whedon & Kofoid) Balech, 1985",ACCEPTED,7974238,Alexandrium catenella (Whedon & Kofoid) Balech,SPECIES,Chromista
148702557,4985072,24831,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",ACCEPTED,4985072,"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",SPECIES,Animalia
148702562,8155634,24959,"Watersipora subatra (Ortmann, 1890)",ACCEPTED,8155634,"Watersipora subatra (Ortmann, 1890)",SPECIES,Animalia
148702565,8155634,24958,"Watersipora subatra (Ortmann, 1890)",ACCEPTED,8155634,"Watersipora subatra (Ortmann, 1890)",SPECIES,Animalia
148702567,7699567,23525,"Hymenoscyphus pseudoalbidus V.Queloz, C.R.GrÃ¼nig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",ACCEPTED,7699567,"Hymenoscyphus pseudoalbidus V.Queloz, C.R.Grünig, R.Berndt, T.Kowalski, T.N.Sieber & O.Holdenrieder",SPECIES,Fungi
148702568,1010024,24521,"Schizoporella japonica Ortmann, 1890",ACCEPTED,1010024,"Schizoporella japonica Ortmann, 1890",SPECIES,Animalia
148702571,8428595,22607,"Bugulina stolonifera (Ryland, 1960)",ACCEPTED,8428595,"Bugulina stolonifera (Ryland, 1960)",SPECIES,Animalia
148702573,4984851,22605,"Bugula neritina (Linnaeus, 1758)",ACCEPTED,4984851,"Bugula neritina (Linnaeus, 1758)",SPECIES,Animalia
148702575,7668385,22606,"Bugulina simplex (Hincks, 1886)",ACCEPTED,7668385,"Bugulina simplex (Hincks, 1886)",SPECIES,Animalia
148702581,5189918,24692,"Stagnicola catascopium (Say, 1817)",SYNONYM,8343100,"Ladislavella catascopium (Say, 1817)",SPECIES,Animalia
148702582,2527401,23312,Favolaschia calocera R.Heim,ACCEPTED,2527401,Favolaschia calocera R.Heim,SPECIES,Fungi
148702588,2304415,24886,"Urosalpinx cinerea (Say, 1822)",ACCEPTED,2304415,"Urosalpinx cinerea (Say, 1822)",SPECIES,Animalia
148702590,4363499,24704,"Stramonita floridana (Conrad, 1837)",ACCEPTED,4363499,"Stramonita floridana (Conrad, 1837)",SPECIES,Animalia
148702592,6096602,23744,Lophocolea semiteres (Lehm.) Mitt.,ACCEPTED,6096602,Lophocolea semiteres (Lehm.) Mitt.,SPECIES,Plantae
148702593,4363583,24391,"Rapana venosa (Valenciennes, 1846)",ACCEPTED,4363583,"Rapana venosa (Valenciennes, 1846)",SPECIES,Animalia
148702600,8207003,23948,Nitella syncarpa (Thuill.) Chevall.,ACCEPTED,8207003,Nitella syncarpa (Thuill.) Chevall.,SPECIES,Plantae
148702601,8075198,23315,"Ferrissia wautieri (Mirolli, 1960)",SYNONYM,9520065,"Ferrissia californica (Rowell, 1863)",SPECIES,Animalia
148702602,7926430,22734,Chara socotrensis Nordst.,ACCEPTED,7926430,Chara socotrensis Nordstedt,SPECIES,Plantae
