taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
160941475,9752149,AL,present,introduced,,,,
160941479,3088488,AL,present,introduced,,,,
3141101,3141107,AL,present,introduced,,,,
160941485,8140485,AL,present,introduced,,,,
160941489,5204019,AL,present,introduced,,,,
160941492,3031774,AL,present,introduced,,,,
160941494,8149923,AL,present,introduced,,,,
160941495,2362868,AL,present,introduced,invasive,,,
160941496,2927190,AL,present,introduced,,,,
160941500,3088481,AL,present,introduced,,,,
160941501,6132234,AL,present,introduced,,,,
160941502,2928774,AL,present,introduced,,,,
160941505,5380041,AL,present,introduced,,,,
160941506,2705090,AL,present,introduced,,,,
160941508,5356488,AL,present,introduced,,,,
160941512,2889373,AL,present,introduced,,,,
160941513,2889378,AL,present,introduced,,,,
160941516,2294277,AL,present,introduced,,,,
8707933,8512398,AL,present,introduced,,,,
160941520,5373358,AL,present,introduced,,,,
160941521,2873861,AL,present,introduced,,,,
160941522,2925786,AL,present,introduced,,,,
160941523,3119175,AL,present,introduced,,,,
160941524,5341492,AL,present,introduced,,,,
160941525,2366645,AL,present,introduced,,,,
160941526,4286942,AL,present,introduced,,,,
160941527,5361880,AL,present,introduced,,,,
160941530,2340977,AL,present,introduced,,,,
160941535,5361888,AL,present,introduced,,,,
160941539,2888439,AL,present,introduced,,,,
160941541,5391480,AL,present,introduced,,,,
160941545,5420901,AL,present,introduced,,,,
160941547,2350570,AL,present,introduced,invasive,,,
160941550,1651430,AL,present,introduced,invasive,,,
160941556,3084842,AL,present,introduced,,,,
160941561,5376648,AL,present,introduced,,,,
5334351,5334436,AL,present,introduced,,,,
160941567,5279834,AL,present,introduced,,,,
160941572,5858758,AL,present,introduced,,,,
160941574,7445284,AL,present,introduced,,,,
160941575,5341792,AL,present,introduced,,,,
160941576,2643093,AL,present,introduced,invasive,,,
160941580,2650107,AL,present,introduced,,,,
160941584,5372392,AL,present,introduced,,,,
160941586,2225783,AL,present,introduced,,,,
160941589,3070346,AL,present,introduced,,,,
160941593,5298069,AL,present,introduced,,,,
160941595,3086240,AL,present,introduced,,,,
160941596,2350580,AL,present,introduced,,,,
160941597,5568446,AL,present,introduced,,,,
160941598,3032980,AL,present,introduced,,,,
7418706,3083834,AL,present,introduced,,,,
3172549,7613490,AL,present,introduced,,,,
160941607,2891773,AL,present,introduced,,,,
11715681,3083565,AL,present,introduced,,,,
2929062,7558234,AL,present,introduced,,,,
160941613,5360475,AL,present,introduced,,,,
160941614,5360466,AL,present,introduced,,,,
12256569,2704371,AL,present,introduced,,,,
160941616,2775561,AL,present,introduced,,,,
160941618,2705144,AL,present,introduced,,,,
160941619,5372639,AL,present,introduced,,,,
160941620,5352251,AL,present,introduced,,,,
160941621,2931104,AL,present,introduced,,,,
160941622,2930262,AL,present,introduced,,,,
160941623,9823072,AL,present,introduced,,,,
160941624,2972595,AL,present,introduced,,,,
160941625,3732659,AL,present,introduced,,,,
160941627,2705565,AL,present,introduced,,,,
160941628,9206251,AL,present,introduced,,,,
160941629,2928666,AL,present,introduced,,,,
160941630,5384862,AL,present,introduced,,,,
160941631,2703041,AL,present,introduced,,,,
160941632,2706264,AL,present,introduced,,,,
160941635,4989904,AL,present,introduced,,,,
160941636,5329631,AL,present,introduced,,,,
160941638,2382155,AL,present,introduced,,,,
160941639,2362486,AL,present,introduced,,,,
160941640,2891783,AL,present,introduced,,,,
160941642,5361889,AL,present,introduced,,,,
160941643,2856681,AL,present,introduced,,,,
2857444,2856476,AL,present,introduced,,,,
160941645,2857697,AL,present,introduced,,,,
160941648,2767031,AL,present,introduced,invasive,,,
9637373,5679816,AL,present,introduced,,,,
160941655,3172077,AL,present,introduced,,,,
160941656,2974832,AL,present,introduced,,,,
160941657,5372424,AL,present,introduced,,,,
160941658,2891661,AL,present,introduced,,,,
160941661,5384064,AL,present,introduced,,,,
160941662,2926615,AL,present,introduced,,,,
160941665,7150619,AL,present,introduced,,,,
160941668,2439270,AL,present,introduced,,,,
160941670,3132570,AL,present,introduced,,,,
3973001,5350010,AL,present,introduced,,,,
160941675,7678610,AL,present,introduced,,,,
160941676,3146717,AL,present,introduced,,,,
160941677,3146791,AL,present,introduced,,,,
160941678,3146683,AL,present,introduced,,,,
160941679,5375555,AL,present,introduced,,,,
160941682,2781074,AL,present,introduced,,,,
160941683,2781103,AL,present,introduced,,,,
160941684,3039285,AL,present,introduced,,,,
160941686,3112364,AL,present,introduced,,,,
160941689,2705966,AL,present,introduced,,,,
160941690,2932144,AL,present,introduced,,,,
160941691,2929800,AL,present,introduced,,,,
160941692,2930137,AL,present,introduced,,,,
3814157,5384787,AL,present,introduced,,,,
160941694,5296015,AL,present,introduced,,,,
160941695,4933568,AL,present,introduced,,,,
160941696,5289698,AL,present,introduced,,,,
160941697,5289744,AL,present,introduced,,,,
2928859,2928860,AL,present,introduced,,,,
160941699,2362839,AL,present,introduced,,,,
160941700,3039194,AL,present,introduced,,,,
160941701,2362110,AL,present,introduced,,,,
160941702,7429082,AL,present,introduced,,,,
160941703,4264680,AL,present,introduced,,,,
160941704,2394486,AL,present,introduced,,,,
160941705,8350395,AL,present,introduced,,,,
160941706,5362215,AL,present,introduced,,,,
5377060,5377061,AL,present,introduced,,,,
160941710,2362473,AL,present,introduced,,,,
160941711,8200663,AL,present,introduced,,,,
160941714,2764179,AL,present,introduced,,,,
5568339,3083831,AL,present,introduced,,,,
160941718,3036075,AL,present,introduced,,,,
160941719,2928751,AL,present,introduced,,,,
160941722,2350050,AL,present,introduced,,,,
10683509,5347854,AL,present,introduced,,,,
2889229,5334392,AL,present,introduced,,,,
160941725,7818643,AL,present,introduced,,,,
160941726,3084719,AL,present,introduced,,,,
160941727,7931731,AL,present,introduced,,,,
160941728,3021922,AL,present,introduced,,,,
160941729,2362740,AL,present,introduced,,,,
160941730,2362030,AL,present,introduced,,,,
160941732,2927175,AL,present,introduced,,,,
160941733,5914287,AL,present,introduced,,,,
160941734,3067119,AL,present,introduced,,,,
160941735,7903057,AL,present,introduced,,,,
160941737,8034409,AL,present,introduced,,,,
6429520,3085197,AL,present,introduced,,,,
3020980,3022502,AL,present,introduced,,,,
160941745,5376925,AL,present,introduced,,,,
160941746,5356485,AL,present,introduced,,,,
160941747,7403263,AL,present,introduced,,,,
160941748,2865448,AL,present,introduced,,,,
4155246,2704068,AL,present,introduced,,,,
160941750,3042658,AL,present,introduced,,,,
160941751,2706264,AL,present,introduced,,,,
160941754,5278659,AL,present,introduced,,,,
160941755,3036972,AL,present,introduced,,,,
160941757,5356430,AL,present,introduced,,,,
160941758,3112123,AL,present,introduced,,,,
160941759,3034646,AL,present,introduced,,,,
160941762,2436940,AL,present,introduced,,,,
160941763,2874621,AL,present,introduced,,,,
160941765,3033266,AL,present,introduced,,,,
160941768,7322757,AL,present,introduced,,,,
160941769,8302634,AL,present,introduced,,,,
160941771,2867614,AL,present,introduced,,,,
160941774,3084015,AL,present,introduced,,,,
160941775,3188894,AL,present,introduced,,,,
160941776,7068169,AL,present,introduced,,,,
160941778,3103791,AL,present,introduced,,,,
160941780,7795888,AL,present,introduced,,,,
160941781,5361944,AL,present,introduced,,,,
160941783,2225646,AL,present,introduced,,,,
160941785,7883427,AL,present,introduced,,,,
160941786,8085683,AL,present,introduced,,,,
160941787,2874508,AL,present,introduced,,,,
160941788,3172001,AL,present,introduced,,,,
160941791,2858244,AL,present,introduced,,,,
160941792,5329404,AL,present,introduced,,,,
160941793,4332188,AL,present,introduced,,,,
160941794,5341754,AL,present,introduced,,,,
160941795,2928775,AL,present,introduced,,,,
160941797,5329212,AL,present,introduced,,,,
160941798,3117449,AL,present,introduced,,,,
160941800,6369140,AL,present,introduced,,,,
160941801,3188711,AL,present,introduced,,,,
160941804,5294589,AL,present,introduced,,,,
160941805,5294595,AL,present,introduced,,,,
160941806,2868827,AL,present,introduced,,,,
160941808,5384950,AL,present,introduced,,,,
160941810,7894250,AL,present,introduced,,,,
160941812,2705953,AL,present,introduced,,,,
160941814,3039269,AL,present,introduced,,,,
160941815,2892272,AL,present,introduced,,,,
160941816,2704757,AL,present,introduced,,,,
160941819,5371772,AL,present,introduced,,,,
160941820,3141101,AL,present,introduced,,,,
160941821,5347796,AL,present,introduced,,,,
160941822,2891782,AL,present,introduced,,,,
160941823,8332019,AL,present,introduced,,,,
160941824,3067891,AL,present,introduced,,,,
160941825,5299816,AL,present,introduced,,,,
160941826,5568361,AL,present,introduced,,,,
160941827,3610757,AL,present,introduced,,,,
160941828,2684030,AL,present,introduced,,,,
160941830,3085191,AL,present,introduced,,,,
5383971,8232750,AL,present,introduced,,,,
160941832,3173338,AL,present,introduced,,,,
160941833,7068845,AL,present,introduced,,,,
3151764,5406509,AL,present,introduced,,,,
160941835,3041022,AL,present,introduced,,,,
160941836,3120790,AL,present,introduced,,,,
160941837,8002952,AL,present,introduced,,,,
160941841,2351271,AL,present,introduced,,,,
160941842,2705185,AL,present,introduced,,,,
160941844,5285565,AL,present,introduced,,,,
160941846,5350452,AL,present,introduced,,,,
160941848,7915783,AL,present,introduced,,,,
160941851,3066965,AL,present,introduced,,,,
160941852,5285604,AL,present,introduced,,,,
3176197,3176197,AL,present,introduced,,,,
160941854,3176787,AL,present,introduced,,,,
160941856,3189939,AL,present,introduced,,,,
160941858,2362745,AL,present,introduced,,,,
160941859,5392174,AL,present,introduced,,,,
160941862,5284698,AL,present,introduced,,,,
5568446,3083836,AL,present,introduced,,,,
160941865,2931237,AL,present,introduced,,,,
160941866,2714156,AL,present,introduced,,,,
160941867,3112361,AL,present,introduced,,,,
160941868,8047523,AL,present,introduced,,,,
3048203,5375597,AL,present,introduced,invasive,,,
160941871,2643172,AL,present,introduced,invasive,,,
160941872,5383936,AL,present,introduced,,,,
160941873,3083761,AL,present,introduced,,,,
5568099,7509954,AL,present,introduced,,,,
160941875,5384334,AL,present,introduced,,,,
160941876,5384401,AL,present,introduced,,,,
160941877,6109534,AL,present,introduced,,,,
160941878,5384364,AL,present,introduced,,,,
160941879,5384396,AL,present,introduced,,,,
160941880,5384390,AL,present,introduced,,,,
160941881,5384395,AL,present,introduced,,,,
160941882,7905507,AL,present,introduced,,,,
160941885,2659723,AL,present,introduced,,,,
160941887,3190653,AL,present,introduced,,,,
160941889,2366634,AL,present,introduced,invasive,,,
160941890,3189866,AL,present,introduced,,,,
160941893,3172104,AL,present,introduced,,,,
2978552,2980328,AL,present,introduced,,,,
160941896,5358907,AL,present,introduced,,,,
160941897,2362524,AL,present,introduced,,,,
160941898,5203999,AL,present,introduced,,,,
160941899,5341819,AL,present,introduced,,,,
160941900,2439261,AL,present,introduced,,,,
2705622,4105936,AL,present,introduced,,,,
160941902,3188924,AL,present,introduced,,,,
160941903,3171888,AL,present,introduced,,,,
160941904,5298086,AL,present,introduced,,,,
160941905,2702084,AL,present,introduced,,,,
160941906,3148340,AL,present,introduced,,,,
160941907,2928576,AL,present,introduced,,,,
160941908,5361909,AL,present,introduced,,,,
5568361,3083880,AL,present,introduced,,,,
160941910,5357407,AL,present,introduced,,,,
160941911,2972983,AL,present,introduced,,,,
160941912,2979474,AL,present,introduced,,,,
160941915,5406789,AL,present,introduced,,,,
160941916,3152614,AL,present,introduced,,,,
160941917,3152707,AL,present,introduced,,,,
162485656,5290052,AL,present,introduced,,,,
162485719,3111754,AL,present,introduced,,,,
