taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160941475,9752149,120808,"Phasianus colchicus Linnaeus, 1758",Animalia,SPECIES
160941479,3088488,120856,Tagetes erecta L.,Plantae,SPECIES
3141101,3141107,120670,Glebionis segetum (L.) Fourr.,Plantae,SPECIES
160941485,8140485,120803,"Perca fluviatilis Linnaeus, 1758",Animalia,SPECIES
160941489,5204019,120786,"Oncorhynchus mykiss (Walbaum, 1792)",Animalia,SPECIES
160941492,3031774,120768,Mespilus germanica L.,Plantae,SPECIES
160941494,8149923,120826,Prunus persica (L.) Stokes,Plantae,SPECIES
160941495,2362868,120827,"Pseudorasbora parva (Temminck & Schlegel, 1846)",Animalia,SPECIES
160941496,2927190,120766,Mentha suaveolens Ehrh.,Plantae,SPECIES
160941500,3088481,120857,Tagetes minuta L.,Plantae,SPECIES
160941501,6132234,120832,"Rhynchophorus ferrugineus (A.G.Olivier, 1791)",Animalia,SPECIES
160941502,2928774,120780,Nicotiana tabacum L.,Plantae,SPECIES
160941505,5380041,120833,Ricinus communis L.,Plantae,SPECIES
160941506,2705090,120797,Panicum miliaceum L.,Plantae,SPECIES
160941508,5356488,120747,Lathyrus sativus L.,Plantae,SPECIES
160941512,2889373,120713,Fagopyrum esculentum Moench,Plantae,SPECIES
160941513,2889378,120714,Fagopyrum tataricum (L.) Gaertn.,Plantae,SPECIES
160941516,2294277,120858,"Theba pisana (O.F.Müller, 1774)",Animalia,SPECIES
8707933,8512398,120767,Mentha ×piperita L.,Plantae,SPECIES
160941520,5373358,120757,Lobularia maritima (L.) Desv.,Plantae,SPECIES
160941521,2873861,120756,Linum usitatissimum L.,Plantae,SPECIES
160941522,2925786,120730,Heliotropium curassavicum L.,Plantae,SPECIES
160941523,3119175,120729,Helianthus tuberosus L.,Plantae,SPECIES
160941524,5341492,120674,Coleus scutellarioides (L.) Benth.,Plantae,SPECIES
160941525,2366645,120654,"Carassius carassius (Linnaeus, 1758)",Animalia,SPECIES
160941526,4286942,120653,"Carassius auratus (Linnaeus, 1758)",Animalia,SPECIES
160941527,5361880,120652,Cannabis sativa L.,Plantae,SPECIES
160941530,2340977,120622,"Ameiurus melas (Rafinesque, 1820)",Animalia,SPECIES
160941535,5361888,120771,Morus nigra L.,Plantae,SPECIES
160941539,2888439,120798,Papaver somniferum L.,Plantae,SPECIES
160941541,5391480,120648,Calendula officinalis L.,Plantae,SPECIES
160941545,5420901,120828,Punica granatum L.,Plantae,SPECIES
160941547,2350570,120720,"Gambusia holbrooki Girard, 1859",Animalia,SPECIES
160941550,1651430,120605,"Aedes albopictus (Skuse, 1894)",Animalia,SPECIES
160941556,3084842,120657,Carpobrotus edulis (L.) N.E.Br.,Plantae,SPECIES
160941561,5376648,120752,Lepidium virginicum L.,Plantae,SPECIES
5334351,5334436,120715,Fallopia baldschuanica (Regel) Holub,Plantae,SPECIES
160941567,5279834,120634,Asparagopsis taxiformis (Delile) Trevis.,Plantae,SPECIES
160941572,5858758,120676,"Cornu aspersum (O.F.Müller, 1774)",Animalia,SPECIES
160941574,7445284,120809,Phoenix canariensis H.Wildpret,Plantae,SPECIES
160941575,5341792,120810,Physalis angulata L.,Plantae,SPECIES
160941576,2643093,120658,Caulerpa racemosa (Forssk.) J.Agardh,Plantae,SPECIES
