taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
148674352,1589999,AD,present,introduced,,,,
148674355,8411684,AD,present,introduced,,,,
1179369,4465638,AD,present,introduced,,,,
148674360,1047536,AD,present,introduced,,,,
148674361,1047341,AD,present,introduced,,,,
148674362,5752155,AD,present,introduced,,,,
148674363,5752143,AD,present,introduced,,,,
148674364,1047525,AD,present,introduced,,,,
3204007,3204008,AD,present,introduced,,,,
148674377,2576553,AD,present,introduced,,,,
148674383,3109086,AD,present,introduced,,,,
148674386,2891783,AD,present,introduced,,,,
148674389,3173338,AD,present,introduced,,,,
