taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148674352,1589999,20012,"Trachyopella straminea Roháček & Marshall, 1985",Animalia,SPECIES
148674355,8411684,20009,"Monochamus sutor (Linnaeus, 1758)",Animalia,SPECIES
1179369,4465638,20006,"Pentarthrum confine Broun, 1881",Animalia,SPECIES
148674360,1047536,20008,"Leptinotarsa decemlineata (Say, 1824)",Animalia,SPECIES
148674361,1047341,20004,"Callosobruchus chinensis (Linnaeus, 1758)",Animalia,SPECIES
148674362,5752155,20001,"Bruchus pisorum Linnaeus, 1758",Animalia,SPECIES
148674363,5752143,20002,"Bruchus rufimanus Boheman, 1833",Animalia,SPECIES
148674364,1047525,20000,"Acanthoscelides obtectus (Say, 1831)",Animalia,SPECIES
3204007,3204008,20010,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,Chromista,SPECIES
148674377,2576553,20005,Entoleuca mammata (Wahlenb.) J.D.Rogers & Y.M.Ju,Fungi,SPECIES
148674383,3109086,20011,Senecio inaequidens DC.,Plantae,SPECIES
148674386,2891783,20007,Impatiens balfourii Hook.fil.,Plantae,SPECIES
148674389,3173338,20003,Buddleja davidii Franch.,Plantae,SPECIES
