taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
123566,160947371,Prunus tomentosa C.P.Thunb. ex A.Murray,scientificName_replaced_by_backbone_name,7380100,Prunus tomentosa Thunb. ex A.Murray
123577,160947372,Rhamnus davurica Pall.,scientificName_replaced_by_backbone_name,3039483,Rhamnus davuricus Pall.
123432,160947396,Hemerocallis fulva L.,scientificName_replaced_by_backbone_name,2781074,Hemerocallis fulva (L.) L.
123568,160947403,Psilurus incurvus Schinz & Thell.,merged_with_accepted,9293592,Festuca incurva (Gouan) Gutermann
123274,160947412,Aira elegantissima Schur,merged_with_accepted,7948459,Aira elegans Willd. ex Roem. & Schult.
123593,160947414,Sequoiadendron giganteum (Lindl.) J.Buchholz,scientificName_replaced_by_backbone_name,2684120,Sequoiadendron giganteum (Lindl.) J.T.Buchholz
123510,160947416,Parthenocissus tricuspidata Planch.,scientificName_replaced_by_backbone_name,3039209,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.
123506,160947418,Paeonia suffruticosa Andrews,scientificName_replaced_by_backbone_name,7155259,Paeonia ×suffruticosa Andrews
123440,160947419,Imperata cylindrica (L.) P.Beauv.,merged_with_accepted,8424006,Imperata cylindrica (L.) Raeusch.
123592,160947427,Sequoia sempervirens Endl.,scientificName_replaced_by_backbone_name,2683909,Sequoia sempervirens (D.Don) Endl.
123449,160947432,Juniperus excelsa M.Bieb.,scientificName_replaced_by_backbone_name,2684626,Juniperus excelsa M.-Bieb.
123450,160947433,Juniperus pseudosabina Fisch. & Mey.,scientificName_replaced_by_backbone_name,2684809,Juniperus pseudosabina Fisch. & C.A.Mey.
123381,160947435,Cryptomeria japonica D.Don,scientificName_replaced_by_backbone_name,5284237,Cryptomeria japonica (Thunb. ex L.f.) D.Don
123346,160947439,"Chamaecyparis thyoides Britton, Sterns & Poggenb.",scientificName_replaced_by_backbone_name,2683871,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb."
123345,160947440,Chamaecyparis lawsoniana Parl.,scientificName_replaced_by_backbone_name,2683866,Chamaecyparis lawsoniana (A.Murray bis) Parl.
123536,160947442,Picris echioides L.,merged_with_accepted,3141855,Helminthotheca echioides (L) Holub
123545,160947451,Pinus ponderosa Douglas ex P.Lawson & C.Lawson,scientificName_replaced_by_backbone_name,5285053,Pinus ponderosa Douglas ex C.Lawson
123533,160947454,Picea omorika (PanÄ iÄ‡) Purk.,scientificName_replaced_by_backbone_name,5284950,Picea omorika (Pancic) Purk.
123529,160947458,Physocarpus ribesifolius Kom. ex Nakai,merged_with_accepted,2988383,Physocarpus amurensis (Maxim.) Maxim.
123454,160947461,Larix kaempferi (Lamb.) CarriÃ¨re,scientificName_replaced_by_backbone_name,2686157,Larix kaempferi (Lamb.) Carrière
123333,160947463,Cedrus deodara (Roxb. ex Lambert) G.Don,scientificName_replaced_by_backbone_name,5284698,Cedrus deodara (Lamb.) G.Don
123251,160947467,Abies numidica de Lannoy ex CarriÃ¨re,scientificName_replaced_by_backbone_name,2685546,Abies numidica de Lannoy ex Carrière
123590,160947472,Sambucus nigra subsp. canadensis (L.) R.Bolli,merged_with_accepted,6369819,Sambucus canadensis L.
123549,160947481,Platanus acerifolia (Ait.) Willd.,merged_with_accepted,7400250,Platanus ×hispanica Mill. ex Münchh.
123513,160947484,Paulownia tomentosa Steud.,scientificName_replaced_by_backbone_name,3170823,Paulownia tomentosa (Thunb.) Steud.
123514,160947485,Pelargonium odoratissimum (L.) L'Her.,scientificName_replaced_by_backbone_name,8313325,Pelargonium odoratissimum (L.) L'Hér.
123501,160947489,Oenothera grandiflora L'HÃ©r.,scientificName_replaced_by_backbone_name,8679346,Oenothera grandiflora (Soland.)
123499,160947490,Myosotis alpina Haller,not_matched_with_backbone,,
123461,160947494,Liriodendron chinense Sarg.,scientificName_replaced_by_backbone_name,3152873,Liriodendron chinense (Hemsl.) Sarg.
123480,160947496,Maclura pomifera (Raf.) C.K.Schneid.,scientificName_replaced_by_backbone_name,2984580,Maclura pomifera (Raf. ex Sarg.) C.K.Schneid.
123520,160947504,Perilla frutescens Britton.,scientificName_replaced_by_backbone_name,5341394,Perilla frutescens (L.) Britton
123405,160947523,Euonymus bungeanus Maxim.,merged_with_accepted,7265494,Euonymus maackii Rupr.
123335,160947525,Celastrus orbiculatus C.P.Thunberg ex A.Murray,not_matched_with_backbone,,
123294,160947533,Aristolochia macrophylla Lam.,merged_with_accepted,2873995,Isotrema macrophyllum (Lam.) C.F.Reed
123396,160947536,Ecballium elaterium A.Rich.,scientificName_replaced_by_backbone_name,2874680,Ecballium elaterium (L.) A.Rich.
123398,160947537,Echinocystis lobata Torr. & A.Gray,scientificName_replaced_by_backbone_name,5331404,Echinocystis lobata (Michx.) Torr. & A.Gray
123308,160947545,Berberis parvifolia Sprague,merged_with_accepted,3981814,Berberis wilsoniae Hemsl.
123305,160947549,Berberis aquifolium Pursh,merged_with_accepted,3033865,Mahonia aquifolium (Pursh) Nutt.
123309,160947552,Berberis repens Lindl.,merged_with_accepted,3033850,Mahonia repens (Lindl.) G.Don
123354,160947556,Clematis campaniflora Brot.,merged_with_accepted,6710401,Clematis viticella subsp. campaniflora (Brot.) Kuntze
123299,160947558,Atragene sibirica L.,merged_with_accepted,7277760,Clematis sibirica (L.) Mill.
123362,160947560,Clematis tangutica Korsh.,scientificName_replaced_by_backbone_name,3033535,Clematis tangutica (Maxim.) Korsh.
123358,160947572,Clematis ligusticifolia Nutt. ex Torr. & Gray,scientificName_replaced_by_backbone_name,7446467,Clematis ligusticifolia Nutt. ex Torr. & A.Gray
123505,160947583,Padus pensylvanica (L.fil.) Sokolov,merged_with_accepted,8202030,Prunus pensylvanica L.fil.
123397,160947586,Echeveria leucotricha J.A.Purpus,merged_with_accepted,9294247,Echeveria pulvinata var. leucotricha (J.A.Purpus) Kimnach
123298,160947589,Astilbe ×arendsii Arends,merged_with_accepted,12176639,Astilbe ×rosea Van Waveren & Kruijff
123494,160947594,Metasequoia glyptostroboides Hu & Cheng,scientificName_replaced_by_backbone_name,5284231,Metasequoia glyptostroboides H.H.Hu & W.C.Cheng
123519,160947599,Penstemon rupicola Howell,scientificName_replaced_by_backbone_name,3171547,Penstemon rupicola (Piper) Howell
123629,160947603,Syringa sweginzowii Koehne & Lingelsh.,merged_with_accepted,5549593,Syringa tomentella subsp. sweginzowii (Koehne & Lingelsh.) Jin Y.Chen & D.Y.Hong
123626,160947605,Syringa pekinensis Rupr.,merged_with_accepted,5549613,Syringa reticulata subsp. pekinensis (Rupr.) P.S.Green & M.C.Chang
123628,160947607,Syringa reflexa K.Schum.,not_matched_with_backbone,,
123632,160947610,Syringa wolfii C.K.Schneid.,merged_with_accepted,5549582,Syringa villosa subsp. wolfii (C.K.Schneid.) Jin Y.Chen & D.Y.Hong
123622,160947612,Syringa henryi C.K.Schneid.,scientificName_replaced_by_backbone_name,5549706,Syringa ×henryi C.K.Schneid.
123621,160947613,Syringa chinensis Willd.,scientificName_replaced_by_backbone_name,5549761,Syringa ×chinensis Willd.
123502,160947616,Oenothera lamarckiana Ser.,merged_with_accepted,8106009,Oenothera grandiflora L'Her.
123412,160947624,Forsythia suspensa Vahl,scientificName_replaced_by_backbone_name,5415056,Forsythia suspensa (Thunb.) Vahl
123426,160947628,Glandularia hybrida (Groenland & RÃ¼mpler) G.L.Nesom & Pruski,merged_with_accepted,2925616,Verbena ×hybrida Groenland & Rümpler
123317,160947631,Buddleja stenostachya Rehder & E.H.Wilson,merged_with_accepted,4055478,Buddleja nivea Duthie
