taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160947354,7705930,123615,"Sus scrofa Linnaeus, 1758",Animalia,SPECIES
160947357,2362110,123497,"Mylopharyngodon piceus (Richardson, 1846)",Animalia,SPECIES
160947361,5202520,123437,"Ictalurus punctatus (Rafinesque, 1818)",Animalia,SPECIES
160947364,2350570,123422,"Gambusia holbrooki Girard, 1859",Animalia,SPECIES
160947365,2350580,123421,"Gambusia affinis (Baird & Girard, 1853)",Animalia,SPECIES
160947368,4409518,123369,"Coregonus maraenoides Berg, 1916",Animalia,SPECIES
7380100,7380100,123566,Prunus tomentosa Thunb. ex A.Murray,Plantae,SPECIES
160947372,3039483,123577,Rhamnus davuricus Pall.,Plantae,SPECIES
160947373,3086240,123496,Mirabilis jalapa L.,Plantae,SPECIES
160947374,2362486,123436,"Hypophthalmichthys nobilis (Richardson, 1845)",Animalia,SPECIES
160947375,2362473,123435,"Hypophthalmichthys molitrix (Valenciennes, 1844)",Animalia,SPECIES
160947376,2362030,123382,"Ctenopharyngodon idella (Valenciennes, 1844)",Animalia,SPECIES
160947377,4286942,123328,"Carassius auratus (Linnaeus, 1758)",Animalia,SPECIES
160947383,2687885,123425,Ginkgo biloba L.,Plantae,SPECIES
160947387,2653316,123402,Ephedra equisetina Bunge,Plantae,SPECIES
160947391,5300716,123417,Fritillaria imperialis L.,Plantae,SPECIES
160947395,5355395,123605,Spartium junceum L.,Plantae,SPECIES
160947396,2781074,123432,Hemerocallis fulva (L.) L.,Plantae,SPECIES
160947399,2774721,123347,Chlorophytum capense (L.) Voss,Plantae,SPECIES
160947400,2775619,123659,Yucca gloriosa L.,Plantae,SPECIES
160947401,2775561,123658,Yucca filamentosa L.,Plantae,SPECIES
160947402,2775744,123657,Yucca aloifolia L.,Plantae,SPECIES
9293592,5679484,123568,Festuca incurva (Gouan) Gutermann,Plantae,SPECIES
160947404,2772666,123434,Hyacinthus orientalis L.,Plantae,SPECIES
160947405,2774846,123348,Chlorophytum comosum (Thunb.) Jacques,Plantae,SPECIES
160947408,8034409,123324,Canna indica L.,Plantae,SPECIES
7948459,5289579,123274,Aira elegans Willd. ex Roem. & Schult.,Plantae,SPECIES
160947413,5289686,123594,Setaria verticillata (L.) P.Beauv.,Plantae,SPECIES
160947414,2684120,123593,Sequoiadendron giganteum (Lindl.) J.T.Buchholz,Plantae,SPECIES
160947415,2362868,123567,"Pseudorasbora parva (Temminck & Schlegel, 1846)",Animalia,SPECIES
160947416,3039209,123510,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Plantae,SPECIES
160947417,2705565,123511,Paspalum dilatatum Poir.,Plantae,SPECIES
