taxonID,taxonKey,scientificName,action,acceptedKey,acceptedName
29736,148746422,Ph. cambivora x Ph. fragariae,not_matched_with_backbone,,
29815,148746432,Plasmopara helianthi Novot.,merged_with_accepted,3204090,Plasmopara halstedii (Farl.) Berl. & De Toni
29727,148746438,Peronospora swinglei Ellis & Everh.,merged_with_accepted,3203749,Peronospora lamii A.Braun
29728,148746443,Peronospora tabacina D.B.Adam,merged_with_accepted,3276937,Peronospora hyoscyami de Bary
30323,148746447,"Xironogiton instabilis (Moore, 1894)",merged_with_accepted,7849089,"Xironogiton instabilius (Moore, 1894)"
28671,148746454,"Caspiobdella fadejewi (Selensky, 1915)",scientificName_replaced_by_backbone_name,2307856,"Caspiobdella fadejewi (Epshtein, 1961)"
29880,148746455,Pseudoperonospora humuli (Miyabe & Takah.) G.W.Wilson,merged_with_accepted,3204007,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev
29111,148746475,"Fascioloides magna (Bassi, 1875)",scientificName_replaced_by_backbone_name,2505826,"Fascioloides magna (Bassa, 1875)"
29740,148746484,Phaeocryptopus gaeumannii (T.Rohde) Petr.,merged_with_accepted,10808078,"Nothophaeocryptopus gaeumannii (T.Rohde) Videira, C.Nakash., U.Braun & Crous"
28978,148746500,"Dugesia tigrina (Girard, 1850)",merged_with_accepted,5892120,"Girardia tigrina (Girard, 1850)"
29890,148746509,"Pterogonium gracile Smith, 1803",merged_with_accepted,7435779,Nogopterium gracile (Hedw.) Crosby & W.R.Buck
29196,148746510,"Gyrodactylus gasterostei Glaser, 1974",scientificName_replaced_by_backbone_name,8756603,"Gyrodactylus gasterostei Gläser, 1974"
29659,148746517,"Orthodontium lineare Schwaegrichen, 1827",scientificName_replaced_by_backbone_name,2677047,Orthodontium lineare Schwägr.
28642,148746523,"Campylopus introflexus Bridel, 1819",scientificName_replaced_by_backbone_name,5281901,Campylopus introflexus (Hedw.) Brid.
29553,148746524,"Mycosphaerella dearnessii M.E.Barr, 1972",merged_with_accepted,2622090,Lecanosticta acicola (Thüm.) Syd.
29185,148746534,"Guignardia aesculi (Peck) V.B.Stewart, 1916",merged_with_accepted,2611366,Phyllosticta paviae Desm.
