taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
148746414,2284723,30257,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
148746421,4408321,28831,"Craspedacusta sowerbii Lankester, 1880",Animalia,SPECIES
148746428,2266009,28795,"Cordylophora caspia (Pallas, 1771)",Animalia,SPECIES
3204090,3204092,29815,Plasmopara halstedii (Farl.) Berl. & De Toni,Chromista,SPECIES
148746437,5199161,29265,"Hypania invalida (Grube, 1860)",Animalia,SPECIES
3203749,3203750,29727,Peronospora lamii A.Braun,Chromista,SPECIES
3276937,3276938,29728,Peronospora hyoscyami de Bary,Chromista,SPECIES
148746445,7258589,29814,Plasmopara angustiterminalis Novot.,Chromista,SPECIES
148746446,3204123,29816,Plasmopara viticola (Berk. & M.A.Curtis) Berl. & De Toni,Chromista,SPECIES
7849089,2307538,30323,"Xironogiton instabilius (Moore, 1894)",Animalia,SPECIES
148746448,3203716,29793,Phytophthora infestans (Mont.) de Bary,Chromista,SPECIES
148746449,3203807,29726,Peronospora manshurica (Naumov) Syd.,Chromista,SPECIES
148746451,3203754,29725,Peronospora arthurii Farl.,Chromista,SPECIES
148746452,3204007,29879,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,Chromista,SPECIES
148746454,2307856,28671,"Caspiobdella fadejewi (Epshtein, 1961)",Animalia,SPECIES
3204007,3204008,29880,Pseudoperonospora cubensis (Berk. & M.A.Curtis) Rostovzev,Chromista,SPECIES
148746456,3203882,28534,Basidiophora entospora Roze & Cornu,Chromista,SPECIES
148746460,2308574,28571,"Branchiura sowerbyi Beddard, 1892",Animalia,SPECIES
148746462,3202936,28454,Aphanomyces astaci Schikora,Chromista,SPECIES
148746469,2307447,28531,"Barbronia weberi (Blanchard, 1897)",Animalia,SPECIES
148746475,2505826,29111,"Fascioloides magna (Bassa, 1875)",Animalia,SPECIES
148746476,5265718,30139,Synchytrium endobioticum (Schilb.) Percival,Fungi,SPECIES
10808078,2612582,29740,"Nothophaeocryptopus gaeumannii (T.Rohde) Videira, C.Nakash., U.Braun & Crous",Fungi,SPECIES
