taxonKey,nubKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196382534,5254231,AZ,present,introduced,invasive,,,
8424006,8120010,AZ,present,introduced,,,,
196382545,2501248,AZ,present,introduced,invasive,,,
196382546,5289808,AZ,present,introduced,,,,
196382548,2705953,AZ,present,introduced,,,,
196382550,6109637,AZ,present,introduced,,,,
196382556,4410669,AZ,present,introduced,,,,
196382557,5285604,AZ,present,introduced,,,,
196382564,3034128,AZ,present,introduced,,,,
196382565,2327735,AZ,present,introduced,,,,
2929800,2930922,AZ,present,introduced,,,,
2316416,11394559,AZ,present,introduced,,,,
196382574,2929892,AZ,present,introduced,,,,
196382583,2498305,AZ,present,introduced,,,,
9052721,9052721,AZ,present,introduced,,,,
196382588,3089150,AZ,present,introduced,,,,
196382590,3132570,AZ,present,introduced,,,,
196382591,4264680,AZ,present,introduced,invasive,,,
196382592,5402943,AZ,present,introduced,invasive,,,
196382594,8002952,AZ,present,introduced,,,,
196382597,2434552,AZ,present,introduced,,,,
196382600,5218786,AZ,present,introduced,invasive,,,
196382606,2440954,AZ,present,introduced,,,,
196382610,2350580,AZ,present,introduced,,,,
196382613,9420882,AZ,present,introduced,,,,
196382614,9466310,AZ,present,introduced,,,,
196382615,8189568,AZ,present,introduced,,,,
196382618,2362030,AZ,present,introduced,,,,
196382619,2366634,AZ,present,introduced,,,,
196382620,2366645,AZ,present,introduced,,,,
196382621,2367280,AZ,present,introduced,,,,
196382622,2362868,AZ,present,introduced,,,,
196382625,5212973,AZ,present,introduced,,,,
196382630,2224979,AZ,present,introduced,,,,
196382632,2227663,AZ,present,introduced,,,,
196382636,6467647,AZ,present,introduced,invasive,,,
196382640,5127656,AZ,present,introduced,,,,
196382642,1817797,AZ,present,introduced,,,,
196382645,5018723,AZ,present,introduced,,,,
1047449,1047450,AZ,present,introduced,,,,
196382651,1651430,AZ,present,introduced,,,,
196382652,1651891,AZ,present,introduced,,,,
196382657,5192470,AZ,present,introduced,,,,
196382661,4374608,AZ,present,introduced,invasive,,,
196382667,2287072,AZ,present,introduced,,,,
196382668,2287073,AZ,present,introduced,,,,
196382669,2287076,AZ,present,introduced,,,,
196382671,6525757,AZ,present,introduced,,,,
196382674,2286585,AZ,present,introduced,,,,
196382675,4372509,AZ,present,introduced,,,,
196382677,5729096,AZ,present,introduced,,,,
5729096,5729098,AZ,present,introduced,,,,
